dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
11_cobranded,on (ratio=0.1),True,ab,0,0.7509,0.16156,0.02505,0.7619,0.01273,0.32522,0.81911,0.5893,14.857602
11_cobranded,on (ratio=0.1),True,ab,1,0.7558,0.15919,0.02554,0.84211,0.01297,0.33423,0.824,0.60022,14.858534
11_cobranded,on (ratio=0.1),True,ab,2,0.7513,0.16218,0.01427,1.0,0.00719,0.32954,0.82196,0.60197,14.861685
11_cobranded,on (ratio=0.1),True,ann,0,0.7489,0.18523,0.00159,1.0,0.0008,0.32738,0.82048,0.60178,50.799747
11_cobranded,on (ratio=0.1),True,ann,1,0.7534,0.17587,0.00243,0.75,0.00122,0.34094,0.82771,0.60494,52.589527
11_cobranded,on (ratio=0.1),True,ann,2,0.7524,0.17301,0.02596,0.89189,0.01317,0.33569,0.82551,0.60416,50.953216
11_cobranded,on (ratio=0.1),True,bnb,0,0.7546,0.191,0.47271,0.51378,0.43772,0.24619,0.77546,0.50679,0.027915
11_cobranded,on (ratio=0.1),True,bnb,1,0.7743,0.17571,0.50363,0.55075,0.46394,0.27242,0.78911,0.5364,0.028487
11_cobranded,on (ratio=0.1),True,bnb,2,0.768,0.18276,0.49078,0.5451,0.44631,0.25545,0.78064,0.52806,0.02842
11_cobranded,on (ratio=0.1),True,cb,0,0.7729,0.16047,0.22359,0.79369,0.13012,0.35264,0.83138,0.62031,2.824541
11_cobranded,on (ratio=0.1),True,cb,1,0.7767,0.158,0.2129,0.81843,0.12237,0.35893,0.83554,0.62552,2.698556
11_cobranded,on (ratio=0.1),True,cb,2,0.7739,0.16034,0.21247,0.83333,0.12176,0.34899,0.83269,0.62647,2.681242
11_cobranded,on (ratio=0.1),True,dt,0,0.7589,0.17427,0.10604,0.77717,0.0569,0.26219,0.7835,0.50858,0.31465
11_cobranded,on (ratio=0.1),True,dt,1,0.7675,0.17147,0.15913,0.74074,0.08914,0.2605,0.78141,0.50945,0.318171
11_cobranded,on (ratio=0.1),True,dt,2,0.7495,0.17303,0.0,0.0,0.0,0.27136,0.78855,0.51267,0.328826
11_cobranded,on (ratio=0.1),True,gnb,0,0.773,0.17376,0.57186,0.54356,0.60326,0.29958,0.80232,0.55857,0.029319
11_cobranded,on (ratio=0.1),True,gnb,1,0.7828,0.1699,0.57512,0.55598,0.59562,0.31091,0.80808,0.56294,0.0315
11_cobranded,on (ratio=0.1),True,gnb,2,0.7821,0.16855,0.54155,0.57251,0.51377,0.29888,0.80437,0.55367,0.031763
11_cobranded,on (ratio=0.1),True,knn,0,0.7619,0.17353,0.1288,0.8,0.07004,0.2782,0.78716,0.57044,0.371726
11_cobranded,on (ratio=0.1),True,knn,1,0.7633,0.16988,0.10034,0.80982,0.05348,0.30027,0.79797,0.57779,0.371402
11_cobranded,on (ratio=0.1),True,knn,2,0.7603,0.17341,0.10726,0.8,0.05749,0.28231,0.78949,0.56445,0.364219
11_cobranded,on (ratio=0.1),True,lda,0,0.7766,0.16547,0.27842,0.73928,0.17151,0.32111,0.81531,0.58417,0.064284
11_cobranded,on (ratio=0.1),True,lda,1,0.7811,0.16127,0.28952,0.72757,0.18071,0.32936,0.81973,0.58612,0.040792
11_cobranded,on (ratio=0.1),True,lda,2,0.778,0.16345,0.28155,0.74359,0.17365,0.32564,0.81791,0.58725,0.040486
11_cobranded,on (ratio=0.1),True,lgbm,0,0.7688,0.16263,0.18419,0.81308,0.10386,0.34212,0.82636,0.61452,1.105898
11_cobranded,on (ratio=0.1),True,lgbm,1,0.772,0.15916,0.1691,0.84058,0.094,0.35582,0.83405,0.62623,1.144013
11_cobranded,on (ratio=0.1),True,lgbm,2,0.7693,0.16257,0.17044,0.8587,0.09461,0.3428,0.82894,0.62143,1.051397
11_cobranded,on (ratio=0.1),True,lr,0,0.7653,0.16419,0.16149,0.79021,0.08993,0.33054,0.82159,0.60085,0.117234
11_cobranded,on (ratio=0.1),True,lr,1,0.7718,0.16022,0.17914,0.79808,0.10089,0.3383,0.82707,0.60471,0.118532
11_cobranded,on (ratio=0.1),True,lr,2,0.7678,0.16275,0.17249,0.80399,0.09661,0.33171,0.82338,0.60344,0.112294
11_cobranded,on (ratio=0.1),True,rf,0,0.7602,0.16322,0.10254,0.86164,0.05452,0.34076,0.82584,0.61216,11.577295
11_cobranded,on (ratio=0.1),True,rf,1,0.7638,0.16053,0.09433,0.87857,0.04984,0.34754,0.82851,0.62258,11.776003
11_cobranded,on (ratio=0.1),True,rf,2,0.7586,0.16375,0.07792,0.90265,0.04072,0.33671,0.82541,0.61802,11.449282
11_cobranded,on (ratio=0.1),True,tabnet,0,0.7341,0.17244,0.57894,0.4808,0.72742,0.31264,0.81244,0.58308,41.72253
11_cobranded,on (ratio=0.1),True,tabnet,1,0.7448,0.16198,0.5708,0.48792,0.6876,0.31099,0.8125,0.57555,38.375598
11_cobranded,on (ratio=0.1),True,tabnet,2,0.7731,0.16236,0.54593,0.54735,0.54451,0.29689,0.80231,0.57176,23.160249
11_cobranded,on (ratio=0.1),True,xgb,0,0.7733,0.16121,0.21962,0.81378,0.12694,0.34648,0.82873,0.62091,0.703326
11_cobranded,on (ratio=0.1),True,xgb,1,0.7752,0.1584,0.20057,0.81977,0.11426,0.35987,0.83557,0.62602,0.592572
11_cobranded,on (ratio=0.1),True,xgb,2,0.7719,0.16115,0.19598,0.83735,0.11098,0.34875,0.83119,0.62473,0.647412
