dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
11_cobranded,on (ratio=0.5),True,ab,0,0.7923,0.17045,0.56411,0.5968,0.53482,0.32913,0.8215,0.59591,21.059862
11_cobranded,on (ratio=0.5),True,ab,1,0.7945,0.16922,0.56837,0.59006,0.54822,0.33766,0.82594,0.60303,20.777041
11_cobranded,on (ratio=0.5),True,ab,2,0.7862,0.17142,0.56721,0.57536,0.55928,0.33158,0.82399,0.5983,21.698075
11_cobranded,on (ratio=0.5),True,ann,0,0.7966,0.1402,0.56961,0.60822,0.53561,0.33999,0.82637,0.61145,21.095318
11_cobranded,on (ratio=0.5),True,ann,1,0.788,0.1431,0.5861,0.56556,0.60818,0.3474,0.83104,0.60955,15.195538
11_cobranded,on (ratio=0.5),True,ann,2,0.7907,0.14029,0.56076,0.59115,0.53333,0.34053,0.82751,0.61088,15.225671
11_cobranded,on (ratio=0.5),True,bnb,0,0.7317,0.21074,0.53184,0.47359,0.60645,0.23701,0.76893,0.49814,0.029884
11_cobranded,on (ratio=0.5),True,bnb,1,0.7417,0.19901,0.55211,0.48257,0.64506,0.26573,0.78376,0.52711,0.033865
11_cobranded,on (ratio=0.5),True,bnb,2,0.7353,0.20439,0.53973,0.47813,0.61956,0.24829,0.77464,0.5185,0.031776
11_cobranded,on (ratio=0.5),True,cb,0,0.8046,0.13614,0.5607,0.64444,0.49622,0.35379,0.83245,0.6247,1.483782
11_cobranded,on (ratio=0.5),True,cb,1,0.8037,0.1337,0.54967,0.63353,0.48541,0.36036,0.83629,0.62821,1.477809
11_cobranded,on (ratio=0.5),True,cb,2,0.8027,0.13564,0.55513,0.63782,0.49142,0.35483,0.8346,0.62915,1.47222
11_cobranded,on (ratio=0.5),True,dt,0,0.7732,0.15264,0.53448,0.55193,0.51811,0.28414,0.79792,0.54929,0.528423
11_cobranded,on (ratio=0.5),True,dt,1,0.7852,0.15007,0.531,0.57576,0.49271,0.29458,0.80278,0.54228,0.527914
11_cobranded,on (ratio=0.5),True,dt,2,0.7829,0.1516,0.51443,0.58494,0.45908,0.28806,0.79956,0.54673,0.529327
11_cobranded,on (ratio=0.5),True,gnb,0,0.6939,0.24051,0.56127,0.43862,0.77915,0.29982,0.802,0.56073,0.034777
11_cobranded,on (ratio=0.5),True,gnb,1,0.7182,0.22167,0.57212,0.4575,0.76337,0.31099,0.80821,0.56502,0.034632
11_cobranded,on (ratio=0.5),True,gnb,2,0.7333,0.2059,0.57376,0.47841,0.71657,0.30078,0.80506,0.55511,0.035191
11_cobranded,on (ratio=0.5),True,knn,0,0.7762,0.15,0.54382,0.55746,0.53084,0.3002,0.80441,0.58104,0.398585
11_cobranded,on (ratio=0.5),True,knn,1,0.789,0.14511,0.55635,0.57823,0.53606,0.31702,0.81361,0.59279,0.373589
11_cobranded,on (ratio=0.5),True,knn,2,0.7757,0.1513,0.55023,0.55278,0.5477,0.29532,0.80272,0.57236,0.380426
11_cobranded,on (ratio=0.5),True,lda,0,0.7895,0.14504,0.57637,0.58306,0.56984,0.33131,0.82121,0.5969,0.101044
11_cobranded,on (ratio=0.5),True,lda,1,0.7893,0.14161,0.56584,0.57568,0.55632,0.34157,0.82754,0.60355,0.044545
11_cobranded,on (ratio=0.5),True,lda,2,0.7853,0.14439,0.57,0.57195,0.56806,0.33292,0.82342,0.60455,0.045063
11_cobranded,on (ratio=0.5),True,lgbm,0,0.7998,0.13804,0.56231,0.62397,0.51174,0.34805,0.83001,0.61737,0.290848
11_cobranded,on (ratio=0.5),True,lgbm,1,0.8044,0.13491,0.56668,0.62512,0.51823,0.35862,0.83569,0.63036,0.309204
11_cobranded,on (ratio=0.5),True,lgbm,2,0.7985,0.13774,0.56243,0.61667,0.51697,0.34907,0.83194,0.62118,0.333233
11_cobranded,on (ratio=0.5),True,lr,0,0.7908,0.14453,0.58009,0.58526,0.57501,0.33319,0.82245,0.59868,0.20958
11_cobranded,on (ratio=0.5),True,lr,1,0.7912,0.14094,0.57248,0.57864,0.56645,0.34361,0.82937,0.60737,0.205901
11_cobranded,on (ratio=0.5),True,lr,2,0.7855,0.14363,0.57057,0.57229,0.56886,0.33633,0.82557,0.60797,0.254729
11_cobranded,on (ratio=0.5),True,rf,0,0.8007,0.13955,0.5615,0.62795,0.50776,0.34783,0.82955,0.61595,25.53253
11_cobranded,on (ratio=0.5),True,rf,1,0.8027,0.13677,0.56126,0.62198,0.51135,0.35784,0.83418,0.62902,22.069863
11_cobranded,on (ratio=0.5),True,rf,2,0.7958,0.13943,0.55972,0.60853,0.51816,0.346,0.83076,0.62195,22.323489
11_cobranded,on (ratio=0.5),True,tabnet,0,0.7147,0.17975,0.57951,0.46021,0.78233,0.325,0.81735,0.60211,69.126332
11_cobranded,on (ratio=0.5),True,tabnet,1,0.7555,0.16433,0.59806,0.50318,0.73703,0.34539,0.82911,0.60071,72.372275
11_cobranded,on (ratio=0.5),True,tabnet,2,0.722,0.17828,0.58006,0.46659,0.76647,0.32545,0.81971,0.59508,72.048841
11_cobranded,on (ratio=0.5),True,xgb,0,0.7989,0.13905,0.56235,0.62056,0.51413,0.34716,0.82937,0.61831,0.764288
11_cobranded,on (ratio=0.5),True,xgb,1,0.8013,0.13597,0.56205,0.61624,0.51661,0.35902,0.83551,0.6257,0.71464
11_cobranded,on (ratio=0.5),True,xgb,2,0.7971,0.13873,0.56337,0.61111,0.52255,0.34689,0.83142,0.62368,0.703276
