dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
14_german_credit,off,False,ab,0,0.74251,0.20451,0.48193,0.57143,0.41667,0.23754,0.74322,0.52268,0.0972
14_german_credit,off,False,ab,1,0.74174,0.20229,0.49412,0.62687,0.40777,0.30403,0.78546,0.58384,0.096275
14_german_credit,off,False,ab,2,0.72673,0.20207,0.38926,0.60417,0.28713,0.26039,0.76483,0.56913,0.098701
14_german_credit,off,False,ann,0,0.74251,0.17255,0.51685,0.56098,0.47917,0.25678,0.76002,0.55057,1.270435
14_german_credit,off,False,ann,1,0.73273,0.16875,0.40268,0.65217,0.29126,0.33769,0.78877,0.60456,0.216041
14_german_credit,off,False,ann,2,0.74174,0.16994,0.39437,0.68293,0.27723,0.29397,0.78137,0.60934,0.278564
14_german_credit,off,False,bnb,0,0.70659,0.19254,0.5463,0.49167,0.61458,0.25367,0.76212,0.54911,0.01017
14_german_credit,off,False,bnb,1,0.72673,0.17648,0.53807,0.56383,0.51456,0.32114,0.78046,0.60034,0.009407
14_german_credit,off,False,bnb,2,0.73574,0.1909,0.54639,0.56989,0.52475,0.26196,0.76342,0.5591,0.009826
14_german_credit,off,False,cb,0,0.76946,0.15818,0.52761,0.64179,0.44792,0.32076,0.7886,0.61652,1.797706
14_german_credit,off,False,cb,1,0.75375,0.15637,0.5119,0.66154,0.41748,0.36958,0.81921,0.66494,1.659056
14_german_credit,off,False,cb,2,0.77477,0.15927,0.53988,0.70968,0.43564,0.34307,0.80258,0.65755,1.700261
14_german_credit,off,False,dt,0,0.66168,0.33832,0.44335,0.42056,0.46875,0.05667,0.60412,0.34983,0.011725
14_german_credit,off,False,dt,1,0.65766,0.34234,0.46729,0.45045,0.48544,0.06284,0.61011,0.37782,0.01088
14_german_credit,off,False,dt,2,0.65766,0.34234,0.44118,0.43689,0.44554,0.05144,0.59777,0.36282,0.010666
14_german_credit,off,False,gnb,0,0.7006,0.2504,0.57983,0.48592,0.71875,0.26593,0.74571,0.48358,0.009506
14_german_credit,off,False,gnb,1,0.68468,0.27398,0.59144,0.49351,0.73786,0.24456,0.7114,0.55948,0.00886
14_german_credit,off,False,gnb,2,0.49249,0.47134,0.52661,0.36719,0.93069,0.23768,0.74563,0.53103,0.008803
14_german_credit,off,False,knn,0,0.72455,0.19749,0.46512,0.52632,0.41667,0.14269,0.68564,0.44806,0.056718
