dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
14_german_credit,off,False,ab,0,0.74251,0.20451,0.48193,0.57143,0.41667,0.23754,0.74322,0.52268,0.0972
14_german_credit,off,False,ab,1,0.74174,0.20229,0.49412,0.62687,0.40777,0.30403,0.78546,0.58384,0.096275
14_german_credit,off,False,ab,2,0.72673,0.20207,0.38926,0.60417,0.28713,0.26039,0.76483,0.56913,0.098701
14_german_credit,off,False,ann,0,0.74251,0.17255,0.51685,0.56098,0.47917,0.25678,0.76002,0.55057,1.270435
14_german_credit,off,False,ann,1,0.73273,0.16875,0.40268,0.65217,0.29126,0.33769,0.78877,0.60456,0.216041
14_german_credit,off,False,ann,2,0.74174,0.16994,0.39437,0.68293,0.27723,0.29397,0.78137,0.60934,0.278564
14_german_credit,off,False,bnb,0,0.70659,0.19254,0.5463,0.49167,0.61458,0.25367,0.76212,0.54911,0.01017
14_german_credit,off,False,bnb,1,0.72673,0.17648,0.53807,0.56383,0.51456,0.32114,0.78046,0.60034,0.009407
14_german_credit,off,False,bnb,2,0.73574,0.1909,0.54639,0.56989,0.52475,0.26196,0.76342,0.5591,0.009826
14_german_credit,off,False,cb,0,0.76946,0.15818,0.52761,0.64179,0.44792,0.32076,0.7886,0.61652,1.797706
14_german_credit,off,False,cb,1,0.75375,0.15637,0.5119,0.66154,0.41748,0.36958,0.81921,0.66494,1.659056
14_german_credit,off,False,cb,2,0.77477,0.15927,0.53988,0.70968,0.43564,0.34307,0.80258,0.65755,1.700261
14_german_credit,off,False,dt,0,0.66168,0.33832,0.44335,0.42056,0.46875,0.05667,0.60412,0.34983,0.011725
14_german_credit,off,False,dt,1,0.65766,0.34234,0.46729,0.45045,0.48544,0.06284,0.61011,0.37782,0.01088
14_german_credit,off,False,dt,2,0.65766,0.34234,0.44118,0.43689,0.44554,0.05144,0.59777,0.36282,0.010666
14_german_credit,off,False,gnb,0,0.7006,0.2504,0.57983,0.48592,0.71875,0.26593,0.74571,0.48358,0.009506
14_german_credit,off,False,gnb,1,0.68468,0.27398,0.59144,0.49351,0.73786,0.24456,0.7114,0.55948,0.00886
14_german_credit,off,False,gnb,2,0.49249,0.47134,0.52661,0.36719,0.93069,0.23768,0.74563,0.53103,0.008803
14_german_credit,off,False,knn,0,0.72455,0.19749,0.46512,0.52632,0.41667,0.14269,0.68564,0.44806,0.056718
14_german_credit,off,False,knn,1,0.72673,0.19748,0.44848,0.59677,0.35922,0.14748,0.69392,0.47739,0.015079
14_german_credit,off,False,knn,2,0.72673,0.18763,0.43478,0.58333,0.34653,0.18015,0.71865,0.51611,0.014349
14_german_credit,off,False,lda,0,0.73952,0.18537,0.54922,0.54639,0.55208,0.23962,0.74072,0.55564,0.029234
14_german_credit,off,False,lda,1,0.72673,0.17184,0.50811,0.57317,0.45631,0.31681,0.78261,0.60764,0.015867
14_german_credit,off,False,lda,2,0.78078,0.16514,0.56805,0.70588,0.47525,0.33219,0.78546,0.61147,0.015565
14_german_credit,off,False,lgbm,0,0.7485,0.1889,0.52273,0.575,0.47917,0.24949,0.75254,0.56963,0.355765
14_german_credit,off,False,lgbm,1,0.73574,0.18401,0.52174,0.59259,0.46602,0.30152,0.78573,0.60736,0.201807
14_german_credit,off,False,lgbm,2,0.75976,0.17381,0.55056,0.63636,0.48515,0.30297,0.78137,0.62928,0.235733
14_german_credit,off,False,lr,0,0.74251,0.17559,0.52747,0.55814,0.5,0.25441,0.75123,0.57102,0.014592
14_german_credit,off,False,lr,1,0.73874,0.16853,0.51934,0.60256,0.45631,0.30876,0.78455,0.60854,0.009839
14_german_credit,off,False,lr,2,0.77177,0.1664,0.53086,0.70492,0.42574,0.31549,0.7861,0.60418,0.009513
14_german_credit,off,False,rf,0,0.75749,0.16406,0.47742,0.62712,0.38542,0.29986,0.7809,0.58907,0.227485
14_german_credit,off,False,rf,1,0.76276,0.16017,0.50314,0.71429,0.38835,0.36202,0.81363,0.65015,0.157959
14_german_credit,off,False,rf,2,0.77477,0.16442,0.51613,0.74074,0.39604,0.30311,0.79263,0.6422,0.1504
14_german_credit,off,False,tabnet,0,0.57186,0.24039,0.50859,0.37949,0.77083,0.17144,0.68354,0.45417,1.975605
14_german_credit,off,False,tabnet,1,0.36637,0.26321,0.47382,0.31879,0.92233,0.05955,0.59173,0.36795,1.071935
14_german_credit,off,False,tabnet,2,0.2973,0.27323,0.45581,0.29787,0.9703,0.05815,0.59291,0.38367,1.354524
14_german_credit,off,False,tabpfn,0,0.76946,0.1603,0.56,0.62025,0.51042,0.30461,0.78342,0.60332,0.92139
14_german_credit,off,False,tabpfn,1,0.75375,0.15969,0.5,0.67213,0.39806,0.37549,0.80789,0.64581,0.782492
14_german_credit,off,False,tabpfn,2,0.78679,0.16749,0.52349,0.8125,0.38614,0.33638,0.79502,0.67628,0.744949
14_german_credit,off,False,xgb,0,0.7515,0.19763,0.54144,0.57647,0.51042,0.24312,0.7409,0.57543,0.113246
14_german_credit,off,False,xgb,1,0.72372,0.20361,0.51579,0.56322,0.47573,0.27651,0.7756,0.57971,0.082071
14_german_credit,off,False,xgb,2,0.75075,0.19517,0.55615,0.60465,0.51485,0.28851,0.76831,0.57611,0.082882
