dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
14_german_credit,on (ratio=0.1),False,ab,0,0.73273,0.22689,0.22609,0.52,0.14444,0.15051,0.63715,0.41631,0.097714
14_german_credit,on (ratio=0.1),False,ab,1,0.6967,0.23592,0.21705,0.46667,0.14141,0.04863,0.55506,0.34829,0.079659
14_german_credit,on (ratio=0.1),False,ab,2,0.69069,0.23497,0.20155,0.72222,0.11712,0.20103,0.69118,0.56253,0.174567
14_german_credit,on (ratio=0.1),False,ann,0,0.72973,0.21248,0.0,0.0,0.0,0.20553,0.7316,0.44292,7.699402
14_german_credit,on (ratio=0.1),False,ann,1,0.7027,0.23133,0.0,0.0,0.0,0.24869,0.74691,0.53152,11.149662
14_german_credit,on (ratio=0.1),False,ann,2,0.66667,0.26804,0.0,0.0,0.0,0.2271,0.73902,0.59309,7.591827
14_german_credit,on (ratio=0.1),False,bnb,0,0.73273,0.21011,0.32061,0.5122,0.23333,0.19462,0.72341,0.44081,0.009191
14_german_credit,on (ratio=0.1),False,bnb,1,0.74174,0.19808,0.34848,0.69697,0.23232,0.27079,0.76591,0.57545,0.017738
14_german_credit,on (ratio=0.1),False,bnb,2,0.70571,0.23355,0.3,0.72414,0.18919,0.2516,0.74304,0.59298,0.009121
14_german_credit,on (ratio=0.1),False,cb,0,0.74174,0.20318,0.12245,0.75,0.06667,0.27109,0.77083,0.559,3.907036
14_german_credit,on (ratio=0.1),False,cb,1,0.70571,0.23753,0.09259,0.55556,0.05051,0.20998,0.72054,0.49533,4.591533
14_german_credit,on (ratio=0.1),False,cb,2,0.68468,0.26644,0.10256,1.0,0.05405,0.296,0.77567,0.63411,3.354223
14_german_credit,on (ratio=0.1),False,dt,0,0.70871,0.29129,0.30216,0.42857,0.23333,0.03091,0.55905,0.30721,0.019359
14_german_credit,on (ratio=0.1),False,dt,1,0.66967,0.33033,0.23611,0.37778,0.17172,0.0067,0.52603,0.31112,0.049267
14_german_credit,on (ratio=0.1),False,dt,2,0.67868,0.32132,0.3354,0.54,0.24324,0.04365,0.56982,0.3836,0.013385
14_german_credit,on (ratio=0.1),False,gnb,0,0.33934,0.66066,0.39891,0.26449,0.81111,0.02145,0.54888,0.29982,0.015095
14_german_credit,on (ratio=0.1),False,gnb,1,0.37838,0.62162,0.45383,0.30714,0.86869,0.00411,0.52167,0.30681,0.00773
14_german_credit,on (ratio=0.1),False,gnb,2,0.36336,0.63662,0.44503,0.31365,0.76577,0.00707,0.51702,0.34961,0.011911
14_german_credit,on (ratio=0.1),False,knn,0,0.72973,0.22354,0.0,0.0,0.0,0.05897,0.60846,0.34414,0.370139
14_german_credit,on (ratio=0.1),False,knn,1,0.6997,0.23928,0.0,0.0,0.0,0.08045,0.63004,0.39012,0.471762
14_german_credit,on (ratio=0.1),False,knn,2,0.66967,0.26438,0.09836,0.54545,0.05405,0.0803,0.6198,0.43246,0.294057
14_german_credit,on (ratio=0.1),False,lda,0,0.75375,0.20098,0.33871,0.61765,0.23333,0.24941,0.75043,0.51036,0.593076
14_german_credit,on (ratio=0.1),False,lda,1,0.69069,0.22681,0.18898,0.42857,0.12121,0.22942,0.71614,0.4784,1.489195
14_german_credit,on (ratio=0.1),False,lda,2,0.68468,0.25065,0.17323,0.6875,0.0991,0.19474,0.7176,0.56933,0.481996
14_german_credit,on (ratio=0.1),False,lgbm,0,0.75075,0.22532,0.25225,0.66667,0.15556,0.19391,0.71189,0.47805,271.708914
14_german_credit,on (ratio=0.1),False,lgbm,1,0.6967,0.26332,0.16529,0.45455,0.10101,0.12155,0.66166,0.44711,322.22022
14_german_credit,on (ratio=0.1),False,lgbm,2,0.69369,0.2767,0.17742,0.84615,0.0991,0.21925,0.73298,0.59167,154.868014
14_german_credit,on (ratio=0.1),False,lr,0,0.75075,0.19532,0.2243,0.70588,0.13333,0.22076,0.73356,0.49824,0.018406
14_german_credit,on (ratio=0.1),False,lr,1,0.69369,0.21479,0.03774,0.28571,0.0202,0.23697,0.72818,0.49888,0.018709
14_german_credit,on (ratio=0.1),False,lr,2,0.68769,0.24282,0.11864,1.0,0.06306,0.23549,0.74219,0.60992,0.018533
14_german_credit,on (ratio=0.1),False,rf,0,0.73874,0.18957,0.06452,1.0,0.03333,0.25234,0.76685,0.54108,0.242595
14_german_credit,on (ratio=0.1),False,rf,1,0.7027,0.21314,0.0,0.0,0.0,0.23697,0.7519,0.53526,0.10984
14_german_credit,on (ratio=0.1),False,rf,2,0.66967,0.24369,0.01786,1.0,0.00901,0.24487,0.75655,0.59773,0.111543
14_german_credit,on (ratio=0.1),False,tabnet,0,0.34535,0.26761,0.40437,0.26812,0.82222,0.01843,0.51129,0.29534,1.802543
14_german_credit,on (ratio=0.1),False,tabnet,1,0.35736,0.26709,0.44271,0.29825,0.85859,0.06952,0.56924,0.39902,0.655438
