dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
14_german_credit,on (ratio=0.5),False,ab,0,0.74251,0.20091,0.54255,0.55435,0.53125,0.2841,0.77335,0.57393,0.144132
14_german_credit,on (ratio=0.5),False,ab,1,0.74775,0.20342,0.53333,0.62338,0.46602,0.30461,0.78919,0.60167,0.099784
14_german_credit,on (ratio=0.5),False,ab,2,0.73574,0.20478,0.48235,0.5942,0.40594,0.24883,0.75664,0.53787,0.099763
14_german_credit,on (ratio=0.5),False,ann,0,0.73653,0.17414,0.50562,0.54878,0.46875,0.24463,0.75748,0.54438,2.059509
14_german_credit,on (ratio=0.5),False,ann,1,0.73574,0.16678,0.4359,0.64151,0.3301,0.35024,0.79253,0.6079,0.335446
14_german_credit,on (ratio=0.5),False,ann,2,0.74474,0.16873,0.49102,0.62121,0.40594,0.29197,0.77893,0.60738,0.424596
14_german_credit,on (ratio=0.5),False,bnb,0,0.6976,0.19448,0.54299,0.48,0.625,0.25809,0.76186,0.54068,0.010674
14_german_credit,on (ratio=0.5),False,bnb,1,0.73874,0.17626,0.57143,0.58,0.56311,0.31937,0.78079,0.60135,0.009603
14_german_credit,on (ratio=0.5),False,bnb,2,0.74174,0.18748,0.57,0.57576,0.56436,0.28189,0.76432,0.56714,0.009638
14_german_credit,on (ratio=0.5),False,cb,0,0.77545,0.16084,0.55621,0.64384,0.48958,0.31026,0.78501,0.599,1.634707
14_german_credit,on (ratio=0.5),False,cb,1,0.76577,0.15757,0.54651,0.68116,0.45631,0.3741,0.81435,0.65408,1.629083
14_german_credit,on (ratio=0.5),False,cb,2,0.77778,0.1604,0.55422,0.70769,0.45545,0.32797,0.79302,0.65974,1.657767
14_german_credit,on (ratio=0.5),False,dt,0,0.68862,0.31138,0.52727,0.46774,0.60417,0.12834,0.66343,0.39637,0.011995
14_german_credit,on (ratio=0.5),False,dt,1,0.69369,0.30631,0.51429,0.50467,0.52427,0.11231,0.64692,0.41173,0.011383
14_german_credit,on (ratio=0.5),False,dt,2,0.64865,0.35135,0.40609,0.41667,0.39604,0.03365,0.57733,0.3482,0.01105
14_german_credit,on (ratio=0.5),False,gnb,0,0.69461,0.25194,0.575,0.47917,0.71875,0.2686,0.74645,0.4719,0.009384
14_german_credit,on (ratio=0.5),False,gnb,1,0.67568,0.28105,0.5814,0.48387,0.72816,0.24206,0.71152,0.57397,0.008967
14_german_credit,on (ratio=0.5),False,gnb,2,0.48048,0.49103,0.52078,0.36154,0.93069,0.27149,0.75817,0.55289,0.008894
14_german_credit,on (ratio=0.5),False,knn,0,0.71557,0.20563,0.48649,0.50562,0.46875,0.14168,0.681,0.44051,0.01404
14_german_credit,on (ratio=0.5),False,knn,1,0.71471,0.19459,0.46927,0.55263,0.40777,0.16062,0.7049,0.50551,0.01411
14_german_credit,on (ratio=0.5),False,knn,2,0.7027,0.19435,0.46486,0.5119,0.42574,0.18449,0.71198,0.5233,0.013037
14_german_credit,on (ratio=0.5),False,lda,0,0.74551,0.18831,0.5641,0.55556,0.57292,0.2397,0.73958,0.56181,0.018324
14_german_credit,on (ratio=0.5),False,lda,1,0.74174,0.17203,0.55208,0.59551,0.51456,0.31975,0.78396,0.61105,0.016368
14_german_credit,on (ratio=0.5),False,lda,2,0.77477,0.16558,0.56647,0.68056,0.48515,0.32212,0.78602,0.61783,0.016156
14_german_credit,on (ratio=0.5),False,lgbm,0,0.72754,0.19276,0.48588,0.53086,0.44792,0.22787,0.74138,0.56188,0.220608
14_german_credit,on (ratio=0.5),False,lgbm,1,0.73874,0.18973,0.52973,0.59756,0.47573,0.27932,0.77936,0.61004,0.212262
14_german_credit,on (ratio=0.5),False,lgbm,2,0.75976,0.17924,0.56522,0.62651,0.51485,0.28245,0.77723,0.59737,0.190789
14_german_credit,on (ratio=0.5),False,lr,0,0.73952,0.17791,0.53968,0.54839,0.53125,0.26241,0.75123,0.57742,0.009898
14_german_credit,on (ratio=0.5),False,lr,1,0.74174,0.16821,0.54255,0.6,0.49515,0.31631,0.78577,0.60725,0.009651
14_german_credit,on (ratio=0.5),False,lr,2,0.77177,0.16618,0.55294,0.68116,0.46535,0.29898,0.78252,0.60136,0.014353
14_german_credit,on (ratio=0.5),False,rf,0,0.79042,0.16349,0.5679,0.69697,0.47917,0.30683,0.78267,0.58443,0.156644
14_german_credit,on (ratio=0.5),False,rf,1,0.76877,0.16024,0.52174,0.72414,0.40777,0.37087,0.81182,0.64657,0.152245
14_german_credit,on (ratio=0.5),False,rf,2,0.77477,0.16238,0.53416,0.71667,0.42574,0.33408,0.79765,0.65222,0.188777
14_german_credit,on (ratio=0.5),False,tabnet,0,0.31138,0.28533,0.44444,0.28931,0.95833,0.03456,0.4907,0.26701,2.769743
14_german_credit,on (ratio=0.5),False,tabnet,1,0.58859,0.24455,0.44082,0.38028,0.52427,0.07928,0.60583,0.38646,4.547923
14_german_credit,on (ratio=0.5),False,tabnet,2,0.38438,0.25723,0.43836,0.30303,0.79208,0.03477,0.54993,0.35265,2.207638
14_german_credit,on (ratio=0.5),False,tabpfn,0,0.75449,0.16418,0.54945,0.5814,0.52083,0.30715,0.77648,0.5989,2.339137
14_german_credit,on (ratio=0.5),False,tabpfn,1,0.75075,0.16143,0.52571,0.63889,0.4466,0.36849,0.80707,0.61985,2.204049
14_german_credit,on (ratio=0.5),False,tabpfn,2,0.72973,0.17139,0.39189,0.61702,0.28713,0.29311,0.77253,0.61584,2.260753
14_german_credit,on (ratio=0.5),False,xgb,0,0.7515,0.19722,0.54645,0.57471,0.52083,0.24891,0.73499,0.57801,0.083711
14_german_credit,on (ratio=0.5),False,xgb,1,0.71471,0.20447,0.51282,0.54348,0.48544,0.28532,0.7832,0.59286,0.085771
14_german_credit,on (ratio=0.5),False,xgb,2,0.74174,0.19727,0.55208,0.58242,0.52475,0.29651,0.77522,0.59911,0.07452
