dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
14_german_credit,off,True,ab,0,0.75375,0.22713,0.37879,0.59524,0.27778,0.29386,0.77828,0.51866,0.067161
14_german_credit,off,True,ab,1,0.7027,0.22902,0.33557,0.5,0.25253,0.2289,0.73597,0.49461,0.067394
14_german_credit,off,True,ab,2,0.70871,0.22799,0.32168,0.71875,0.20721,0.30063,0.78476,0.62434,0.066624
14_german_credit,off,True,ann,0,0.77177,0.15665,0.5914,0.57292,0.61111,0.33547,0.79726,0.60978,0.161037
14_german_credit,off,True,ann,1,0.75375,0.16276,0.52874,0.61333,0.46465,0.32025,0.79647,0.59397,0.189914
14_german_credit,off,True,ann,2,0.72973,0.17925,0.53608,0.62651,0.46847,0.3178,0.7837,0.66669,0.182248
14_german_credit,off,True,bnb,0,0.72973,0.19087,0.56311,0.5,0.64444,0.28034,0.76936,0.50777,0.003245
14_german_credit,off,True,bnb,1,0.73273,0.17589,0.56158,0.54808,0.57576,0.31044,0.78525,0.59445,0.003319
14_german_credit,off,True,bnb,2,0.72673,0.18533,0.54271,0.61364,0.48649,0.2893,0.77802,0.63717,0.003338
14_german_credit,off,True,cb,0,0.76276,0.16914,0.54335,0.56627,0.52222,0.30437,0.78217,0.59019,0.185731
14_german_credit,off,True,cb,1,0.74775,0.18927,0.51724,0.6,0.45455,0.28489,0.77411,0.58211,0.21048
14_german_credit,off,True,cb,2,0.72072,0.19563,0.46243,0.64516,0.36036,0.29623,0.77465,0.62862,0.199286
14_german_credit,off,True,dt,0,0.71171,0.21622,0.40741,0.45833,0.36667,0.15725,0.69508,0.4029,0.003896
14_german_credit,off,True,dt,1,0.68168,0.19869,0.48039,0.46667,0.49495,0.19531,0.72602,0.46791,0.003747
14_german_credit,off,True,dt,2,0.69369,0.211,0.46316,0.55696,0.3964,0.20884,0.71157,0.52364,0.003653
14_german_credit,off,True,gnb,0,0.72973,0.22233,0.54082,0.5,0.58889,0.26152,0.7567,0.48239,0.00296
14_german_credit,off,True,gnb,1,0.71772,0.2228,0.59483,0.5188,0.69697,0.28102,0.77212,0.5907,0.003032
14_german_credit,off,True,gnb,2,0.74474,0.19941,0.5933,0.63265,0.55856,0.31239,0.77112,0.65257,0.002974
14_german_credit,off,True,knn,0,0.75375,0.17619,0.37879,0.59524,0.27778,0.17129,0.71429,0.46577,0.015405
14_german_credit,off,True,knn,1,0.75375,0.17863,0.42254,0.69767,0.30303,0.20658,0.73489,0.51785,0.004055
14_german_credit,off,True,knn,2,0.69369,0.19235,0.31081,0.62162,0.20721,0.20123,0.73663,0.56004,0.003763
14_german_credit,off,True,lda,0,0.75075,0.17069,0.55615,0.53608,0.57778,0.31072,0.78473,0.55652,0.008692
14_german_credit,off,True,lda,1,0.73574,0.16902,0.49425,0.57333,0.43434,0.30582,0.78408,0.58582,0.005311
14_german_credit,off,True,lda,2,0.75375,0.17321,0.52326,0.7377,0.40541,0.31851,0.78488,0.68185,0.004344
14_german_credit,off,True,lgbm,0,0.76877,0.16237,0.57459,0.57143,0.57778,0.33207,0.7973,0.5971,0.057038
14_german_credit,off,True,lgbm,1,0.71171,0.19032,0.42857,0.52174,0.36364,0.24443,0.75261,0.53956,0.32592
14_german_credit,off,True,lgbm,2,0.72973,0.18916,0.48864,0.66154,0.38739,0.29777,0.77279,0.63455,0.328308
14_german_credit,off,True,lr,0,0.72973,0.18524,0.02174,0.5,0.01111,0.15666,0.69909,0.41834,0.003253
14_german_credit,off,True,lr,1,0.6997,0.18282,0.01961,0.33333,0.0101,0.24219,0.75565,0.51597,0.016397
14_german_credit,off,True,lr,2,0.66667,0.19314,0.0,0.0,0.0,0.24283,0.75375,0.55178,0.012152
14_german_credit,off,True,rf,0,0.77177,0.16105,0.50649,0.60938,0.43333,0.29752,0.77931,0.5799,0.04821
14_german_credit,off,True,rf,1,0.74775,0.16801,0.45455,0.63636,0.35354,0.28782,0.77858,0.5819,0.069431
14_german_credit,off,True,rf,2,0.73574,0.1747,0.4359,0.75556,0.30631,0.32211,0.79571,0.65605,0.079842
14_german_credit,off,True,tabnet,0,0.70871,0.19832,0.34014,0.4386,0.27778,0.13583,0.66424,0.39238,3.143363
14_german_credit,off,True,tabnet,1,0.46847,0.40479,0.40404,0.30303,0.60606,0.01788,0.509,0.32278,1.417735
14_german_credit,off,True,tabnet,2,0.4985,0.41196,0.44884,0.35417,0.61261,0.02579,0.52171,0.34177,1.130326
14_german_credit,off,True,xgb,0,0.78679,0.15946,0.60335,0.60674,0.6,0.32125,0.78903,0.59294,0.022714
14_german_credit,off,True,xgb,1,0.72372,0.18107,0.45238,0.55072,0.38384,0.25113,0.75771,0.54683,0.025687
14_german_credit,off,True,xgb,2,0.75375,0.17443,0.52874,0.73016,0.41441,0.34129,0.80399,0.67801,0.024356
14_german_credit,off,True,tabpfn_rf,0,0.78679,0.16207,0.5298,0.65574,0.44444,0.3057,0.77147,0.5583,91.079876
14_german_credit,off,True,tabpfn_rf,1,0.71772,0.18483,0.30882,0.56757,0.21212,0.23519,0.74303,0.51131,77.857904
14_german_credit,off,True,tabpfn_rf,2,0.73273,0.1919,0.46707,0.69643,0.35135,0.25723,0.73712,0.61535,97.830993
