dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
14_german_credit,off,True,ab,0,0.72754,0.19455,0.4129,0.54237,0.33333,0.21952,0.73724,0.4974,0.833515
14_german_credit,off,True,ab,1,0.72973,0.19042,0.375,0.65854,0.26214,0.32174,0.79483,0.60497,0.809635
14_german_credit,off,True,ab,2,0.71171,0.19367,0.2381,0.6,0.14851,0.22386,0.73967,0.50963,0.811438
14_german_credit,off,True,ann,0,0.74251,0.17358,0.57843,0.5463,0.61458,0.26368,0.76274,0.55091,0.374105
14_german_credit,off,True,ann,1,0.76276,0.16545,0.59487,0.63043,0.56311,0.32953,0.78632,0.6127,0.379185
14_german_credit,off,True,ann,2,0.77177,0.16769,0.58696,0.6506,0.53465,0.30727,0.78474,0.6172,0.395824
14_german_credit,off,True,bnb,0,0.70359,0.19298,0.54378,0.4876,0.61458,0.25665,0.76339,0.55226,0.009592
14_german_credit,off,True,bnb,1,0.73574,0.17736,0.55102,0.58065,0.52427,0.31461,0.77902,0.59704,0.009903
14_german_credit,off,True,bnb,2,0.73273,0.19138,0.53886,0.56522,0.51485,0.26194,0.76325,0.55898,0.009933
14_german_credit,off,True,cb,0,0.76946,0.16489,0.54971,0.62667,0.48958,0.30448,0.77998,0.61732,0.359571
14_german_credit,off,True,cb,1,0.74174,0.16505,0.52747,0.60759,0.46602,0.34445,0.79835,0.6243,0.366548
14_german_credit,off,True,cb,2,0.77778,0.16333,0.57955,0.68,0.50495,0.35633,0.80049,0.61276,0.339848
14_german_credit,off,True,dt,0,0.68563,0.19695,0.4385,0.45055,0.42708,0.14286,0.6817,0.42422,0.010607
14_german_credit,off,True,dt,1,0.70871,0.20657,0.45198,0.54054,0.38835,0.19207,0.72142,0.48043,0.011319
14_german_credit,off,True,dt,2,0.70571,0.2075,0.27941,0.54286,0.18812,0.13935,0.69386,0.44531,0.011187
14_german_credit,off,True,gnb,0,0.73353,0.21735,0.58605,0.52941,0.65625,0.27071,0.76313,0.53533,0.008871
14_german_credit,off,True,gnb,1,0.72072,0.22655,0.59031,0.54032,0.65049,0.27799,0.73765,0.59263,0.009579
14_german_credit,off,True,gnb,2,0.75676,0.21857,0.60488,0.59615,0.61386,0.28471,0.76455,0.58656,0.009624
14_german_credit,off,True,knn,0,0.73054,0.17832,0.29688,0.59375,0.19792,0.23135,0.73464,0.51043,0.021481
14_german_credit,off,True,knn,1,0.74174,0.17594,0.36765,0.75758,0.24272,0.27564,0.76686,0.61479,0.022521
14_german_credit,off,True,knn,2,0.73874,0.18061,0.32558,0.75,0.20792,0.22577,0.73848,0.56974,0.02193
14_german_credit,off,True,lda,0,0.73952,0.18537,0.54922,0.54639,0.55208,0.23962,0.74072,0.55564,0.017297
14_german_credit,off,True,lda,1,0.72673,0.17184,0.50811,0.57317,0.45631,0.31681,0.78261,0.60764,0.030919
14_german_credit,off,True,lda,2,0.78078,0.16514,0.56805,0.70588,0.47525,0.33219,0.78546,0.61147,0.017328
14_german_credit,off,True,lgbm,0,0.75749,0.16474,0.54237,0.59259,0.5,0.2831,0.76685,0.61898,0.056881
14_german_credit,off,True,lgbm,1,0.71171,0.16668,0.44828,0.5493,0.37864,0.34582,0.78869,0.60263,0.137546
14_german_credit,off,True,lgbm,2,0.75075,0.17,0.48447,0.65,0.38614,0.29378,0.78188,0.56565,0.146242
14_german_credit,off,True,lr,0,0.73653,0.17301,0.52688,0.54444,0.51042,0.25163,0.75127,0.5669,0.00957
14_german_credit,off,True,lr,1,0.73874,0.16667,0.49711,0.61429,0.41748,0.32228,0.78696,0.60661,0.009414
14_german_credit,off,True,lr,2,0.76276,0.1661,0.50314,0.68966,0.39604,0.32113,0.78683,0.60697,0.010064
14_german_credit,off,True,rf,0,0.73952,0.17015,0.25641,0.71429,0.15625,0.31861,0.79434,0.59479,0.489596
14_german_credit,off,True,rf,1,0.70871,0.17409,0.17094,0.71429,0.09709,0.37867,0.81034,0.62326,0.489737
14_german_credit,off,True,rf,2,0.7027,0.1774,0.09174,0.625,0.0495,0.31013,0.78534,0.61455,0.518368
14_german_credit,off,True,tabnet,0,0.62874,0.23467,0.39216,0.37037,0.41667,0.1195,0.64732,0.4309,7.417785
14_german_credit,off,True,tabnet,1,0.53453,0.36473,0.47458,0.36458,0.67961,0.07806,0.59886,0.4077,3.348903
14_german_credit,off,True,tabnet,2,0.55556,0.26207,0.49315,0.37696,0.71287,0.12778,0.6671,0.4279,7.717509
14_german_credit,off,True,xgb,0,0.76647,0.16166,0.55172,0.61538,0.5,0.31415,0.77867,0.61381,0.068618
14_german_credit,off,True,xgb,1,0.72973,0.16358,0.47674,0.5942,0.39806,0.35669,0.80224,0.61661,0.061078
14_german_credit,off,True,xgb,2,0.74775,0.173,0.44,0.67347,0.32673,0.27078,0.77066,0.56012,0.081358
