dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
14_german_credit,on (ratio=0.1),True,ab,0,0.71257,0.18987,0.0,0.0,0.0,0.20118,0.73048,0.49102,0.532369
14_german_credit,on (ratio=0.1),True,ab,1,0.69069,0.19353,0.0,0.0,0.0,0.28927,0.7606,0.55766,0.537371
14_german_credit,on (ratio=0.1),True,ab,2,0.6967,0.20025,0.0,0.0,0.0,0.18672,0.71505,0.48963,0.541457
14_german_credit,on (ratio=0.1),True,ann,0,0.71257,0.22821,0.0,0.0,0.0,0.24972,0.75696,0.54432,0.341533
14_german_credit,on (ratio=0.1),True,ann,1,0.69069,0.24764,0.0,0.0,0.0,0.24756,0.74588,0.57099,0.265987
14_german_credit,on (ratio=0.1),True,ann,2,0.6967,0.24483,0.0,0.0,0.0,0.18226,0.71279,0.4986,0.26947
14_german_credit,on (ratio=0.1),True,bnb,0,0.73054,0.20682,0.3662,0.56522,0.27083,0.22439,0.74238,0.5219,0.00989
14_german_credit,on (ratio=0.1),True,bnb,1,0.72973,0.21105,0.4,0.6383,0.29126,0.26371,0.74787,0.59481,0.009553
14_german_credit,on (ratio=0.1),True,bnb,2,0.70871,0.23895,0.33103,0.54545,0.23762,0.20968,0.72557,0.49181,0.010096
14_german_credit,on (ratio=0.1),True,cb,0,0.72455,0.22842,0.08,1.0,0.04167,0.23011,0.7454,0.56307,6.118971
14_german_credit,on (ratio=0.1),True,cb,1,0.6967,0.23887,0.05607,0.75,0.02913,0.25499,0.76463,0.55755,5.280021
14_german_credit,on (ratio=0.1),True,cb,2,0.6997,0.2453,0.01961,1.0,0.0099,0.19277,0.70711,0.55037,5.613658
14_german_credit,on (ratio=0.1),True,dt,0,0.70659,0.21178,0.14035,0.44444,0.08333,0.1716,0.71413,0.44384,0.014573
14_german_credit,on (ratio=0.1),True,dt,1,0.70871,0.22903,0.32168,0.575,0.2233,0.15788,0.70374,0.46685,0.009879
14_german_credit,on (ratio=0.1),True,dt,2,0.68468,0.25637,0.10256,0.375,0.05941,0.09282,0.60588,0.36063,0.009261
14_german_credit,on (ratio=0.1),True,gnb,0,0.73653,0.23214,0.46988,0.55714,0.40625,0.2219,0.73936,0.50586,0.014909
14_german_credit,on (ratio=0.1),True,gnb,1,0.72072,0.23328,0.56338,0.54545,0.58252,0.23736,0.70768,0.59447,0.009714
14_german_credit,on (ratio=0.1),True,gnb,2,0.70571,0.25434,0.43023,0.52113,0.36634,0.18017,0.70143,0.48572,0.009028
14_german_credit,on (ratio=0.1),True,knn,0,0.71257,0.23196,0.0,0.0,0.0,0.1829,0.70326,0.51625,0.08474
14_german_credit,on (ratio=0.1),True,knn,1,0.69069,0.23332,0.0,0.0,0.0,0.21532,0.72714,0.54478,0.067059
14_german_credit,on (ratio=0.1),True,knn,2,0.6967,0.23827,0.0,0.0,0.0,0.21334,0.71669,0.5307,0.071747
14_german_credit,on (ratio=0.1),True,lda,0,0.7485,0.21394,0.36364,0.66667,0.25,0.17603,0.68903,0.50327,0.021487
14_german_credit,on (ratio=0.1),True,lda,1,0.72673,0.21499,0.30534,0.71429,0.19417,0.26211,0.75496,0.59671,0.016643
14_german_credit,on (ratio=0.1),True,lda,2,0.72072,0.23635,0.27907,0.64286,0.17822,0.17585,0.69815,0.5054,0.143286
14_german_credit,on (ratio=0.1),True,lgbm,0,0.73054,0.1994,0.11765,1.0,0.0625,0.27198,0.74742,0.61,0.359677
14_german_credit,on (ratio=0.1),True,lgbm,1,0.71471,0.21568,0.14414,1.0,0.07767,0.26336,0.75602,0.59467,0.218376
14_german_credit,on (ratio=0.1),True,lgbm,2,0.6997,0.23343,0.10714,0.54545,0.05941,0.15461,0.69081,0.46483,0.449247
14_german_credit,on (ratio=0.1),True,lr,0,0.71257,0.20901,0.02041,0.5,0.01042,0.21746,0.7314,0.51919,0.013659
14_german_credit,on (ratio=0.1),True,lr,1,0.69369,0.21929,0.01923,1.0,0.00971,0.28127,0.77087,0.59862,0.009537
14_german_credit,on (ratio=0.1),True,lr,2,0.6997,0.22834,0.03846,0.66667,0.0198,0.20874,0.73101,0.51072,0.011678
14_german_credit,on (ratio=0.1),True,rf,0,0.71257,0.21119,0.0,0.0,0.0,0.28182,0.77298,0.59965,0.647076
14_german_credit,on (ratio=0.1),True,rf,1,0.69069,0.22137,0.0,0.0,0.0,0.33286,0.78898,0.60883,0.511856
14_german_credit,on (ratio=0.1),True,rf,2,0.6967,0.22767,0.0,0.0,0.0,0.22135,0.73306,0.54345,0.498759
14_german_credit,on (ratio=0.1),True,tabnet,0,0.51796,0.25603,0.45424,0.33668,0.69792,0.08063,0.60872,0.39586,4.725364
14_german_credit,on (ratio=0.1),True,tabnet,1,0.38739,0.3286,0.42373,0.2988,0.72816,0.04445,0.52854,0.37354,1.42564
14_german_credit,on (ratio=0.1),True,tabnet,2,0.64565,0.24147,0.34444,0.39241,0.30693,0.06286,0.59272,0.40062,1.490788
