dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
14_german_credit,on (ratio=0.1),True,ann,0,0.72973,0.20699,0.0,0.0,0.0,0.21953,0.73667,0.46733,66.377863
14_german_credit,on (ratio=0.1),True,ann,1,0.7027,0.22166,0.0,0.0,0.0,0.26577,0.76276,0.54866,63.841474
14_german_credit,on (ratio=0.1),True,ann,2,0.66667,0.25132,0.0,0.0,0.0,0.25795,0.75712,0.6203,52.721262
14_german_credit,on (ratio=0.1),True,tabpfn_auto,0,0.73874,0.20539,0.10309,0.71429,0.05556,0.20718,0.73086,0.49325,1491.914879
14_german_credit,on (ratio=0.1),True,tabpfn_auto,1,0.7027,0.22734,0.0,0.0,0.0,0.24194,0.73431,0.49683,1629.007404
14_german_credit,on (ratio=0.1),True,tabpfn_auto,2,0.66667,0.25659,0.0,0.0,0.0,0.30491,0.77924,0.66436,1685.493564
14_german_credit,on (ratio=0.1),True,ab,0,0.72973,0.18801,0.0,0.0,0.0,0.15768,0.71065,0.4076,0.183008
14_german_credit,on (ratio=0.1),True,ab,1,0.7027,0.20216,0.0,0.0,0.0,0.17856,0.71286,0.44374,0.201271
14_german_credit,on (ratio=0.1),True,ab,2,0.66667,0.22081,0.0,0.0,0.0,0.25345,0.75416,0.57444,0.24501
14_german_credit,on (ratio=0.1),True,bnb,0,0.73574,0.20939,0.33333,0.52381,0.24444,0.18939,0.72144,0.44204,0.011412
14_german_credit,on (ratio=0.1),True,bnb,1,0.74775,0.19706,0.37313,0.71429,0.25253,0.2708,0.76647,0.57447,0.035939
14_german_credit,on (ratio=0.1),True,bnb,2,0.71171,0.23364,0.32394,0.74194,0.20721,0.24889,0.74089,0.58817,0.009271
14_german_credit,on (ratio=0.1),True,cb,0,0.73273,0.19946,0.02198,1.0,0.01111,0.28667,0.7743,0.55551,4.46742
14_german_credit,on (ratio=0.1),True,cb,1,0.70871,0.22366,0.0396,1.0,0.0202,0.23215,0.74411,0.524,7.12033
14_german_credit,on (ratio=0.1),True,cb,2,0.66967,0.24652,0.01786,1.0,0.00901,0.30049,0.77847,0.65005,6.249542
14_german_credit,on (ratio=0.1),True,dt,0,0.73574,0.2116,0.15385,0.57143,0.08889,0.14944,0.69376,0.4114,0.008674
14_german_credit,on (ratio=0.1),True,dt,1,0.6997,0.23707,0.0,0.0,0.0,0.10797,0.63509,0.40056,0.009
14_german_credit,on (ratio=0.1),True,dt,2,0.66967,0.26844,0.08333,0.55556,0.04505,0.16802,0.69651,0.48135,0.008937
14_german_credit,on (ratio=0.1),True,gnb,0,0.69069,0.2682,0.42458,0.42697,0.42222,0.12981,0.64056,0.40893,0.011156
14_german_credit,on (ratio=0.1),True,gnb,1,0.70571,0.26242,0.5625,0.504,0.63636,0.21071,0.69183,0.51115,0.008714
14_german_credit,on (ratio=0.1),True,gnb,2,0.68769,0.26653,0.46939,0.54118,0.41441,0.15052,0.6282,0.52918,0.013132
14_german_credit,on (ratio=0.1),True,knn,0,0.72973,0.21857,0.0,0.0,0.0,0.07655,0.63377,0.37187,0.67525
14_german_credit,on (ratio=0.1),True,knn,1,0.7027,0.23286,0.0,0.0,0.0,0.11333,0.67148,0.43246,0.3726
14_german_credit,on (ratio=0.1),True,knn,2,0.66667,0.25826,0.0,0.0,0.0,0.13063,0.67708,0.48265,0.394796
14_german_credit,on (ratio=0.1),True,lda,0,0.73574,0.21249,0.29032,0.52941,0.2,0.2247,0.73626,0.48613,0.121979
14_german_credit,on (ratio=0.1),True,lda,1,0.6997,0.24019,0.4898,0.49485,0.48485,0.1575,0.69041,0.4576,0.242438
14_german_credit,on (ratio=0.1),True,lda,2,0.67568,0.29595,0.06897,0.8,0.03604,0.12884,0.66159,0.50857,0.077923
14_german_credit,on (ratio=0.1),True,lgbm,0,0.74775,0.21535,0.23636,0.65,0.14444,0.23053,0.73909,0.52169,278.172191
14_german_credit,on (ratio=0.1),True,lgbm,1,0.6967,0.25929,0.13675,0.44444,0.08081,0.13432,0.66839,0.44703,182.970921
