dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
22_bank_status,off,False,ab,0,0.81991,0.22303,0.33393,0.97843,0.20132,0.23798,0.75328,0.56021,5.480435
22_bank_status,off,False,ab,1,0.81973,0.22245,0.3488,0.9804,0.21214,0.24359,0.756,0.56927,5.872586
22_bank_status,off,False,ab,2,0.81844,0.22347,0.33973,0.97729,0.2056,0.23598,0.75075,0.56137,5.932883
22_bank_status,off,False,ann,0,0.81976,0.14269,0.32805,1.0,0.19621,0.2019,0.71196,0.51899,1809.217307
22_bank_status,off,False,ann,1,0.81934,0.14265,0.34187,1.0,0.20617,0.21324,0.72036,0.53423,1821.138288
22_bank_status,off,False,ann,2,0.81826,0.14326,0.33337,1.0,0.20003,0.20442,0.71137,0.52451,1930.225151
22_bank_status,off,False,bnb,0,0.77522,0.17364,0.0093,0.39773,0.00471,0.02824,0.58482,0.28025,0.300106
22_bank_status,off,False,bnb,1,0.77308,0.17428,0.01673,0.60377,0.00848,0.0317,0.58883,0.28931,0.346125
22_bank_status,off,False,bnb,2,0.77287,0.17432,0.00999,0.51351,0.00504,0.03027,0.58542,0.28543,0.397971
22_bank_status,off,False,cb,0,0.82,0.13365,0.35962,0.88912,0.22539,0.25345,0.76568,0.57722,36.555809
22_bank_status,off,False,cb,1,0.82037,0.13372,0.37577,0.8983,0.23758,0.2598,0.76916,0.58684,40.50306
22_bank_status,off,False,cb,2,0.81844,0.13506,0.36292,0.89463,0.22763,0.25113,0.76414,0.57679,37.167663
22_bank_status,off,False,dt,0,0.74085,0.25915,0.42668,0.42335,0.43007,0.10132,0.63037,0.30987,1.632382
22_bank_status,off,False,dt,1,0.74341,0.25659,0.43668,0.43636,0.43699,0.10907,0.63534,0.31882,1.179524
22_bank_status,off,False,dt,2,0.74196,0.25804,0.43116,0.43188,0.43045,0.10437,0.632,0.3153,1.233256
22_bank_status,off,False,gnb,0,0.4538,0.35402,0.41565,0.27342,0.86633,0.19324,0.70092,0.49414,0.378136
22_bank_status,off,False,gnb,1,0.73886,0.19974,0.42035,0.42473,0.41606,0.19549,0.69787,0.49321,0.274864
22_bank_status,off,False,gnb,2,0.62744,0.2583,0.42676,0.32805,0.61043,0.19077,0.69231,0.49194,0.129283
22_bank_status,off,False,knn,0,0.79003,0.16365,0.38386,0.56119,0.29169,0.16832,0.67338,0.45228,2.042187
22_bank_status,off,False,knn,1,0.78831,0.16439,0.37887,0.57017,0.28369,0.17302,0.67245,0.46044,1.996757
22_bank_status,off,False,knn,2,0.78964,0.1649,0.38057,0.57484,0.28444,0.16795,0.66869,0.45634,1.91688
22_bank_status,off,False,lda,0,0.81979,0.14149,0.32854,0.99863,0.19661,0.2113,0.72514,0.53125,1.315562
22_bank_status,off,False,lda,1,0.81949,0.14167,0.34306,0.99872,0.2071,0.22085,0.73028,0.54374,1.61567
22_bank_status,off,False,lda,2,0.81829,0.14274,0.33355,1.0,0.20016,0.21112,0.7222,0.53474,1.582123
22_bank_status,off,False,lgbm,0,0.82061,0.13403,0.34905,0.93658,0.2145,0.24961,0.7632,0.57259,565.892587
22_bank_status,off,False,lgbm,1,0.82028,0.13416,0.36366,0.93623,0.22565,0.25555,0.7663,0.58176,715.133437
22_bank_status,off,False,lgbm,2,0.81862,0.13533,0.35148,0.93624,0.21635,0.24796,0.76192,0.57386,865.619226
22_bank_status,off,False,lr,0,0.81976,0.13853,0.32895,0.99592,0.19701,0.21224,0.72573,0.53183,0.362144
22_bank_status,off,False,lr,1,0.81943,0.13897,0.34284,0.99808,0.20697,0.2166,0.72493,0.53915,0.943181
22_bank_status,off,False,lr,2,0.81829,0.14018,0.334,0.99802,0.20056,0.20717,0.71632,0.5294,1.35752
22_bank_status,off,False,rf,0,0.82025,0.13197,0.35841,0.89757,0.22391,0.26912,0.78293,0.57744,10.710222
22_bank_status,off,False,rf,1,0.81994,0.13215,0.3718,0.90245,0.23413,0.27422,0.78494,0.58763,24.102966
22_bank_status,off,False,rf,2,0.81952,0.1324,0.36391,0.91307,0.22724,0.27322,0.78556,0.58441,20.689369
22_bank_status,off,False,tabnet,0,0.71298,0.19225,0.4497,0.39442,0.523,0.21327,0.72565,0.53124,50.822532
22_bank_status,off,False,tabnet,1,0.68334,0.19563,0.46174,0.37653,0.59679,0.22461,0.73792,0.5492,130.25194
22_bank_status,off,False,tabnet,2,0.7011,0.19362,0.46048,0.39029,0.56145,0.22005,0.73497,0.54413,202.296684
22_bank_status,off,False,tabpfn,0,0.81976,0.13752,0.32805,1.0,0.19621,0.23339,0.74796,0.55645,194.005172
22_bank_status,off,False,tabpfn,1,0.81934,0.13745,0.34187,1.0,0.20617,0.24229,0.75245,0.57035,202.167078
22_bank_status,off,False,tabpfn,2,0.81826,0.1387,0.33337,1.0,0.20003,0.23574,0.74982,0.56294,199.077079
22_bank_status,off,False,xgb,0,0.81829,0.1366,0.3749,0.81987,0.24301,0.23849,0.7544,0.56124,165.995592
22_bank_status,off,False,xgb,1,0.81774,0.13652,0.38814,0.82239,0.25401,0.24569,0.7574,0.57341,231.82209
22_bank_status,off,False,xgb,2,0.81479,0.1382,0.3716,0.81071,0.24104,0.2362,0.75237,0.56204,165.308405
