dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
22_bank_status,on (ratio=0.1),False,ab,0,0.81979,0.22046,0.32824,1.0,0.19634,0.23546,0.75146,0.55737,3.068748
22_bank_status,on (ratio=0.1),False,ab,1,0.81931,0.22002,0.34168,1.0,0.20604,0.24278,0.75431,0.56905,2.941432
22_bank_status,on (ratio=0.1),False,ab,2,0.81814,0.22069,0.33278,0.99934,0.19963,0.23458,0.74968,0.55939,3.297603
22_bank_status,on (ratio=0.1),False,ann,0,0.78792,0.16041,0.10282,1.0,0.0542,0.20045,0.70991,0.5151,528.500328
22_bank_status,on (ratio=0.1),False,ann,1,0.79009,0.1648,0.1441,1.0,0.07765,0.21057,0.71657,0.53152,504.078041
22_bank_status,on (ratio=0.1),False,ann,2,0.79072,0.16439,0.14616,1.0,0.07884,0.20424,0.71113,0.52345,539.451255
22_bank_status,on (ratio=0.1),False,bnb,0,0.77574,0.18471,0.0,0.0,0.0,0.02806,0.58537,0.28023,0.237511
22_bank_status,on (ratio=0.1),False,bnb,1,0.77242,0.18711,0.00079,0.5,0.0004,0.03092,0.58967,0.28931,0.217514
22_bank_status,on (ratio=0.1),False,bnb,2,0.77278,0.18689,0.0,0.0,0.0,0.03018,0.58579,0.28719,0.176999
22_bank_status,on (ratio=0.1),False,cb,0,0.81988,0.14785,0.33001,0.99459,0.19782,0.24145,0.75532,0.56577,7.53235
22_bank_status,on (ratio=0.1),False,cb,1,0.81946,0.14815,0.34375,0.99492,0.20776,0.24815,0.75922,0.5755,8.02757
22_bank_status,on (ratio=0.1),False,cb,2,0.81811,0.14935,0.33407,0.99278,0.20082,0.24293,0.75723,0.5696,7.392066
22_bank_status,on (ratio=0.1),False,dt,0,0.78554,0.21446,0.40003,0.53667,0.31885,0.12069,0.61964,0.32385,0.880631
22_bank_status,on (ratio=0.1),False,dt,1,0.78406,0.21594,0.40518,0.54297,0.32317,0.12317,0.62151,0.3295,0.759175
22_bank_status,on (ratio=0.1),False,dt,2,0.78319,0.21681,0.40302,0.53814,0.32214,0.12088,0.62043,0.32736,0.889699
22_bank_status,on (ratio=0.1),False,gnb,0,0.36825,0.61785,0.40732,0.25792,0.96813,0.19347,0.7016,0.49483,0.091626
22_bank_status,on (ratio=0.1),False,gnb,1,0.69981,0.22046,0.44108,0.3827,0.52047,0.20398,0.71097,0.51205,0.124798
22_bank_status,on (ratio=0.1),False,gnb,2,0.72987,0.20363,0.4168,0.40902,0.42487,0.19252,0.69494,0.49496,0.095363
22_bank_status,on (ratio=0.1),False,knn,0,0.81352,0.165,0.32148,0.87306,0.19701,0.15163,0.64471,0.42863,0.959729
22_bank_status,on (ratio=0.1),False,knn,1,0.81346,0.16656,0.33598,0.88468,0.20737,0.15625,0.64336,0.43653,1.266686
22_bank_status,on (ratio=0.1),False,knn,2,0.81334,0.16665,0.32732,0.90288,0.19989,0.15352,0.64349,0.43346,1.109009
22_bank_status,on (ratio=0.1),False,lda,0,0.81973,0.16704,0.32786,1.0,0.19607,0.20932,0.7236,0.5302,0.712757
