dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
22_bank_status,on (ratio=0.1),False,ab,0,0.81327,0.16415,0.33926,1.0,0.20428,0.21415,0.71779,0.49086,0.822746
22_bank_status,on (ratio=0.1),False,ab,1,0.81677,0.16148,0.31492,1.0,0.18689,0.20438,0.71605,0.46836,1.113901
22_bank_status,on (ratio=0.1),False,ab,2,0.82038,0.1625,0.34566,1.0,0.20894,0.21754,0.71751,0.48164,1.141969
22_bank_status,on (ratio=0.1),False,ann,0,0.77176,0.17042,0.05336,1.0,0.02741,0.20531,0.71142,0.52827,6.599282
22_bank_status,on (ratio=0.1),False,ann,1,0.77686,0.16966,0.01943,1.0,0.00981,0.20055,0.71211,0.50847,6.434073
22_bank_status,on (ratio=0.1),False,ann,2,0.79284,0.16004,0.16117,1.0,0.08765,0.21579,0.71601,0.53651,6.914058
22_bank_status,on (ratio=0.1),False,bnb,0,0.76543,0.19322,0.00256,0.6,0.00128,0.02619,0.58026,0.29032,0.024597
22_bank_status,on (ratio=0.1),False,bnb,1,0.77445,0.18641,0.0,0.0,0.0,0.02966,0.5869,0.28106,0.021602
22_bank_status,on (ratio=0.1),False,bnb,2,0.77284,0.18681,0.0,0.0,0.0,0.0285,0.58401,0.28312,0.044685
22_bank_status,on (ratio=0.1),False,cb,0,0.81296,0.15539,0.33937,0.9917,0.20471,0.23109,0.74001,0.56202,5.565091
22_bank_status,on (ratio=0.1),False,cb,1,0.81666,0.15318,0.3148,0.99762,0.18689,0.22286,0.74004,0.53966,5.467028
22_bank_status,on (ratio=0.1),False,cb,2,0.82028,0.1491,0.34649,0.99371,0.20983,0.24082,0.74971,0.56691,6.008301
22_bank_status,on (ratio=0.1),False,dt,0,0.76824,0.23176,0.38735,0.51015,0.31221,0.09994,0.61014,0.32068,0.234964
22_bank_status,on (ratio=0.1),False,dt,1,0.77284,0.22716,0.37535,0.49346,0.30285,0.09508,0.60621,0.30655,0.199125
22_bank_status,on (ratio=0.1),False,dt,2,0.77646,0.22354,0.388,0.51273,0.31208,0.10578,0.61248,0.31621,0.317322
22_bank_status,on (ratio=0.1),False,gnb,0,0.75045,0.18988,0.42775,0.46307,0.39743,0.1959,0.69843,0.5038,0.027441
22_bank_status,on (ratio=0.1),False,gnb,1,0.37642,0.60537,0.41161,0.26138,0.96789,0.19185,0.70283,0.48794,0.028766
22_bank_status,on (ratio=0.1),False,gnb,2,0.37893,0.55601,0.41437,0.26363,0.96768,0.19528,0.70444,0.4826,0.028792
22_bank_status,on (ratio=0.1),False,knn,0,0.80201,0.17643,0.30634,0.86139,0.1863,0.13529,0.62607,0.42091,0.112119
22_bank_status,on (ratio=0.1),False,knn,1,0.80973,0.171,0.29759,0.88521,0.17886,0.13212,0.6251,0.40808,0.075789
22_bank_status,on (ratio=0.1),False,knn,2,0.81194,0.16731,0.32136,0.88956,0.1961,0.148,0.64026,0.42804,0.500074
22_bank_status,on (ratio=0.1),False,lda,0,0.81317,0.17285,0.33867,1.0,0.20385,0.21106,0.71862,0.54113,0.060552
22_bank_status,on (ratio=0.1),False,lda,1,0.81697,0.1705,0.31618,1.0,0.18778,0.20587,0.72027,0.523,0.053484
22_bank_status,on (ratio=0.1),False,lda,2,0.82038,0.16725,0.34566,1.0,0.20894,0.21506,0.72068,0.53552,0.059672
22_bank_status,on (ratio=0.1),False,lgbm,0,0.81307,0.15624,0.33902,0.99582,0.20428,0.2224,0.73212,0.54776,0.736078
22_bank_status,on (ratio=0.1),False,lgbm,1,0.81666,0.15453,0.31737,0.98605,0.18912,0.21278,0.73048,0.52378,0.309199
22_bank_status,on (ratio=0.1),False,lgbm,2,0.82038,0.14921,0.35042,0.97967,0.21337,0.23786,0.74681,0.56193,0.267948
22_bank_status,on (ratio=0.1),False,lr,0,0.81307,0.1567,0.33808,1.0,0.20343,0.20935,0.71412,0.53643,0.060581
22_bank_status,on (ratio=0.1),False,lr,1,0.81697,0.15437,0.31618,1.0,0.18778,0.19838,0.70967,0.51203,0.061088
22_bank_status,on (ratio=0.1),False,lr,2,0.82038,0.15099,0.34566,1.0,0.20894,0.21557,0.71938,0.53463,0.05878
22_bank_status,on (ratio=0.1),False,rf,0,0.81327,0.15365,0.33973,0.99791,0.20471,0.21371,0.7274,0.54319,2.511435
22_bank_status,on (ratio=0.1),False,rf,1,0.81697,0.1516,0.31618,1.0,0.18778,0.20292,0.72241,0.51622,2.277149
22_bank_status,on (ratio=0.1),False,rf,2,0.82048,0.14806,0.34627,1.0,0.20938,0.2227,0.73296,0.53944,2.370059
22_bank_status,on (ratio=0.1),False,tabnet,0,0.53749,0.22315,0.44069,0.30765,0.77645,0.20141,0.70673,0.52481,9.644812
22_bank_status,on (ratio=0.1),False,tabnet,1,0.666,0.1923,0.43935,0.35332,0.58073,0.19523,0.71001,0.50368,14.285335
22_bank_status,on (ratio=0.1),False,tabnet,2,0.65786,0.19922,0.44361,0.35165,0.60071,0.20883,0.71025,0.52493,17.256735
22_bank_status,on (ratio=0.1),False,xgb,0,0.81266,0.15843,0.34734,0.95202,0.21242,0.21919,0.72708,0.54895,0.163608
22_bank_status,on (ratio=0.1),False,xgb,1,0.81516,0.15892,0.31813,0.94286,0.19135,0.19869,0.71142,0.5107,0.142599
22_bank_status,on (ratio=0.1),False,xgb,2,0.81918,0.15565,0.35635,0.9291,0.22045,0.21449,0.72444,0.53669,0.130757
22_bank_status,on (ratio=0.1),False,tabpfn,0,0.81327,0.16412,0.33926,1.0,0.20428,0.22629,0.73443,0.55581,43.461351
22_bank_status,on (ratio=0.1),False,tabpfn,1,0.81697,0.15966,0.31618,1.0,0.18778,0.21786,0.7348,0.53514,42.046143
22_bank_status,on (ratio=0.1),False,tabpfn,2,0.82038,0.15672,0.34566,1.0,0.20894,0.23164,0.73938,0.55597,42.716817
