dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
22_bank_status,off,True,ab,0,0.81859,0.19603,0.3379,1.0,0.20329,0.22812,0.74108,0.54724,3.787134
22_bank_status,off,True,ab,1,0.82069,0.19628,0.33359,1.0,0.20019,0.23015,0.74306,0.54453,3.965083
22_bank_status,off,True,ab,2,0.81808,0.19605,0.33275,1.0,0.19958,0.23521,0.74884,0.55695,3.876777
22_bank_status,off,True,ann,0,0.81667,0.15076,0.32617,1.0,0.19486,0.20684,0.71218,0.52774,32.954308
22_bank_status,off,True,ann,1,0.81445,0.15121,0.29403,1.0,0.17235,0.20605,0.71528,0.52372,33.530443
22_bank_status,off,True,ann,2,0.81091,0.15109,0.28772,1.0,0.16803,0.20528,0.71513,0.52452,32.18786
22_bank_status,off,True,bnb,0,0.77266,0.17542,0.01559,0.55556,0.00791,0.02753,0.58113,0.28662,0.162817
22_bank_status,off,True,bnb,1,0.77584,0.17246,0.01658,0.504,0.00843,0.03237,0.591,0.28669,0.225221
22_bank_status,off,True,bnb,2,0.77272,0.17421,0.00967,0.5,0.00488,0.03062,0.59005,0.2865,0.084406
22_bank_status,off,True,cb,0,0.81976,0.13495,0.36044,0.93847,0.22306,0.25073,0.76216,0.57825,1.164567
22_bank_status,off,True,cb,1,0.82186,0.13359,0.35485,0.94339,0.21852,0.25234,0.7654,0.57486,1.214375
22_bank_status,off,True,cb,2,0.8182,0.13498,0.34825,0.94019,0.2137,0.25343,0.7658,0.57883,1.257927
22_bank_status,off,True,dt,0,0.81583,0.13914,0.36965,0.8376,0.23715,0.22455,0.739,0.53753,0.280433
22_bank_status,off,True,dt,1,0.81769,0.13777,0.34901,0.87487,0.21798,0.22631,0.74085,0.53369,0.292041
22_bank_status,off,True,dt,2,0.81451,0.13909,0.35681,0.84192,0.22637,0.22785,0.74375,0.53993,0.270734
22_bank_status,off,True,gnb,0,0.80848,0.15114,0.36096,0.75125,0.23755,0.20534,0.71217,0.52401,0.057294
22_bank_status,off,True,gnb,1,0.8119,0.14794,0.35401,0.76937,0.22989,0.20876,0.7175,0.52551,0.066738
22_bank_status,off,True,gnb,2,0.80998,0.14799,0.35525,0.77625,0.23033,0.20618,0.71548,0.52528,0.05653
22_bank_status,off,True,knn,0,0.81412,0.14788,0.33434,0.9057,0.20501,0.18575,0.6933,0.48556,1.067264
22_bank_status,off,True,knn,1,0.81688,0.14688,0.33421,0.90383,0.205,0.18398,0.68967,0.47903,1.078239
22_bank_status,off,True,knn,2,0.81439,0.1476,0.33077,0.91612,0.20182,0.18593,0.69519,0.48512,1.056696
22_bank_status,off,True,lda,0,0.81859,0.14263,0.33848,0.99742,0.20382,0.21263,0.72196,0.53589,0.146732
22_bank_status,off,True,lda,1,0.82084,0.14083,0.33526,0.99669,0.20153,0.21361,0.72557,0.53526,0.102816
22_bank_status,off,True,lda,2,0.81814,0.14246,0.33326,0.99934,0.19997,0.21552,0.72918,0.53789,0.11471
22_bank_status,off,True,lgbm,0,0.81958,0.13478,0.35803,0.94319,0.22095,0.25244,0.7636,0.57937,0.545789
22_bank_status,off,True,lgbm,1,0.82069,0.13367,0.34898,0.93794,0.21437,0.2516,0.76451,0.57368,0.585281
22_bank_status,off,True,lgbm,2,0.81919,0.13455,0.35047,0.95479,0.21463,0.255,0.76717,0.58033,0.614617
22_bank_status,off,True,lr,0,0.81862,0.13911,0.33923,0.99487,0.20448,0.2164,0.72704,0.54025,0.226496
22_bank_status,off,True,lr,1,0.82096,0.13765,0.3363,0.99539,0.20233,0.21763,0.73029,0.53967,0.161135
22_bank_status,off,True,lr,2,0.81814,0.13887,0.33355,0.99803,0.20024,0.2194,0.73407,0.54212,0.172671
22_bank_status,off,True,rf,0,0.81856,0.13339,0.3627,0.90579,0.22675,0.26707,0.77953,0.58751,5.63106
22_bank_status,off,True,rf,1,0.82255,0.13153,0.36473,0.92383,0.22722,0.27129,0.78246,0.58798,5.408587
22_bank_status,off,True,rf,2,0.81817,0.13298,0.35501,0.91598,0.22017,0.27145,0.78357,0.58915,5.722756
22_bank_status,off,True,tabnet,0,0.65042,0.19953,0.45605,0.35314,0.64361,0.21957,0.73113,0.54505,210.156925
22_bank_status,off,True,tabnet,1,0.71533,0.1912,0.43855,0.39308,0.49592,0.20308,0.7091,0.51942,47.998165
22_bank_status,off,True,tabnet,2,0.66715,0.19741,0.4538,0.36186,0.60837,0.21396,0.72813,0.53486,188.897878
22_bank_status,off,True,xgb,0,0.81934,0.13471,0.36031,0.92982,0.22345,0.25403,0.76594,0.58124,0.740628
22_bank_status,off,True,xgb,1,0.82144,0.13337,0.35487,0.93383,0.21906,0.25454,0.76716,0.57776,0.835096
22_bank_status,off,True,xgb,2,0.81823,0.13476,0.34814,0.94124,0.21357,0.25547,0.7679,0.58131,0.948842
