dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
22_bank_status,off,True,ab,0,0.81327,0.16096,0.33926,1.0,0.20428,0.18775,0.66118,0.41497,3.910305
22_bank_status,off,True,ab,1,0.81697,0.1575,0.31618,1.0,0.18778,0.17992,0.65952,0.39702,4.034347
22_bank_status,off,True,ab,2,0.82038,0.15828,0.34566,1.0,0.20894,0.19168,0.66341,0.41194,4.015026
22_bank_status,off,True,ann,0,0.81307,0.14362,0.33949,0.99376,0.20471,0.20964,0.71658,0.53492,78.055883
22_bank_status,off,True,ann,1,0.81677,0.14107,0.31595,0.99527,0.18778,0.20242,0.71432,0.51449,77.940053
22_bank_status,off,True,ann,2,0.82058,0.13896,0.34687,1.0,0.20983,0.21681,0.72165,0.53411,77.742949
22_bank_status,off,True,bnb,0,0.76452,0.17937,0.0143,0.40476,0.00728,0.0261,0.57864,0.28858,0.021998
22_bank_status,off,True,bnb,1,0.77405,0.17365,0.01662,0.43182,0.00847,0.03294,0.59129,0.28387,0.023452
22_bank_status,off,True,bnb,2,0.77294,0.17454,0.01996,0.5,0.01018,0.02974,0.58309,0.28426,0.025366
22_bank_status,off,True,cb,0,0.81427,0.13864,0.34653,0.99391,0.20985,0.24783,0.75504,0.58116,1.273929
22_bank_status,off,True,cb,1,0.81687,0.13777,0.32167,0.97297,0.19269,0.23053,0.74741,0.54821,1.31106
22_bank_status,off,True,cb,2,0.82069,0.13554,0.35735,0.95938,0.21957,0.24538,0.75204,0.57119,1.264556
22_bank_status,off,True,dt,0,0.80462,0.14576,0.37047,0.75963,0.24497,0.21699,0.72679,0.53463,0.175216
22_bank_status,off,True,dt,1,0.81114,0.14494,0.32869,0.82585,0.20517,0.20271,0.71643,0.51169,0.177197
22_bank_status,off,True,dt,2,0.81063,0.14308,0.37575,0.74704,0.251,0.21955,0.72693,0.53787,0.178129
22_bank_status,off,True,gnb,0,0.80513,0.15041,0.36572,0.77424,0.2394,0.20641,0.71092,0.53152,0.026796
22_bank_status,off,True,gnb,1,0.80681,0.14885,0.33356,0.74922,0.21454,0.20331,0.71587,0.51379,0.030373
22_bank_status,off,True,gnb,2,0.81405,0.14581,0.36774,0.8066,0.23816,0.21495,0.71703,0.53108,0.029997
22_bank_status,off,True,knn,0,0.80523,0.1517,0.32427,0.87242,0.19914,0.18908,0.69346,0.50326,3.145329
22_bank_status,off,True,knn,1,0.81194,0.14698,0.30832,0.90065,0.18599,0.19066,0.70321,0.4929,2.782757
22_bank_status,off,True,knn,2,0.81536,0.1454,0.33992,0.90267,0.20938,0.20101,0.70931,0.50912,3.001033
22_bank_status,off,True,lda,0,0.81307,0.14419,0.33902,0.99582,0.20428,0.21378,0.72146,0.54085,0.043692
22_bank_status,off,True,lda,1,0.81677,0.1427,0.31595,0.99527,0.18778,0.20138,0.71536,0.51659,0.030932
22_bank_status,off,True,lda,2,0.82038,0.13913,0.34614,0.99789,0.20938,0.21883,0.72317,0.53855,0.030647
22_bank_status,off,True,lgbm,0,0.81377,0.13911,0.34546,0.98589,0.20942,0.24689,0.75416,0.5786,0.943668
22_bank_status,off,True,lgbm,1,0.81707,0.13734,0.31784,0.99531,0.18912,0.23393,0.74972,0.55366,0.936697
22_bank_status,off,True,lgbm,2,0.81988,0.13536,0.35908,0.93482,0.22222,0.24906,0.75545,0.57336,0.977578
22_bank_status,off,True,lr,0,0.81317,0.1421,0.34008,0.99378,0.20514,0.2196,0.72899,0.54779,0.059801
22_bank_status,off,True,lr,1,0.81697,0.14,0.3167,0.99764,0.18822,0.20954,0.72548,0.52568,0.085352
22_bank_status,off,True,lr,2,0.82048,0.1382,0.34627,1.0,0.20938,0.22199,0.72737,0.54417,0.090322
22_bank_status,off,True,rf,0,0.81367,0.13992,0.34209,0.99793,0.20642,0.2444,0.75247,0.57728,9.188085
22_bank_status,off,True,rf,1,0.81697,0.13837,0.31721,0.99529,0.18867,0.23047,0.74545,0.54953,9.285423
22_bank_status,off,True,rf,2,0.82008,0.13649,0.34956,0.97566,0.21293,0.24433,0.7524,0.56993,9.202621
22_bank_status,off,True,tabnet,0,0.6595,0.19942,0.44129,0.35881,0.57302,0.21095,0.71504,0.53297,122.257663
22_bank_status,off,True,tabnet,1,0.70077,0.1968,0.43883,0.38002,0.51918,0.20088,0.71575,0.51355,141.65039
22_bank_status,off,True,tabnet,2,0.65997,0.20158,0.43851,0.35077,0.58477,0.20215,0.70512,0.51151,55.498219
22_bank_status,off,True,xgb,0,0.81216,0.14182,0.33274,1.0,0.19957,0.24382,0.7526,0.57505,0.289355
22_bank_status,off,True,xgb,1,0.81616,0.13941,0.31111,1.0,0.18421,0.23304,0.74934,0.55266,0.290093
22_bank_status,off,True,xgb,2,0.81918,0.13801,0.34463,0.97325,0.20938,0.24428,0.75193,0.5694,0.29438
