dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
22_bank_status,on (ratio=0.1),True,ab,0,0.81317,0.15727,0.33867,1.0,0.20385,0.1875,0.66099,0.41491,3.518076
22_bank_status,on (ratio=0.1),True,ab,1,0.81677,0.15295,0.31492,1.0,0.18689,0.17994,0.65959,0.39705,3.743235
22_bank_status,on (ratio=0.1),True,ab,2,0.82038,0.1531,0.34566,1.0,0.20894,0.19168,0.66341,0.41194,3.611353
22_bank_status,on (ratio=0.1),True,ann,0,0.80533,0.16465,0.29126,1.0,0.17045,0.20595,0.71267,0.53005,12.736522
22_bank_status,on (ratio=0.1),True,ann,1,0.8041,0.1624,0.23116,1.0,0.13069,0.20056,0.71336,0.51329,13.854903
22_bank_status,on (ratio=0.1),True,ann,2,0.80681,0.15999,0.25963,1.0,0.14918,0.21255,0.71467,0.5299,13.094987
22_bank_status,on (ratio=0.1),True,bnb,0,0.76553,0.19307,0.00257,0.75,0.00128,0.02672,0.58012,0.29009,0.021528
22_bank_status,on (ratio=0.1),True,bnb,1,0.77455,0.18627,0.0,0.0,0.0,0.03035,0.58796,0.28314,0.022997
22_bank_status,on (ratio=0.1),True,bnb,2,0.77284,0.18672,0.0,0.0,0.0,0.02817,0.58375,0.2825,0.022301
22_bank_status,on (ratio=0.1),True,cb,0,0.81276,0.15603,0.3363,1.0,0.20214,0.23452,0.74051,0.56665,0.90494
22_bank_status,on (ratio=0.1),True,cb,1,0.81656,0.15406,0.31365,1.0,0.18599,0.21933,0.73581,0.53554,0.912645
22_bank_status,on (ratio=0.1),True,cb,2,0.81978,0.15,0.34202,1.0,0.20629,0.2397,0.74701,0.56479,0.902416
22_bank_status,on (ratio=0.1),True,dt,0,0.81327,0.1567,0.33926,1.0,0.20428,0.20587,0.71289,0.46838,0.241188
22_bank_status,on (ratio=0.1),True,dt,1,0.81697,0.15383,0.31618,1.0,0.18778,0.20082,0.71025,0.45918,0.193305
22_bank_status,on (ratio=0.1),True,dt,2,0.82038,0.15011,0.34566,1.0,0.20894,0.21803,0.71844,0.48237,0.170405
22_bank_status,on (ratio=0.1),True,gnb,0,0.80412,0.16058,0.3557,0.77971,0.23041,0.20358,0.70641,0.52792,0.027925
22_bank_status,on (ratio=0.1),True,gnb,1,0.80229,0.16434,0.33749,0.68913,0.22346,0.19692,0.70512,0.50346,0.030187
22_bank_status,on (ratio=0.1),True,gnb,2,0.81003,0.16163,0.36364,0.75949,0.23904,0.21266,0.71594,0.53087,0.032035
22_bank_status,on (ratio=0.1),True,knn,0,0.80322,0.16581,0.27802,1.0,0.16146,0.17416,0.68641,0.49274,0.302913
22_bank_status,on (ratio=0.1),True,knn,1,0.80862,0.16179,0.26202,1.0,0.15076,0.1752,0.69139,0.4795,0.370679
22_bank_status,on (ratio=0.1),True,knn,2,0.81144,0.1583,0.28993,1.0,0.16954,0.19059,0.70701,0.50775,0.355233
22_bank_status,on (ratio=0.1),True,lda,0,0.81317,0.17285,0.33867,1.0,0.20385,0.21106,0.71862,0.54113,0.081835
22_bank_status,on (ratio=0.1),True,lda,1,0.81697,0.1705,0.31618,1.0,0.18778,0.20587,0.72027,0.523,0.060937
22_bank_status,on (ratio=0.1),True,lda,2,0.82038,0.16725,0.34566,1.0,0.20894,0.21506,0.72068,0.53552,0.058796
22_bank_status,on (ratio=0.1),True,lgbm,0,0.81327,0.15454,0.33926,1.0,0.20428,0.23669,0.74608,0.56866,0.923465
22_bank_status,on (ratio=0.1),True,lgbm,1,0.81697,0.15235,0.31618,1.0,0.18778,0.22516,0.74086,0.54094,1.068259
22_bank_status,on (ratio=0.1),True,lgbm,2,0.82038,0.14853,0.34566,1.0,0.20894,0.24523,0.75464,0.56987,1.070558
22_bank_status,on (ratio=0.1),True,lr,0,0.81307,0.1558,0.33808,1.0,0.20343,0.2175,0.7265,0.54809,0.054886
22_bank_status,on (ratio=0.1),True,lr,1,0.81697,0.15332,0.31618,1.0,0.18778,0.2109,0.72674,0.52626,0.057523
22_bank_status,on (ratio=0.1),True,lr,2,0.82038,0.15065,0.34566,1.0,0.20894,0.21794,0.72335,0.53959,0.090696
22_bank_status,on (ratio=0.1),True,rf,0,0.81327,0.15663,0.33926,1.0,0.20428,0.23165,0.74023,0.56356,6.933273
22_bank_status,on (ratio=0.1),True,rf,1,0.81677,0.15451,0.31492,1.0,0.18689,0.22387,0.73987,0.54171,6.696309
22_bank_status,on (ratio=0.1),True,rf,2,0.82038,0.15079,0.34566,1.0,0.20894,0.23673,0.74663,0.56266,6.684252
22_bank_status,on (ratio=0.1),True,tabnet,0,0.6792,0.19617,0.45136,0.37697,0.56231,0.21019,0.71971,0.53632,73.401292
22_bank_status,on (ratio=0.1),True,tabnet,1,0.76269,0.19976,0.41283,0.46655,0.37021,0.20129,0.71328,0.51037,30.245293
22_bank_status,on (ratio=0.1),True,tabnet,2,0.48799,0.22429,0.42635,0.28591,0.83798,0.21225,0.7147,0.53087,26.351829
22_bank_status,on (ratio=0.1),True,xgb,0,0.81317,0.15467,0.33867,1.0,0.20385,0.24063,0.74961,0.57369,0.346019
22_bank_status,on (ratio=0.1),True,xgb,1,0.81476,0.15374,0.30216,1.0,0.17797,0.22461,0.74094,0.54275,0.347181
22_bank_status,on (ratio=0.1),True,xgb,2,0.81898,0.14959,0.33714,1.0,0.20274,0.23987,0.75154,0.56471,0.300237
