dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
22_bank_status,on (ratio=0.5),True,ab,0,0.81327,0.1726,0.33926,1.0,0.20428,0.18775,0.66118,0.41497,5.142237
22_bank_status,on (ratio=0.5),True,ab,1,0.81697,0.1692,0.31618,1.0,0.18778,0.17992,0.65952,0.39702,4.919377
22_bank_status,on (ratio=0.5),True,ab,2,0.82038,0.17047,0.34566,1.0,0.20894,0.19168,0.66341,0.41194,4.762713
22_bank_status,on (ratio=0.5),True,ann,0,0.80945,0.15281,0.34845,0.88174,0.21713,0.21238,0.71951,0.53793,27.294363
22_bank_status,on (ratio=0.5),True,ann,1,0.81335,0.14889,0.32102,0.89047,0.19581,0.20261,0.71612,0.51566,27.106703
22_bank_status,on (ratio=0.5),True,ann,2,0.81978,0.14867,0.35013,0.966,0.21381,0.21496,0.71899,0.53533,27.35945
22_bank_status,on (ratio=0.5),True,bnb,0,0.72844,0.19214,0.22312,0.33946,0.16617,0.02528,0.57769,0.28859,0.023062
22_bank_status,on (ratio=0.5),True,bnb,1,0.73374,0.18771,0.22792,0.32885,0.1744,0.03198,0.59027,0.2828,0.025537
22_bank_status,on (ratio=0.5),True,bnb,2,0.73625,0.18732,0.22321,0.33691,0.16689,0.0311,0.58443,0.28346,0.025093
22_bank_status,on (ratio=0.5),True,cb,0,0.81397,0.14175,0.35528,0.95149,0.21842,0.23648,0.74644,0.56613,4.742679
22_bank_status,on (ratio=0.5),True,cb,1,0.81636,0.14063,0.32757,0.93684,0.19848,0.22029,0.73661,0.53522,4.611262
22_bank_status,on (ratio=0.5),True,cb,2,0.81878,0.13836,0.36357,0.89721,0.22798,0.24409,0.75246,0.56875,4.626867
22_bank_status,on (ratio=0.5),True,dt,0,0.81327,0.15,0.33926,1.0,0.20428,0.21421,0.72738,0.50075,0.218524
22_bank_status,on (ratio=0.5),True,dt,1,0.81697,0.14632,0.31618,1.0,0.18778,0.20861,0.72861,0.49078,0.215209
22_bank_status,on (ratio=0.5),True,dt,2,0.81717,0.14621,0.36153,0.87288,0.22798,0.22665,0.7377,0.51239,0.216697
22_bank_status,on (ratio=0.5),True,gnb,0,0.72111,0.17,0.44019,0.41609,0.46724,0.20597,0.7104,0.53026,0.028184
22_bank_status,on (ratio=0.5),True,gnb,1,0.72791,0.16614,0.43616,0.40914,0.46699,0.20176,0.712,0.51094,0.031616
22_bank_status,on (ratio=0.5),True,gnb,2,0.74369,0.16341,0.43931,0.43644,0.44223,0.214,0.71527,0.53097,0.033158
22_bank_status,on (ratio=0.5),True,knn,0,0.76151,0.16816,0.39107,0.48784,0.32634,0.18477,0.68883,0.49786,4.00259
22_bank_status,on (ratio=0.5),True,knn,1,0.76681,0.16164,0.37161,0.4731,0.30598,0.18642,0.69923,0.4888,3.376064
22_bank_status,on (ratio=0.5),True,knn,2,0.76741,0.16256,0.39456,0.48241,0.33378,0.19515,0.70411,0.50416,3.342672
22_bank_status,on (ratio=0.5),True,lda,0,0.81156,0.14655,0.34418,0.93893,0.21071,0.21442,0.724,0.54143,0.085764
22_bank_status,on (ratio=0.5),True,lda,1,0.81616,0.14423,0.31982,0.96197,0.19179,0.20414,0.71873,0.51835,0.06817
22_bank_status,on (ratio=0.5),True,lda,2,0.82038,0.14322,0.3523,0.972,0.21514,0.21858,0.72382,0.54028,0.067606
22_bank_status,on (ratio=0.5),True,lgbm,0,0.80874,0.14377,0.36924,0.81672,0.23854,0.23066,0.74288,0.55498,0.550836
22_bank_status,on (ratio=0.5),True,lgbm,1,0.81174,0.14117,0.3398,0.81008,0.21499,0.22126,0.73976,0.5347,0.621952
22_bank_status,on (ratio=0.5),True,lgbm,2,0.81325,0.14019,0.37776,0.77579,0.24967,0.23622,0.74787,0.55754,0.585408
22_bank_status,on (ratio=0.5),True,lr,0,0.80724,0.15037,0.36406,0.80617,0.23512,0.21802,0.72868,0.54652,0.064581
22_bank_status,on (ratio=0.5),True,lr,1,0.81455,0.14759,0.33895,0.86157,0.21097,0.21065,0.72653,0.52621,0.099338
22_bank_status,on (ratio=0.5),True,lr,2,0.81928,0.14776,0.35877,0.92294,0.22266,0.22235,0.72807,0.54403,0.105604
22_bank_status,on (ratio=0.5),True,rf,0,0.80854,0.1458,0.3752,0.80112,0.24497,0.23047,0.74386,0.55666,9.165301
22_bank_status,on (ratio=0.5),True,rf,1,0.81325,0.14367,0.35216,0.80671,0.22525,0.22056,0.73774,0.53554,8.907314
22_bank_status,on (ratio=0.5),True,rf,2,0.81526,0.14248,0.38815,0.78255,0.25808,0.23778,0.74933,0.55985,8.778152
22_bank_status,on (ratio=0.5),True,tabnet,0,0.63075,0.2006,0.45554,0.34829,0.65824,0.20833,0.72111,0.53295,110.80034
22_bank_status,on (ratio=0.5),True,tabnet,1,0.45673,0.21567,0.42322,0.27816,0.88448,0.18671,0.68374,0.47416,44.204214
22_bank_status,on (ratio=0.5),True,tabnet,2,0.71364,0.19741,0.4417,0.39627,0.49889,0.19902,0.70154,0.51719,44.638685
22_bank_status,on (ratio=0.5),True,xgb,0,0.80794,0.14596,0.36952,0.8046,0.23983,0.22768,0.7412,0.55451,0.468051
22_bank_status,on (ratio=0.5),True,xgb,1,0.81305,0.14375,0.34368,0.82264,0.21722,0.21648,0.73469,0.52854,0.536013
22_bank_status,on (ratio=0.5),True,xgb,2,0.81285,0.1426,0.38507,0.75813,0.25808,0.23734,0.74928,0.55989,0.478263
