dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
28_thomas,off,False,ab,0,0.71883,0.23918,0.2069,0.33333,0.15,0.06236,0.58798,0.31399,0.185148
28_thomas,off,False,ab,1,0.72059,0.24163,0.32143,0.44262,0.25234,0.06223,0.55916,0.33585,0.163923
28_thomas,off,False,ab,2,0.68137,0.24597,0.26136,0.38333,0.19828,0.05798,0.57846,0.36044,0.102071
28_thomas,off,False,ann,0,0.7555,0.17761,0.0,0.0,0.0,0.11768,0.6389,0.40544,22.178458
28_thomas,off,False,ann,1,0.73775,0.19068,0.0,0.0,0.0,0.0669,0.56137,0.3572,12.327614
28_thomas,off,False,ann,2,0.71569,0.19819,0.0,0.0,0.0,0.09116,0.62654,0.42642,12.72859
28_thomas,off,False,bnb,0,0.7335,0.19846,0.38418,0.44156,0.34,0.09708,0.62126,0.3731,0.009919
28_thomas,off,False,bnb,1,0.69363,0.22869,0.34555,0.39286,0.30841,0.06052,0.58285,0.35246,0.016956
28_thomas,off,False,bnb,2,0.72304,0.19877,0.36158,0.52459,0.27586,0.12627,0.62611,0.44735,0.008927
28_thomas,off,False,cb,0,0.75306,0.18178,0.21705,0.48276,0.14,0.08912,0.62269,0.36207,4.400663
28_thomas,off,False,cb,1,0.72794,0.19361,0.2449,0.45,0.16822,0.08275,0.61504,0.36966,2.111132
28_thomas,off,False,cb,2,0.71814,0.19868,0.2069,0.51724,0.12931,0.09334,0.6276,0.41107,3.111525
28_thomas,off,False,dt,0,0.6357,0.36236,0.28708,0.27523,0.3,0.00417,0.52621,0.25444,0.023345
28_thomas,off,False,dt,1,0.6348,0.35784,0.36596,0.33594,0.40187,0.01876,0.55979,0.29194,0.015436
28_thomas,off,False,dt,2,0.64706,0.34913,0.33333,0.36,0.31034,0.01947,0.5545,0.31015,0.010419
28_thomas,off,False,gnb,0,0.33007,0.63559,0.40693,0.25967,0.94,0.13118,0.64765,0.39882,0.020474
28_thomas,off,False,gnb,1,0.35539,0.59281,0.41685,0.27326,0.8785,0.05463,0.57109,0.32433,0.011224
28_thomas,off,False,gnb,2,0.32598,0.63404,0.43299,0.28455,0.90517,0.07934,0.59732,0.39807,0.008109
28_thomas,off,False,knn,0,0.68949,0.21418,0.29834,0.33333,0.27,0.04307,0.58037,0.30692,0.670162
28_thomas,off,False,knn,1,0.71569,0.215,0.28395,0.41818,0.21495,0.03889,0.56359,0.32779,0.349113
28_thomas,off,False,knn,2,0.69363,0.22422,0.23313,0.40426,0.16379,0.05085,0.57267,0.33952,0.272629
28_thomas,off,False,lda,0,0.7555,0.1714,0.21875,0.5,0.14,0.14839,0.66835,0.42519,0.524552
28_thomas,off,False,lda,1,0.71324,0.199,0.23529,0.3913,0.16822,0.07994,0.58942,0.3483,0.032813
28_thomas,off,False,lda,2,0.72549,0.19961,0.21127,0.57692,0.12931,0.07831,0.5948,0.39624,0.138542
28_thomas,off,False,lgbm,0,0.72616,0.20459,0.26316,0.38462,0.2,0.07207,0.60809,0.35095,601.685137
28_thomas,off,False,lgbm,1,0.68873,0.22648,0.30601,0.36842,0.26168,0.05671,0.57638,0.34105,265.326506
28_thomas,off,False,lgbm,2,0.70098,0.23001,0.32222,0.45312,0.25,0.08257,0.59139,0.38662,414.423023
28_thomas,off,False,lr,0,0.76284,0.17205,0.18487,0.57895,0.11,0.12541,0.66307,0.42008,0.112122
28_thomas,off,False,lr,1,0.75,0.19328,0.23881,0.59259,0.14953,0.08354,0.58644,0.35961,0.018683
28_thomas,off,False,lr,2,0.72059,0.19669,0.16176,0.55,0.09483,0.08712,0.60495,0.39917,0.152194
28_thomas,off,False,rf,0,0.74572,0.1848,0.27778,0.45455,0.2,0.10444,0.61796,0.37226,0.343704
28_thomas,off,False,rf,1,0.70588,0.2033,0.26829,0.38596,0.20561,0.06609,0.60454,0.35344,0.181945
28_thomas,off,False,rf,2,0.7402,0.19837,0.31169,0.63158,0.2069,0.10306,0.62014,0.43721,0.49018
28_thomas,off,False,tabnet,0,0.71638,0.22608,0.17143,0.3,0.12,0.02702,0.51827,0.26109,3.486918
28_thomas,off,False,tabnet,1,0.52941,0.24831,0.25581,0.21854,0.30841,0.00465,0.45178,0.23519,4.024622
28_thomas,off,False,tabnet,2,0.60784,0.23536,0.29204,0.3,0.28448,0.04383,0.55496,0.32358,2.134261
28_thomas,off,False,tabpfn,0,0.77506,0.17704,0.28125,0.64286,0.18,0.12395,0.63783,0.40235,6.708814
28_thomas,off,False,tabpfn,1,0.72304,0.19467,0.20979,0.41667,0.14019,0.06902,0.60532,0.35094,2.12382
28_thomas,off,False,tabpfn,2,0.72549,0.19329,0.06667,1.0,0.03448,0.11541,0.64832,0.45115,10.649473
28_thomas,off,False,xgb,0,0.71883,0.21267,0.27673,0.37288,0.22,0.07684,0.59406,0.35187,168.832895
28_thomas,off,False,xgb,1,0.68137,0.23954,0.32292,0.36471,0.28972,0.07026,0.59484,0.35421,99.402723
28_thomas,off,False,xgb,2,0.68382,0.24614,0.25434,0.38596,0.18966,0.06123,0.58256,0.3618,218.721249
