dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
28_thomas,off,False,ab,0,0.73105,0.19537,0.32099,0.41935,0.26,0.11137,0.624,0.35834,0.104071
28_thomas,off,False,ab,1,0.72794,0.20846,0.2449,0.45,0.16822,0.05357,0.57733,0.33584,0.093635
28_thomas,off,False,ab,2,0.72549,0.20823,0.18841,0.59091,0.11207,0.09892,0.6218,0.41263,0.098855
28_thomas,off,False,ann,0,0.7555,0.17815,0.0,0.0,0.0,0.11525,0.64081,0.40135,1.663355
28_thomas,off,False,ann,1,0.73775,0.19067,0.0,0.0,0.0,0.06725,0.56256,0.35501,0.264015
28_thomas,off,False,ann,2,0.71569,0.19764,0.0,0.0,0.0,0.08923,0.62414,0.41917,0.250034
28_thomas,off,False,bnb,0,0.7335,0.19846,0.38418,0.44156,0.34,0.09708,0.62126,0.3731,0.011037
28_thomas,off,False,bnb,1,0.69363,0.22869,0.34555,0.39286,0.30841,0.06052,0.58285,0.35246,0.009398
28_thomas,off,False,bnb,2,0.72304,0.19877,0.36158,0.52459,0.27586,0.12627,0.62611,0.44735,0.009349
28_thomas,off,False,cb,0,0.75306,0.18178,0.21705,0.48276,0.14,0.08912,0.62269,0.36207,1.363405
28_thomas,off,False,cb,1,0.72794,0.19361,0.2449,0.45,0.16822,0.08275,0.61504,0.36966,1.366709
28_thomas,off,False,cb,2,0.71814,0.19868,0.2069,0.51724,0.12931,0.09334,0.6276,0.41107,1.349214
28_thomas,off,False,dt,0,0.6357,0.36236,0.28708,0.27523,0.3,0.00417,0.52621,0.25444,0.011172
28_thomas,off,False,dt,1,0.6348,0.35784,0.36596,0.33594,0.40187,0.01876,0.55979,0.29194,0.011507
28_thomas,off,False,dt,2,0.64706,0.34913,0.33333,0.36,0.31034,0.01947,0.5545,0.31015,0.010759
28_thomas,off,False,gnb,0,0.33007,0.63559,0.40693,0.25967,0.94,0.13118,0.64765,0.39882,0.008954
28_thomas,off,False,gnb,1,0.35539,0.59281,0.41685,0.27326,0.8785,0.05463,0.57109,0.32433,0.008985
28_thomas,off,False,gnb,2,0.32598,0.63404,0.43299,0.28455,0.90517,0.07934,0.59732,0.39807,0.008804
28_thomas,off,False,knn,0,0.68949,0.21418,0.29834,0.33333,0.27,0.04307,0.58037,0.30692,0.055523
28_thomas,off,False,knn,1,0.71569,0.215,0.28395,0.41818,0.21495,0.03889,0.56359,0.32779,0.030332
28_thomas,off,False,knn,2,0.69363,0.22422,0.23313,0.40426,0.16379,0.05085,0.57267,0.33952,0.014525
28_thomas,off,False,lda,0,0.7555,0.1714,0.21875,0.5,0.14,0.14839,0.66835,0.42519,0.01017
28_thomas,off,False,lda,1,0.71324,0.199,0.23529,0.3913,0.16822,0.07994,0.58942,0.3483,0.010818
28_thomas,off,False,lda,2,0.72549,0.19961,0.21127,0.57692,0.12931,0.07831,0.5948,0.39624,0.010005
28_thomas,off,False,lgbm,0,0.72616,0.20459,0.26316,0.38462,0.2,0.07207,0.60809,0.35095,0.181472
28_thomas,off,False,lgbm,1,0.68873,0.22648,0.30601,0.36842,0.26168,0.05671,0.57638,0.34105,0.219515
28_thomas,off,False,lgbm,2,0.70098,0.23001,0.32222,0.45312,0.25,0.08257,0.59139,0.38662,0.214301
28_thomas,off,False,lr,0,0.76284,0.17205,0.18487,0.57895,0.11,0.12541,0.66307,0.42008,0.009446
28_thomas,off,False,lr,1,0.75,0.19328,0.23881,0.59259,0.14953,0.08354,0.58644,0.35961,0.009502
28_thomas,off,False,lr,2,0.72059,0.19669,0.16176,0.55,0.09483,0.08712,0.60495,0.39917,0.009284
28_thomas,off,False,rf,0,0.74572,0.1848,0.27778,0.45455,0.2,0.10444,0.61796,0.37226,0.17205
28_thomas,off,False,rf,1,0.70588,0.2033,0.26829,0.38596,0.20561,0.06609,0.60454,0.35344,0.172255
28_thomas,off,False,rf,2,0.7402,0.19837,0.31169,0.63158,0.2069,0.10306,0.62014,0.43721,0.170097
28_thomas,off,False,tabnet,0,0.71638,0.22608,0.17143,0.3,0.12,0.02702,0.51824,0.26108,2.697409
28_thomas,off,False,tabnet,1,0.67157,0.23568,0.09459,0.17073,0.06542,0.00812,0.49106,0.26419,3.536682
28_thomas,off,False,tabnet,2,0.60784,0.23536,0.29204,0.3,0.28448,0.04383,0.55496,0.32358,2.102786
28_thomas,off,False,tabpfn,0,0.76773,0.17686,0.26357,0.58621,0.17,0.1212,0.63828,0.38986,2.145186
28_thomas,off,False,tabpfn,1,0.72794,0.19357,0.21277,0.44118,0.14019,0.06615,0.60234,0.35072,1.452768
28_thomas,off,False,tabpfn,2,0.71569,0.19506,0.0,0.0,0.0,0.10706,0.6388,0.44038,1.952926
28_thomas,off,False,xgb,0,0.71638,0.21256,0.275,0.36667,0.22,0.08169,0.59976,0.35128,0.09136
28_thomas,off,False,xgb,1,0.67157,0.24185,0.32323,0.35165,0.29907,0.06053,0.58838,0.35095,0.086946
28_thomas,off,False,xgb,2,0.66912,0.25253,0.22857,0.33898,0.17241,0.05168,0.56437,0.35035,0.078382
