dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
28_thomas,on (ratio=0.1),False,ab,0,0.74817,0.22654,0.10435,0.4,0.06,0.05477,0.58176,0.30733,0.123403
28_thomas,on (ratio=0.1),False,ab,1,0.7402,0.23429,0.08621,0.55556,0.04673,0.05854,0.56825,0.34503,0.085516
28_thomas,on (ratio=0.1),False,ab,2,0.70833,0.23514,0.0916,0.4,0.05172,0.03801,0.53927,0.33056,0.101815
28_thomas,on (ratio=0.1),False,ann,0,0.7555,0.19741,0.0,0.0,0.0,0.11463,0.61984,0.38803,6.454241
28_thomas,on (ratio=0.1),False,ann,1,0.73775,0.21274,0.0,0.0,0.0,0.05701,0.55893,0.33806,8.868647
28_thomas,on (ratio=0.1),False,ann,2,0.71569,0.2273,0.0,0.0,0.0,0.09578,0.62326,0.42126,10.620653
28_thomas,on (ratio=0.1),False,bnb,0,0.76039,0.19617,0.16949,0.55556,0.1,0.09463,0.59984,0.36371,0.009193
28_thomas,on (ratio=0.1),False,bnb,1,0.73284,0.2204,0.128,0.44444,0.07477,0.04705,0.56497,0.31937,0.009551
28_thomas,on (ratio=0.1),False,bnb,2,0.73284,0.22253,0.27815,0.6,0.18103,0.10755,0.60565,0.42843,0.008866
28_thomas,on (ratio=0.1),False,cb,0,0.75306,0.20551,0.0,0.0,0.0,0.07951,0.59796,0.34266,1.170504
28_thomas,on (ratio=0.1),False,cb,1,0.73775,0.21727,0.01835,0.5,0.00935,0.05216,0.57619,0.33142,1.775197
28_thomas,on (ratio=0.1),False,cb,2,0.71814,0.23727,0.03361,0.66667,0.01724,0.06504,0.55282,0.36658,2.361487
28_thomas,on (ratio=0.1),False,dt,0,0.71638,0.28205,0.12121,0.25,0.08,0.00088,0.50741,0.2456,0.011214
28_thomas,on (ratio=0.1),False,dt,1,0.68873,0.30991,0.22086,0.32143,0.16822,0.00436,0.52225,0.27324,0.010383
28_thomas,on (ratio=0.1),False,dt,2,0.67157,0.32843,0.19277,0.32,0.13793,0.00124,0.51075,0.28924,0.009882
28_thomas,on (ratio=0.1),False,gnb,0,0.30562,0.6935,0.40084,0.25401,0.95,0.08725,0.62278,0.34565,0.007779
28_thomas,on (ratio=0.1),False,gnb,1,0.41667,0.54935,0.41667,0.28239,0.79439,0.04805,0.5661,0.31312,0.008357
28_thomas,on (ratio=0.1),False,gnb,2,0.33824,0.65842,0.43277,0.28611,0.88793,0.06928,0.5349,0.38483,0.008086
28_thomas,on (ratio=0.1),False,knn,0,0.75061,0.21731,0.01923,0.25,0.01,0.00257,0.52443,0.25472,0.251493
28_thomas,on (ratio=0.1),False,knn,1,0.7402,0.22392,0.01852,1.0,0.00935,0.01805,0.55118,0.29836,0.26855
28_thomas,on (ratio=0.1),False,knn,2,0.71078,0.25392,0.04839,0.375,0.02586,0.0123,0.51385,0.30051,0.305947
28_thomas,on (ratio=0.1),False,lda,0,0.75795,0.20206,0.05714,0.6,0.03,0.08541,0.59149,0.36207,0.089092
28_thomas,on (ratio=0.1),False,lda,1,0.72794,0.22228,0.05128,0.3,0.02804,0.0486,0.58529,0.32579,0.056745
28_thomas,on (ratio=0.1),False,lda,2,0.72304,0.2333,0.15038,0.58824,0.08621,0.06932,0.53708,0.3727,0.10273
28_thomas,on (ratio=0.1),False,lgbm,0,0.76284,0.21995,0.14159,0.61538,0.08,0.06201,0.56913,0.33616,152.757205
28_thomas,on (ratio=0.1),False,lgbm,1,0.71814,0.24298,0.06504,0.25,0.03738,0.05109,0.56447,0.31853,280.935162
28_thomas,on (ratio=0.1),False,lgbm,2,0.72794,0.24721,0.13953,0.69231,0.07759,0.07716,0.5996,0.39764,364.341489
28_thomas,on (ratio=0.1),False,lr,0,0.75795,0.19662,0.0198,1.0,0.01,0.10717,0.60751,0.39613,0.04792
