dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
28_thomas,on (ratio=0.1),False,ab,0,0.7555,0.18673,0.0,0.0,0.0,0.11012,0.62272,0.39201,0.092677
28_thomas,on (ratio=0.1),False,ab,1,0.73775,0.19925,0.0,0.0,0.0,0.04974,0.57283,0.33967,0.091861
28_thomas,on (ratio=0.1),False,ab,2,0.71569,0.20423,0.0,0.0,0.0,0.08478,0.61239,0.39681,0.092896
28_thomas,on (ratio=0.1),False,ann,0,0.7555,0.19775,0.0,0.0,0.0,0.11025,0.61621,0.38539,2.043551
28_thomas,on (ratio=0.1),False,ann,1,0.73775,0.21269,0.0,0.0,0.0,0.05787,0.55753,0.33492,0.409878
28_thomas,on (ratio=0.1),False,ann,2,0.71569,0.22946,0.0,0.0,0.0,0.09256,0.62181,0.4149,0.406005
28_thomas,on (ratio=0.1),False,bnb,0,0.76039,0.19617,0.16949,0.55556,0.1,0.09463,0.59984,0.36371,0.009723
28_thomas,on (ratio=0.1),False,bnb,1,0.73284,0.2204,0.128,0.44444,0.07477,0.04705,0.56497,0.31937,0.009308
28_thomas,on (ratio=0.1),False,bnb,2,0.73284,0.22253,0.27815,0.6,0.18103,0.10755,0.60565,0.42843,0.009539
28_thomas,on (ratio=0.1),False,cb,0,0.75306,0.20551,0.0,0.0,0.0,0.07951,0.59796,0.34266,1.399846
28_thomas,on (ratio=0.1),False,cb,1,0.73775,0.21727,0.01835,0.5,0.00935,0.05216,0.57619,0.33142,1.420995
28_thomas,on (ratio=0.1),False,cb,2,0.71814,0.23727,0.03361,0.66667,0.01724,0.06504,0.55282,0.36658,1.345767
28_thomas,on (ratio=0.1),False,dt,0,0.71638,0.28205,0.12121,0.25,0.08,0.00088,0.50741,0.2456,0.010067
28_thomas,on (ratio=0.1),False,dt,1,0.68873,0.30991,0.22086,0.32143,0.16822,0.00436,0.52225,0.27324,0.010162
28_thomas,on (ratio=0.1),False,dt,2,0.67157,0.32843,0.19277,0.32,0.13793,0.00124,0.51075,0.28924,0.010046
28_thomas,on (ratio=0.1),False,gnb,0,0.30562,0.6935,0.40084,0.25401,0.95,0.08725,0.62278,0.34565,0.008688
28_thomas,on (ratio=0.1),False,gnb,1,0.41667,0.54935,0.41667,0.28239,0.79439,0.04805,0.5661,0.31312,0.008772
28_thomas,on (ratio=0.1),False,gnb,2,0.33824,0.65842,0.43277,0.28611,0.88793,0.06928,0.5349,0.38483,0.008739
28_thomas,on (ratio=0.1),False,knn,0,0.75061,0.21731,0.01923,0.25,0.01,0.00257,0.52443,0.25472,0.057353
28_thomas,on (ratio=0.1),False,knn,1,0.7402,0.22392,0.01852,1.0,0.00935,0.01805,0.55118,0.29836,0.164646
28_thomas,on (ratio=0.1),False,knn,2,0.71078,0.25392,0.04839,0.375,0.02586,0.0123,0.51385,0.30051,0.014901
28_thomas,on (ratio=0.1),False,lda,0,0.75795,0.20206,0.05714,0.6,0.03,0.08541,0.59149,0.36207,0.012357
28_thomas,on (ratio=0.1),False,lda,1,0.72794,0.22228,0.05128,0.3,0.02804,0.0486,0.58529,0.32579,0.010699
28_thomas,on (ratio=0.1),False,lda,2,0.72304,0.2333,0.15038,0.58824,0.08621,0.06932,0.53708,0.3727,0.009589
28_thomas,on (ratio=0.1),False,lgbm,0,0.76284,0.21995,0.14159,0.61538,0.08,0.06201,0.56913,0.33616,0.137949
28_thomas,on (ratio=0.1),False,lgbm,1,0.71814,0.24298,0.06504,0.25,0.03738,0.05109,0.56447,0.31853,0.776009
28_thomas,on (ratio=0.1),False,lgbm,2,0.72794,0.24721,0.13953,0.69231,0.07759,0.07716,0.5996,0.39764,0.217608
28_thomas,on (ratio=0.1),False,lr,0,0.75795,0.19662,0.0198,1.0,0.01,0.10717,0.60751,0.39613,0.008951
28_thomas,on (ratio=0.1),False,lr,1,0.73775,0.21177,0.0,0.0,0.0,0.07523,0.58209,0.35152,0.015905
28_thomas,on (ratio=0.1),False,lr,2,0.71569,0.22902,0.0,0.0,0.0,0.07457,0.55736,0.39027,0.008933
28_thomas,on (ratio=0.1),False,rf,0,0.7555,0.20249,0.03846,0.5,0.02,0.05433,0.5562,0.32505,0.147759
28_thomas,on (ratio=0.1),False,rf,1,0.73775,0.20741,0.0531,0.5,0.02804,0.07659,0.60423,0.37218,0.239321
28_thomas,on (ratio=0.1),False,rf,2,0.71324,0.23323,0.07874,0.45455,0.0431,0.04277,0.5417,0.35765,0.1471
28_thomas,on (ratio=0.1),False,tabnet,0,0.57946,0.23823,0.26496,0.23134,0.31,0.01141,0.50139,0.24394,2.357451
28_thomas,on (ratio=0.1),False,tabnet,1,0.44118,0.24732,0.37363,0.26459,0.63551,0.01098,0.50279,0.25026,2.953041
28_thomas,on (ratio=0.1),False,tabnet,2,0.6201,0.23556,0.4523,0.38323,0.55172,0.08238,0.62742,0.36554,2.025821
28_thomas,on (ratio=0.1),False,xgb,0,0.76528,0.22156,0.14286,0.66667,0.08,0.05408,0.54049,0.31568,0.069531
28_thomas,on (ratio=0.1),False,xgb,1,0.71078,0.24712,0.1194,0.2963,0.07477,0.02814,0.54965,0.30818,0.078549
28_thomas,on (ratio=0.1),False,xgb,2,0.71569,0.25535,0.10769,0.5,0.06034,0.04848,0.56383,0.35064,0.103633
