dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
28_thomas,on (ratio=0.5),False,ab,0,0.71149,0.2041,0.32955,0.38158,0.29,0.08275,0.62497,0.33061,0.106015
28_thomas,on (ratio=0.5),False,ab,1,0.72794,0.21529,0.2449,0.45,0.16822,0.05509,0.58636,0.33047,0.124402
28_thomas,on (ratio=0.5),False,ab,2,0.70588,0.21412,0.32584,0.46774,0.25,0.0957,0.6282,0.40697,0.126672
28_thomas,on (ratio=0.5),False,ann,0,0.7555,0.18388,0.0,0.0,0.0,0.09589,0.6344,0.38792,1.81528
28_thomas,on (ratio=0.5),False,ann,1,0.7402,0.19518,0.01852,1.0,0.00935,0.07268,0.56856,0.35357,0.40506
28_thomas,on (ratio=0.5),False,ann,2,0.71569,0.19954,0.0,0.0,0.0,0.0862,0.602,0.40993,0.391814
28_thomas,on (ratio=0.5),False,bnb,0,0.72127,0.1999,0.35955,0.41026,0.32,0.09705,0.61981,0.3721,0.00982
28_thomas,on (ratio=0.5),False,bnb,1,0.67157,0.22867,0.35577,0.36634,0.34579,0.05396,0.58338,0.35103,0.009642
28_thomas,on (ratio=0.5),False,bnb,2,0.71569,0.20259,0.34831,0.5,0.26724,0.11717,0.60671,0.41293,0.009396
28_thomas,on (ratio=0.5),False,cb,0,0.75061,0.18597,0.30137,0.47826,0.22,0.09594,0.61667,0.36955,1.528658
28_thomas,on (ratio=0.5),False,cb,1,0.71814,0.20055,0.30303,0.43103,0.23364,0.07982,0.61252,0.36349,1.616359
28_thomas,on (ratio=0.5),False,cb,2,0.73284,0.19779,0.32298,0.57778,0.22414,0.10555,0.61951,0.4215,1.483435
28_thomas,on (ratio=0.5),False,dt,0,0.64059,0.35697,0.31628,0.29565,0.34,0.01133,0.54417,0.26305,0.011128
28_thomas,on (ratio=0.5),False,dt,1,0.62255,0.37224,0.37903,0.33333,0.43925,0.02301,0.56567,0.29666,0.013699
28_thomas,on (ratio=0.5),False,dt,2,0.61029,0.38589,0.3176,0.31624,0.31897,0.00628,0.53072,0.29569,0.011144
28_thomas,on (ratio=0.5),False,gnb,0,0.32763,0.64498,0.39825,0.2549,0.91,0.11726,0.64335,0.39777,0.008895
28_thomas,on (ratio=0.5),False,gnb,1,0.36029,0.61263,0.42384,0.27746,0.8972,0.05182,0.57845,0.3272,0.012426
28_thomas,on (ratio=0.5),False,gnb,2,0.32353,0.64612,0.4321,0.28378,0.90517,0.06813,0.55484,0.3771,0.008673
