dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
28_thomas,off,True,ab,0,0.7555,0.17707,0.0,0.0,0.0,0.12659,0.66481,0.38858,0.766183
28_thomas,off,True,ab,1,0.7402,0.18992,0.14516,0.52941,0.08411,0.05716,0.59,0.34165,0.766501
28_thomas,off,True,ab,2,0.71569,0.19723,0.0,0.0,0.0,0.10684,0.64387,0.4279,0.757868
28_thomas,off,True,ann,0,0.7555,0.17874,0.0,0.0,0.0,0.10936,0.63592,0.39653,0.640784
28_thomas,off,True,ann,1,0.73775,0.19104,0.0,0.0,0.0,0.06172,0.56803,0.35047,0.640948
28_thomas,off,True,ann,2,0.71569,0.19892,0.0,0.0,0.0,0.09749,0.61791,0.41601,0.660125
28_thomas,off,True,bnb,0,0.7335,0.19849,0.38418,0.44156,0.34,0.09945,0.62136,0.37326,0.010194
28_thomas,off,True,bnb,1,0.69363,0.22875,0.34555,0.39286,0.30841,0.06052,0.58301,0.35251,0.009531
28_thomas,off,True,bnb,2,0.72304,0.19882,0.36158,0.52459,0.27586,0.12566,0.62599,0.44685,0.009575
28_thomas,off,True,cb,0,0.76528,0.17913,0.22581,0.58333,0.14,0.0875,0.61861,0.37859,0.659406
28_thomas,off,True,cb,1,0.73039,0.19097,0.21429,0.45455,0.14019,0.07651,0.59496,0.36675,0.644694
28_thomas,off,True,cb,2,0.72304,0.19309,0.12403,0.61538,0.06897,0.11163,0.63212,0.43613,0.669552
28_thomas,off,True,dt,0,0.68215,0.20543,0.31579,0.33333,0.3,0.03348,0.58036,0.2911,0.014446
28_thomas,off,True,dt,1,0.71814,0.20561,0.23841,0.40909,0.16822,0.05848,0.60242,0.35321,0.011436
28_thomas,off,True,dt,2,0.71814,0.20771,0.35028,0.5082,0.26724,0.10398,0.62231,0.38965,0.010315
28_thomas,off,True,gnb,0,0.60636,0.29793,0.4311,0.33333,0.61,0.13118,0.64759,0.39878,0.009783
28_thomas,off,True,gnb,1,0.62255,0.33024,0.35294,0.32061,0.39252,0.05153,0.56941,0.32293,0.01017
28_thomas,off,True,gnb,2,0.66422,0.2724,0.38565,0.40187,0.37069,0.08125,0.59824,0.40134,0.0092
28_thomas,off,True,knn,0,0.76039,0.18019,0.23438,0.53571,0.15,0.11273,0.6279,0.40411,0.067382
28_thomas,off,True,knn,1,0.71324,0.20791,0.23529,0.3913,0.16822,0.06358,0.59597,0.32856,0.02271
28_thomas,off,True,knn,2,0.72794,0.20335,0.18978,0.61905,0.11207,0.07932,0.58228,0.3952,0.021854
28_thomas,off,True,lda,0,0.75306,0.17377,0.15126,0.47368,0.09,0.13441,0.66117,0.41267,0.014669
28_thomas,off,True,lda,1,0.71324,0.1991,0.23529,0.3913,0.16822,0.07994,0.58942,0.3483,0.009435
28_thomas,off,True,lda,2,0.72549,0.19964,0.21127,0.57692,0.12931,0.07831,0.5948,0.39624,0.009778
28_thomas,off,True,lgbm,0,0.76039,0.17867,0.25758,0.53125,0.17,0.1202,0.63984,0.36533,0.0264
28_thomas,off,True,lgbm,1,0.73529,0.19623,0.26027,0.48718,0.17757,0.06886,0.57806,0.36421,0.024956
28_thomas,off,True,lgbm,2,0.73775,0.19828,0.25175,0.66667,0.15517,0.09212,0.59847,0.42251,0.025063
28_thomas,off,True,lr,0,0.7555,0.17698,0.0,0.0,0.0,0.11041,0.64608,0.39936,0.012046
28_thomas,off,True,lr,1,0.74265,0.19055,0.05405,0.75,0.02804,0.06177,0.56955,0.36055,0.00904
28_thomas,off,True,lr,2,0.71569,0.1959,0.0,0.0,0.0,0.10138,0.63846,0.43491,0.0102
28_thomas,off,True,rf,0,0.76284,0.1744,0.15652,0.6,0.09,0.12313,0.64939,0.40213,0.2573
28_thomas,off,True,rf,1,0.73775,0.19044,0.23022,0.5,0.14953,0.06696,0.59318,0.3601,0.259337
28_thomas,off,True,rf,2,0.72549,0.19537,0.06667,1.0,0.03448,0.10207,0.61616,0.44458,0.291375
28_thomas,off,True,tabnet,0,0.65037,0.25397,0.25907,0.26882,0.25,0.0196,0.54031,0.27272,3.542934
28_thomas,off,True,tabnet,1,0.73039,0.2098,0.15385,0.43478,0.09346,0.03182,0.5213,0.30588,7.183813
28_thomas,off,True,tabnet,2,0.43873,0.26969,0.45346,0.31353,0.81897,0.1099,0.6041,0.4017,3.802566
28_thomas,off,True,xgb,0,0.75795,0.18423,0.26667,0.51429,0.18,0.08351,0.60574,0.35884,0.102973
28_thomas,off,True,xgb,1,0.73775,0.19438,0.27211,0.5,0.18692,0.07052,0.5895,0.37296,0.101027
28_thomas,off,True,xgb,2,0.72549,0.19961,0.27273,0.55263,0.18103,0.09373,0.60844,0.43374,0.0984
