dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
28_thomas,on (ratio=0.1),True,ab,0,0.7555,0.19528,0.0,0.0,0.0,0.05711,0.58008,0.32178,0.219583
28_thomas,on (ratio=0.1),True,ab,1,0.73775,0.21099,0.0,0.0,0.0,0.01965,0.56637,0.2946,0.213707
28_thomas,on (ratio=0.1),True,ab,2,0.71569,0.22327,0.0,0.0,0.0,0.11663,0.64651,0.42056,0.213703
28_thomas,on (ratio=0.1),True,ann,0,0.7555,0.19998,0.0,0.0,0.0,0.09439,0.58971,0.37526,0.271753
28_thomas,on (ratio=0.1),True,ann,1,0.73775,0.20989,0.0,0.0,0.0,0.05429,0.56862,0.33793,0.280729
28_thomas,on (ratio=0.1),True,ann,2,0.71569,0.24226,0.0,0.0,0.0,0.0821,0.58293,0.3991,0.290187
28_thomas,on (ratio=0.1),True,bnb,0,0.76039,0.19613,0.16949,0.55556,0.1,0.09499,0.59984,0.36406,0.009871
28_thomas,on (ratio=0.1),True,bnb,1,0.73284,0.22039,0.128,0.44444,0.07477,0.04721,0.56491,0.31917,0.009292
28_thomas,on (ratio=0.1),True,bnb,2,0.73284,0.22254,0.27815,0.6,0.18103,0.10456,0.60423,0.42681,0.009297
28_thomas,on (ratio=0.1),True,cb,0,0.7555,0.19036,0.0,0.0,0.0,0.10675,0.61345,0.41576,0.15925
28_thomas,on (ratio=0.1),True,cb,1,0.73775,0.20485,0.0,0.0,0.0,0.03844,0.56697,0.31808,0.171393
28_thomas,on (ratio=0.1),True,cb,2,0.71569,0.21788,0.0,0.0,0.0,0.09273,0.59589,0.42502,0.156693
28_thomas,on (ratio=0.1),True,dt,0,0.7555,0.20582,0.0,0.0,0.0,0.0,0.5,0.2445,0.009855
28_thomas,on (ratio=0.1),True,dt,1,0.73775,0.21999,0.0,0.0,0.0,0.0,0.5,0.26225,0.009904
28_thomas,on (ratio=0.1),True,dt,2,0.71569,0.23779,0.0,0.0,0.0,0.0,0.5,0.28431,0.010269
28_thomas,on (ratio=0.1),True,gnb,0,0.35452,0.6244,0.40271,0.26023,0.89,0.13536,0.63644,0.42558,0.008863
28_thomas,on (ratio=0.1),True,gnb,1,0.53186,0.40112,0.36545,0.28351,0.51402,0.05096,0.56398,0.31332,0.008823
28_thomas,on (ratio=0.1),True,gnb,2,0.38235,0.59141,0.38537,0.26871,0.68103,0.07687,0.53593,0.38608,0.008844
28_thomas,on (ratio=0.1),True,knn,0,0.75306,0.20215,0.0,0.0,0.0,0.04416,0.54304,0.30835,0.02291
28_thomas,on (ratio=0.1),True,knn,1,0.7402,0.21644,0.01852,1.0,0.00935,0.04421,0.5607,0.33287,0.022141
28_thomas,on (ratio=0.1),True,knn,2,0.71814,0.23327,0.03361,0.66667,0.01724,0.05003,0.53741,0.36995,0.023146
28_thomas,on (ratio=0.1),True,lda,0,0.75795,0.20206,0.05714,0.6,0.03,0.08541,0.59149,0.36207,0.009689
28_thomas,on (ratio=0.1),True,lda,1,0.72794,0.22228,0.05128,0.3,0.02804,0.0486,0.58529,0.32579,0.0098
28_thomas,on (ratio=0.1),True,lda,2,0.72304,0.2333,0.15038,0.58824,0.08621,0.06932,0.53708,0.3727,0.009771
28_thomas,on (ratio=0.1),True,lgbm,0,0.7555,0.1988,0.0,0.0,0.0,0.08232,0.58814,0.34677,0.038202
28_thomas,on (ratio=0.1),True,lgbm,1,0.73775,0.21334,0.0,0.0,0.0,0.05257,0.56899,0.34546,0.048935
28_thomas,on (ratio=0.1),True,lgbm,2,0.71569,0.2274,0.0,0.0,0.0,0.08121,0.58643,0.40536,0.062427
28_thomas,on (ratio=0.1),True,lr,0,0.75795,0.19662,0.0198,1.0,0.01,0.11008,0.60948,0.39837,0.009272
28_thomas,on (ratio=0.1),True,lr,1,0.73775,0.21187,0.0,0.0,0.0,0.07366,0.58129,0.35363,0.009902
28_thomas,on (ratio=0.1),True,lr,2,0.71569,0.22874,0.0,0.0,0.0,0.07888,0.5651,0.40098,0.00909
28_thomas,on (ratio=0.1),True,rf,0,0.7555,0.1985,0.0,0.0,0.0,0.10102,0.59031,0.40895,0.100902
28_thomas,on (ratio=0.1),True,rf,1,0.73775,0.21288,0.0,0.0,0.0,0.04767,0.57478,0.33286,0.102649
28_thomas,on (ratio=0.1),True,rf,2,0.71569,0.23023,0.0,0.0,0.0,0.09325,0.56414,0.39946,0.101278
28_thomas,on (ratio=0.1),True,tabnet,0,0.4621,0.44822,0.38889,0.26923,0.7,0.02409,0.54298,0.26082,5.563661
28_thomas,on (ratio=0.1),True,tabnet,1,0.61029,0.31595,0.29956,0.28333,0.31776,0.0261,0.52776,0.30983,4.977792
28_thomas,on (ratio=0.1),True,tabnet,2,0.47549,0.50126,0.43684,0.31439,0.71552,0.02042,0.50328,0.27282,3.440909
28_thomas,on (ratio=0.1),True,tabpfn,0,0.7555,0.20499,0.0,0.0,0.0,0.11739,0.64374,0.41705,1.406446
28_thomas,on (ratio=0.1),True,tabpfn,1,0.73775,0.22031,0.0,0.0,0.0,0.02863,0.56508,0.31283,1.242489
28_thomas,on (ratio=0.1),True,tabpfn,2,0.71569,0.2363,0.0,0.0,0.0,0.08019,0.5757,0.38235,1.213991
28_thomas,on (ratio=0.1),True,xgb,0,0.7555,0.20056,0.0,0.0,0.0,0.06226,0.57257,0.3495,0.186691
28_thomas,on (ratio=0.1),True,xgb,1,0.73775,0.21168,0.0,0.0,0.0,0.07648,0.59074,0.35893,0.161532
