dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
28_thomas,on (ratio=0.1),True,tabpfn_auto,0,0.7555,0.20615,0.0,0.0,0.0,0.11619,0.63252,0.40744,1934.404813
28_thomas,on (ratio=0.1),True,tabpfn_auto,1,0.73775,0.22289,0.0,0.0,0.0,0.0434,0.58014,0.31567,1968.689787
28_thomas,on (ratio=0.1),True,tabpfn_auto,2,0.71569,0.23392,0.0,0.0,0.0,0.09081,0.58745,0.40018,2090.170828
28_thomas,on (ratio=0.1),True,ab,0,0.7555,0.201,0.0,0.0,0.0,0.11235,0.62782,0.3974,0.137439
28_thomas,on (ratio=0.1),True,ab,1,0.73775,0.20858,0.0,0.0,0.0,0.06605,0.59285,0.35421,0.16594
28_thomas,on (ratio=0.1),True,ab,2,0.71324,0.21421,0.0,0.0,0.0,0.06484,0.56392,0.37822,0.152658
28_thomas,on (ratio=0.1),True,ann,0,0.7555,0.19878,0.0,0.0,0.0,0.1139,0.6154,0.39597,51.527795
28_thomas,on (ratio=0.1),True,ann,1,0.73775,0.21332,0.0,0.0,0.0,0.06797,0.57421,0.35638,31.112356
28_thomas,on (ratio=0.1),True,ann,2,0.71569,0.22887,0.0,0.0,0.0,0.07707,0.58246,0.40618,29.654249
28_thomas,on (ratio=0.1),True,bnb,0,0.76039,0.19608,0.16949,0.55556,0.1,0.0914,0.60039,0.36532,0.010866
28_thomas,on (ratio=0.1),True,bnb,1,0.73284,0.22037,0.128,0.44444,0.07477,0.04589,0.56466,0.31823,0.010535
28_thomas,on (ratio=0.1),True,bnb,2,0.73284,0.22257,0.27815,0.6,0.18103,0.1052,0.60311,0.42645,0.009217
28_thomas,on (ratio=0.1),True,cb,0,0.7555,0.1975,0.0,0.0,0.0,0.09785,0.62136,0.40057,0.396353
28_thomas,on (ratio=0.1),True,cb,1,0.73775,0.21332,0.0,0.0,0.0,0.04138,0.56419,0.31536,0.129155
28_thomas,on (ratio=0.1),True,cb,2,0.71569,0.22857,0.0,0.0,0.0,0.0779,0.57391,0.39372,0.124091
28_thomas,on (ratio=0.1),True,dt,0,0.72861,0.26905,0.20144,0.35897,0.14,0.01764,0.53916,0.26452,0.014555
28_thomas,on (ratio=0.1),True,dt,1,0.71814,0.2635,0.21769,0.4,0.14953,0.052,0.57503,0.3124,0.010216
28_thomas,on (ratio=0.1),True,dt,2,0.70833,0.29012,0.19048,0.45161,0.12069,0.01554,0.48006,0.30012,0.012633
28_thomas,on (ratio=0.1),True,gnb,0,0.35452,0.6244,0.40271,0.26023,0.89,0.13536,0.63644,0.42558,0.008374
28_thomas,on (ratio=0.1),True,gnb,1,0.53186,0.40112,0.36545,0.28351,0.51402,0.05096,0.56398,0.31332,0.009952
