dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
28_thomas,on (ratio=0.5),True,ab,0,0.76039,0.18005,0.25758,0.53125,0.17,0.08545,0.63398,0.35534,0.612739
28_thomas,on (ratio=0.5),True,ab,1,0.72549,0.19097,0.11111,0.36842,0.06542,0.0448,0.58365,0.32296,0.603071
28_thomas,on (ratio=0.5),True,ab,2,0.71569,0.19795,0.0,0.0,0.0,0.05833,0.58839,0.36075,0.622851
28_thomas,on (ratio=0.5),True,ann,0,0.74572,0.18185,0.2,0.43333,0.13,0.09985,0.63113,0.37029,0.852254
28_thomas,on (ratio=0.5),True,ann,1,0.70588,0.20083,0.24051,0.37255,0.17757,0.06397,0.58085,0.345,0.799242
28_thomas,on (ratio=0.5),True,ann,2,0.72794,0.19891,0.2649,0.57143,0.17241,0.07739,0.59034,0.39561,0.845859
28_thomas,on (ratio=0.5),True,bnb,0,0.72127,0.19998,0.35955,0.41026,0.32,0.09738,0.61981,0.3721,0.0094
28_thomas,on (ratio=0.5),True,bnb,1,0.67157,0.22882,0.35577,0.36634,0.34579,0.05335,0.58332,0.35042,0.009479
28_thomas,on (ratio=0.5),True,bnb,2,0.71569,0.20273,0.34831,0.5,0.26724,0.11943,0.60609,0.41349,0.009251
28_thomas,on (ratio=0.5),True,cb,0,0.77017,0.18766,0.21667,0.65,0.13,0.11076,0.63079,0.39677,0.180208
28_thomas,on (ratio=0.5),True,cb,1,0.72549,0.19903,0.18841,0.41935,0.1215,0.06733,0.59448,0.35269,0.194071
28_thomas,on (ratio=0.5),True,cb,2,0.72059,0.20042,0.05,0.75,0.02586,0.1084,0.63728,0.43566,0.166918
28_thomas,on (ratio=0.5),True,dt,0,0.70905,0.1904,0.32768,0.37662,0.29,0.05446,0.61762,0.31155,0.010789
28_thomas,on (ratio=0.5),True,dt,1,0.72549,0.20255,0.24324,0.43902,0.16822,0.03273,0.5747,0.30791,0.015155
28_thomas,on (ratio=0.5),True,dt,2,0.71569,0.21999,0.0,0.0,0.0,0.00974,0.52843,0.29582,0.010423
28_thomas,on (ratio=0.5),True,gnb,0,0.72127,0.21656,0.37363,0.41463,0.34,0.11262,0.63269,0.40054,0.009214
28_thomas,on (ratio=0.5),True,gnb,1,0.625,0.28659,0.3139,0.30172,0.3271,0.06402,0.55965,0.33882,0.009855
28_thomas,on (ratio=0.5),True,gnb,2,0.69853,0.24488,0.31285,0.44444,0.24138,0.06492,0.56034,0.3815,0.008737
28_thomas,on (ratio=0.5),True,knn,0,0.69682,0.19407,0.2619,0.32353,0.22,0.074,0.61783,0.33177,0.014346
28_thomas,on (ratio=0.5),True,knn,1,0.65196,0.21361,0.22826,0.27273,0.19626,0.02837,0.55618,0.30781,0.078419
28_thomas,on (ratio=0.5),True,knn,2,0.68382,0.21114,0.26286,0.38983,0.19828,0.06699,0.55265,0.37479,0.012867
28_thomas,on (ratio=0.5),True,lda,0,0.73839,0.18646,0.34356,0.44444,0.28,0.11753,0.64809,0.38261,0.009095
28_thomas,on (ratio=0.5),True,lda,1,0.70833,0.20368,0.30409,0.40625,0.24299,0.0861,0.5978,0.3584,0.009497
28_thomas,on (ratio=0.5),True,lda,2,0.69853,0.20439,0.2807,0.43636,0.2069,0.07227,0.58358,0.39116,0.00921
28_thomas,on (ratio=0.5),True,lgbm,0,0.71883,0.18584,0.27673,0.37288,0.22,0.09651,0.62458,0.34759,0.07894
28_thomas,on (ratio=0.5),True,lgbm,1,0.70833,0.19736,0.26994,0.39286,0.20561,0.06422,0.59728,0.36612,0.104999
28_thomas,on (ratio=0.5),True,lgbm,2,0.72059,0.19757,0.25,0.52778,0.16379,0.10656,0.61889,0.42925,0.077127
28_thomas,on (ratio=0.5),True,lr,0,0.75795,0.18423,0.0198,1.0,0.01,0.09755,0.63964,0.38782,0.00882
28_thomas,on (ratio=0.5),True,lr,1,0.7451,0.19629,0.10345,0.66667,0.05607,0.07007,0.57418,0.35896,0.009089
28_thomas,on (ratio=0.5),True,lr,2,0.72549,0.19893,0.06667,1.0,0.03448,0.08197,0.61186,0.41767,0.009095
28_thomas,on (ratio=0.5),True,rf,0,0.77017,0.18138,0.20339,0.66667,0.12,0.1072,0.62799,0.39611,0.166256
28_thomas,on (ratio=0.5),True,rf,1,0.72549,0.1956,0.21127,0.42857,0.14019,0.06599,0.58371,0.34722,0.167874
28_thomas,on (ratio=0.5),True,rf,2,0.72059,0.19845,0.16176,0.55,0.09483,0.08459,0.60168,0.41953,0.171557
28_thomas,on (ratio=0.5),True,tabnet,0,0.70171,0.2176,0.2907,0.34722,0.25,0.05822,0.58194,0.31882,4.728586
28_thomas,on (ratio=0.5),True,tabnet,1,0.60784,0.2435,0.36508,0.31724,0.42991,0.03409,0.52706,0.30132,5.891015
28_thomas,on (ratio=0.5),True,tabnet,2,0.46324,0.31049,0.38997,0.28807,0.60345,0.0253,0.51875,0.31196,4.204378
28_thomas,on (ratio=0.5),True,xgb,0,0.74328,0.18451,0.33962,0.45763,0.27,0.09579,0.62553,0.38356,0.078401
28_thomas,on (ratio=0.5),True,xgb,1,0.70098,0.2058,0.32967,0.4,0.28037,0.0766,0.60471,0.37309,0.081198
28_thomas,on (ratio=0.5),True,xgb,2,0.67157,0.20839,0.27957,0.37143,0.22414,0.07438,0.59041,0.38188,0.072079
