dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
29_loan_default,off,True,ab,0,0.9102,0.10513,0.0,0.0,0.0,0.08235,0.66253,0.14997,495.824017
29_loan_default,off,True,ab,1,0.9069,0.10371,0.0,0.0,0.0,0.09378,0.67252,0.16434,495.789964
29_loan_default,off,True,ab,2,0.9035,0.10836,0.0,0.0,0.0,0.08825,0.6673,0.17071,493.248814
29_loan_default,off,True,ann,0,0.9102,0.07902,0.0,0.0,0.0,0.10209,0.68604,0.16119,58.110767
29_loan_default,off,True,ann,1,0.9069,0.08114,0.0,0.0,0.0,0.1144,0.69797,0.1695,59.437889
29_loan_default,off,True,ann,2,0.9035,0.08424,0.0,0.0,0.0,0.10468,0.68655,0.17452,58.554444
29_loan_default,off,True,bnb,0,0.4507,0.48436,0.18851,0.10867,0.71047,0.04464,0.61221,0.12839,0.163357
29_loan_default,off,True,bnb,1,0.4491,0.49959,0.19021,0.11018,0.69495,0.03279,0.59598,0.12496,0.182007
29_loan_default,off,True,bnb,2,0.4629,0.46992,0.20394,0.11899,0.71295,0.04394,0.60971,0.14028,0.181328
29_loan_default,off,True,cb,0,0.9101,0.07846,0.00663,0.42857,0.00334,0.11842,0.70015,0.17665,9.745359
29_loan_default,off,True,cb,1,0.9069,0.081,0.00428,0.5,0.00215,0.11829,0.69756,0.17912,9.154889
29_loan_default,off,True,cb,2,0.903,0.08372,0.00411,0.22222,0.00207,0.11113,0.69183,0.18538,8.998159
29_loan_default,off,True,dt,0,0.9102,0.08101,0.0,0.0,0.0,0.03686,0.6095,0.11852,11.769348
29_loan_default,off,True,dt,1,0.9069,0.08302,0.0,0.0,0.0,0.04892,0.62275,0.13158,12.156138
29_loan_default,off,True,dt,2,0.9035,0.08591,0.0,0.0,0.0,0.04401,0.61652,0.13336,11.803437
29_loan_default,off,True,gnb,0,0.7132,0.27812,0.19888,0.13274,0.39644,0.049,0.62437,0.12661,0.258827
29_loan_default,off,True,gnb,1,0.7204,0.2714,0.20478,0.13926,0.38668,0.04836,0.62554,0.1325,0.292499
29_loan_default,off,True,gnb,2,0.6956,0.29349,0.22029,0.14631,0.4456,0.05999,0.64025,0.14588,0.28541
29_loan_default,off,True,knn,0,0.9102,0.08215,0.0,0.0,0.0,0.0388,0.60041,0.12686,4.457469
29_loan_default,off,True,knn,1,0.9069,0.08514,0.0,0.0,0.0,0.03437,0.60123,0.1244,4.41623
29_loan_default,off,True,knn,2,0.9035,0.08725,0.0,0.0,0.0,0.04039,0.60841,0.13394,5.331279
29_loan_default,off,True,lda,0,0.9131,0.06858,0.22618,0.56444,0.14143,0.37698,0.84715,0.3869,1.338235
29_loan_default,off,True,lda,1,0.9142,0.06829,0.24605,0.67633,0.15038,0.46383,0.87814,0.46048,1.502222
29_loan_default,off,True,lda,2,0.9066,0.07507,0.21776,0.56769,0.13472,0.37769,0.84451,0.3944,1.457512
29_loan_default,off,True,lgbm,0,0.9102,0.07927,0.00222,0.5,0.00111,0.10374,0.68495,0.16241,1.275176
29_loan_default,off,True,lgbm,1,0.907,0.08107,0.00641,0.6,0.00322,0.11836,0.6928,0.18063,1.204311
29_loan_default,off,True,lgbm,2,0.9035,0.08409,0.00207,0.5,0.00104,0.1036,0.68401,0.17867,1.150734
29_loan_default,off,True,lr,0,0.9105,0.07877,0.01323,0.66667,0.00668,0.1132,0.69617,0.17423,3.33354
29_loan_default,off,True,lr,1,0.9068,0.08071,0.0,0.0,0.0,0.13415,0.71239,0.18192,5.403857
29_loan_default,off,True,lr,2,0.9032,0.0837,0.00206,0.2,0.00104,0.11588,0.69669,0.1818,2.838826
29_loan_default,off,True,rf,0,0.9102,0.07958,0.0,0.0,0.0,0.08234,0.66306,0.1542,43.120597
29_loan_default,off,True,rf,1,0.9069,0.08217,0.0,0.0,0.0,0.08606,0.66898,0.15657,43.125159
29_loan_default,off,True,rf,2,0.9035,0.08471,0.0,0.0,0.0,0.08842,0.66814,0.16824,43.053661
29_loan_default,off,True,tabnet,0,0.5035,0.24612,0.20977,0.12238,0.73385,0.07222,0.65371,0.14598,42.822949
29_loan_default,off,True,tabnet,1,0.5716,0.2393,0.21939,0.1321,0.64662,0.05958,0.63629,0.14269,44.745517
29_loan_default,off,True,tabnet,2,0.4715,0.24924,0.21013,0.12277,0.7285,0.05054,0.62551,0.14192,29.062979
29_loan_default,off,True,xgb,0,0.9102,0.07888,0.0,0.0,0.0,0.11065,0.69276,0.16486,6.105085
29_loan_default,off,True,xgb,1,0.9069,0.08106,0.0,0.0,0.0,0.11728,0.69796,0.17289,6.697874
29_loan_default,off,True,xgb,2,0.9035,0.08389,0.0,0.0,0.0,0.10887,0.69024,0.17703,6.694134
