dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
30_home_credit,off,False,ab,0,0.92023,0.2364,0.03344,0.40708,0.01744,0.18086,0.7421,0.21002,19.842558
30_home_credit,off,False,ab,1,0.92023,0.23758,0.03274,0.41667,0.01704,0.17214,0.73072,0.20601,21.88218
30_home_credit,off,False,ab,2,0.91819,0.23752,0.0381,0.51923,0.01977,0.18723,0.74345,0.22788,17.512461
30_home_credit,off,False,ann,0,0.92086,0.06989,0.0,0.0,0.0,0.14164,0.71562,0.17886,3632.324321
30_home_credit,off,False,ann,1,0.92077,0.07042,0.0,0.0,0.0,0.14032,0.70985,0.17937,2384.226103
30_home_credit,off,False,ann,2,0.91807,0.0725,0.0,0.0,0.0,0.14674,0.71573,0.19077,686.938121
30_home_credit,off,False,bnb,0,0.88642,0.09246,0.13483,0.16974,0.11183,0.0564,0.632,0.12818,0.601555
30_home_credit,off,False,bnb,1,0.87787,0.09752,0.14922,0.16651,0.13518,0.05277,0.62757,0.12467,0.788172
30_home_credit,off,False,bnb,2,0.89542,0.08914,0.13327,0.20759,0.09813,0.06503,0.63998,0.13759,0.373949
30_home_credit,off,False,cb,0,0.92059,0.06783,0.04475,0.46617,0.0235,0.18972,0.74879,0.21606,34.635726
30_home_credit,off,False,cb,1,0.92026,0.06799,0.04457,0.43972,0.02348,0.18859,0.74068,0.2158,40.284709
30_home_credit,off,False,cb,2,0.91843,0.06941,0.03616,0.56667,0.01867,0.19536,0.74996,0.23207,15.309336
30_home_credit,off,False,dt,0,0.85138,0.14862,0.14112,0.13003,0.15428,0.01152,0.53279,0.08699,4.314776
30_home_credit,off,False,dt,1,0.85105,0.14895,0.13637,0.12613,0.14843,0.00972,0.52997,0.08619,7.030739
30_home_credit,off,False,dt,2,0.85174,0.14826,0.14409,0.13671,0.15233,0.01216,0.53324,0.09027,4.520625
30_home_credit,off,False,gnb,0,0.15639,0.84208,0.14952,0.08124,0.93707,0.00652,0.53061,0.08422,0.2943
30_home_credit,off,False,gnb,1,0.15114,0.84686,0.15201,0.08254,0.96024,0.00884,0.53464,0.08486,0.434357
30_home_credit,off,False,gnb,2,0.14562,0.85341,0.15445,0.08404,0.9524,0.00425,0.52117,0.08539,0.358706
30_home_credit,off,False,knn,0,0.91486,0.08479,0.02541,0.13504,0.01403,0.01241,0.55239,0.0911,2.997238
30_home_credit,off,False,knn,1,0.91513,0.08475,0.02145,0.124,0.01174,0.01117,0.55047,0.0902,4.128519
30_home_credit,off,False,knn,2,0.91384,0.08629,0.02973,0.19214,0.01611,0.01203,0.54858,0.09415,1.830032
30_home_credit,off,False,lda,0,0.91957,0.06849,0.03872,0.35762,0.02047,0.18563,0.74619,0.20382,16.884296
30_home_credit,off,False,lda,1,0.9193,0.06893,0.05148,0.37436,0.02764,0.17218,0.73393,0.20276,23.441207
30_home_credit,off,False,lda,2,0.91804,0.0695,0.04676,0.4963,0.02453,0.19171,0.74653,0.23184,8.13177
30_home_credit,off,False,lgbm,0,0.92107,0.06813,0.04013,0.53398,0.02085,0.17797,0.73957,0.21374,616.982013
30_home_credit,off,False,lgbm,1,0.91987,0.0684,0.02908,0.36364,0.01515,0.17324,0.73143,0.20672,338.274766
30_home_credit,off,False,lgbm,2,0.91831,0.0697,0.02923,0.55405,0.01501,0.18702,0.74567,0.22681,142.078175
30_home_credit,off,False,lr,0,0.92026,0.0682,0.01409,0.32759,0.0072,0.18172,0.74374,0.20388,4.181317
30_home_credit,off,False,lr,1,0.92032,0.06842,0.02425,0.40741,0.0125,0.17207,0.73331,0.20413,4.386694
30_home_credit,off,False,lr,2,0.91822,0.06949,0.02083,0.54717,0.01062,0.19004,0.74523,0.23166,2.59483
30_home_credit,off,False,rf,0,0.92086,0.06969,0.0,0.0,0.0,0.12675,0.6965,0.17737,28.36552
30_home_credit,off,False,rf,1,0.92074,0.07,0.0,0.0,0.0,0.12111,0.68563,0.17583,18.272447
30_home_credit,off,False,rf,2,0.91807,0.0713,0.0,0.0,0.0,0.13951,0.69987,0.19468,18.234497
30_home_credit,off,False,tabnet,0,0.68,0.21541,0.2403,0.14794,0.6395,0.15297,0.72277,0.18551,488.742109
30_home_credit,off,False,tabnet,1,0.61426,0.23334,0.22411,0.1333,0.70314,0.15575,0.71729,0.19847,244.883419
30_home_credit,off,False,tabnet,2,0.68536,0.2055,0.25427,0.15777,0.65471,0.17306,0.73309,0.21747,131.05966
30_home_credit,off,False,tabpfn,0,0.92086,0.07011,0.0,0.0,0.0,0.15627,0.71913,0.19091,1437.260874
30_home_credit,off,False,tabpfn,1,0.92077,0.07075,0.0,0.0,0.0,0.15752,0.72025,0.19777,1318.587621
30_home_credit,off,False,tabpfn,2,0.91807,0.0732,0.0,0.0,0.0,0.17471,0.72871,0.21984,1318.41861
30_home_credit,off,False,xgb,0,0.91819,0.07036,0.07339,0.3541,0.04094,0.15029,0.71744,0.19073,222.45214
30_home_credit,off,False,xgb,1,0.91777,0.07033,0.05905,0.31618,0.03256,0.15263,0.71659,0.18853,40.833681
30_home_credit,off,False,xgb,2,0.91684,0.07134,0.06288,0.40969,0.03405,0.16161,0.72394,0.20599,31.314421
