dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
30_home_credit,off,False,ab,0,0.9198,0.12701,0.01232,0.45455,0.00624,0.14884,0.71617,0.18538,3.498685
30_home_credit,off,False,ab,1,0.9201,0.12746,0.01963,0.72727,0.00995,0.18006,0.73262,0.22386,3.421111
30_home_credit,off,False,ab,2,0.9141,0.12397,0.00463,0.18182,0.00235,0.1785,0.73722,0.20902,3.511511
30_home_credit,off,False,ann,0,0.9199,0.07311,0.0,0.0,0.0,0.14216,0.70868,0.17743,9.533057
30_home_credit,off,False,ann,1,0.9196,0.07155,0.0,0.0,0.0,0.14826,0.70766,0.19273,6.591942
30_home_credit,off,False,ann,2,0.9148,0.0757,0.0,0.0,0.0,0.14162,0.71289,0.18382,6.740732
30_home_credit,off,False,bnb,0,0.8687,0.10303,0.17161,0.17347,0.16979,0.05725,0.62673,0.12685,0.091551
30_home_credit,off,False,bnb,1,0.8743,0.10043,0.1703,0.18143,0.16045,0.06372,0.62437,0.13489,0.084574
30_home_credit,off,False,bnb,2,0.879,0.0972,0.15385,0.19031,0.12911,0.06309,0.64008,0.1365,0.081902
30_home_credit,off,False,cb,0,0.9199,0.06894,0.05207,0.5,0.02747,0.17552,0.73216,0.21445,9.743696
30_home_credit,off,False,cb,1,0.9187,0.06907,0.04465,0.40426,0.02363,0.18175,0.73412,0.21656,9.76853
30_home_credit,off,False,cb,2,0.9145,0.07226,0.04894,0.46809,0.02582,0.19149,0.74361,0.23338,9.727725
30_home_credit,off,False,dt,0,0.8486,0.1514,0.15608,0.14099,0.17478,0.01702,0.54103,0.09074,1.122625
30_home_credit,off,False,dt,1,0.8447,0.1553,0.13385,0.12133,0.14925,0.00775,0.52738,0.08651,0.994766
30_home_credit,off,False,dt,2,0.8525,0.1475,0.15954,0.15504,0.16432,0.01805,0.54046,0.09668,1.045499
30_home_credit,off,False,gnb,0,0.1306,0.86899,0.14965,0.08118,0.95506,0.0017,0.5091,0.0815,0.102635
30_home_credit,off,False,gnb,1,0.1189,0.88103,0.14976,0.08118,0.96517,0.0018,0.50942,0.08185,0.111576
30_home_credit,off,False,gnb,2,0.1239,0.87581,0.15881,0.08648,0.97066,0.00269,0.51077,0.08694,0.104922
30_home_credit,off,False,knn,0,0.916,0.08461,0.0389,0.23288,0.02122,0.01703,0.55212,0.09672,0.205531
30_home_credit,off,False,knn,1,0.9148,0.08587,0.01843,0.125,0.00995,0.00887,0.54198,0.0901,0.162103
30_home_credit,off,False,knn,2,0.911,0.08808,0.02198,0.17241,0.01174,0.01397,0.55435,0.09934,0.16345
30_home_credit,off,False,lda,0,0.9172,0.07087,0.06757,0.34483,0.03745,0.15859,0.72291,0.19158,0.360871
30_home_credit,off,False,lda,1,0.9185,0.06993,0.08939,0.43956,0.04975,0.17441,0.72999,0.21282,0.379346
30_home_credit,off,False,lda,2,0.9126,0.07408,0.07806,0.38542,0.04343,0.17097,0.73165,0.20841,0.410505
30_home_credit,off,False,lgbm,0,0.9194,0.07064,0.06928,0.46154,0.03745,0.15158,0.71635,0.19267,0.46244
30_home_credit,off,False,lgbm,1,0.919,0.0696,0.06682,0.45312,0.03607,0.17638,0.72869,0.21308,0.485925
30_home_credit,off,False,lgbm,2,0.9138,0.07321,0.04222,0.39583,0.0223,0.1788,0.7353,0.21726,0.449044
30_home_credit,off,False,lr,0,0.9192,0.06964,0.0358,0.40541,0.01873,0.16274,0.72261,0.1998,0.418148
30_home_credit,off,False,lr,1,0.919,0.0693,0.04255,0.42857,0.02239,0.17221,0.72819,0.21209,0.427472
30_home_credit,off,False,lr,2,0.9142,0.07316,0.03378,0.41667,0.01761,0.17314,0.73259,0.21299,0.367945
30_home_credit,off,False,rf,0,0.9199,0.0713,0.0,0.0,0.0,0.10933,0.67827,0.16216,4.094638
30_home_credit,off,False,rf,1,0.9197,0.07071,0.00248,1.0,0.00124,0.1327,0.69221,0.18272,4.131902
30_home_credit,off,False,rf,2,0.9148,0.07437,0.0,0.0,0.0,0.12379,0.68959,0.18599,4.229761
30_home_credit,off,False,tabnet,0,0.6092,0.21279,0.21589,0.12862,0.67166,0.1131,0.68138,0.16692,22.591988
30_home_credit,off,False,tabnet,1,0.6718,0.20278,0.23282,0.14335,0.6194,0.13291,0.69326,0.18393,25.479677
30_home_credit,off,False,tabnet,2,0.6063,0.22499,0.21213,0.12786,0.62207,0.09073,0.65403,0.16567,19.071212
30_home_credit,off,False,tabpfn,0,0.9199,0.06954,0.0,0.0,0.0,0.17287,0.72944,0.20607,295.722532
30_home_credit,off,False,tabpfn,1,0.9196,0.06936,0.0,0.0,0.0,0.19313,0.73971,0.23481,294.3464
30_home_credit,off,False,tabpfn,2,0.9146,0.0734,0.00234,0.25,0.00117,0.1822,0.73504,0.22291,297.127037
30_home_credit,off,False,xgb,0,0.916,0.07271,0.09091,0.34146,0.05243,0.13369,0.69457,0.18841,0.280052
30_home_credit,off,False,xgb,1,0.9152,0.0725,0.11297,0.35526,0.06716,0.14872,0.70407,0.19553,0.238311
30_home_credit,off,False,xgb,2,0.9119,0.07614,0.09826,0.384,0.05634,0.13973,0.7022,0.20312,0.257141
