dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
30_home_credit,on (ratio=0.1),False,ab,0,0.9187,0.13167,0.01693,0.26923,0.00874,0.14707,0.71289,0.18067,3.503417
30_home_credit,on (ratio=0.1),False,ab,1,0.9197,0.13759,0.0243,0.52632,0.01244,0.16656,0.72545,0.21565,3.212145
30_home_credit,on (ratio=0.1),False,ab,2,0.914,0.13233,0.00922,0.25,0.00469,0.17295,0.73333,0.20798,3.222869
30_home_credit,on (ratio=0.1),False,ann,0,0.9199,0.07038,0.0,0.0,0.0,0.1421,0.70698,0.18249,7.029566
30_home_credit,on (ratio=0.1),False,ann,1,0.9196,0.0707,0.0,0.0,0.0,0.1548,0.71334,0.20175,5.417387
30_home_credit,on (ratio=0.1),False,ann,2,0.9148,0.07455,0.0,0.0,0.0,0.16181,0.72463,0.19833,6.266408
30_home_credit,on (ratio=0.1),False,bnb,0,0.8582,0.10886,0.18412,0.17076,0.19975,0.05823,0.62614,0.12724,0.080443
30_home_credit,on (ratio=0.1),False,bnb,1,0.8567,0.11014,0.18626,0.17137,0.20398,0.05876,0.62001,0.13175,0.074519
30_home_credit,on (ratio=0.1),False,bnb,2,0.8638,0.10493,0.17654,0.18204,0.17136,0.06681,0.6411,0.13947,0.096162
30_home_credit,on (ratio=0.1),False,cb,0,0.9194,0.06913,0.04502,0.44186,0.02372,0.17536,0.73159,0.2106,12.671606
30_home_credit,on (ratio=0.1),False,cb,1,0.9197,0.06905,0.04518,0.51351,0.02363,0.17973,0.7314,0.21776,12.657383
30_home_credit,on (ratio=0.1),False,cb,2,0.9147,0.07207,0.05537,0.4902,0.02934,0.19365,0.74607,0.23563,12.708708
30_home_credit,on (ratio=0.1),False,dt,0,0.845,0.155,0.14459,0.12957,0.16355,0.0116,0.53394,0.08819,1.505452
30_home_credit,on (ratio=0.1),False,dt,1,0.8499,0.1501,0.16657,0.15045,0.18657,0.02226,0.54723,0.09347,1.009661
30_home_credit,on (ratio=0.1),False,dt,2,0.8476,0.1524,0.14574,0.13948,0.15258,0.01146,0.53246,0.09348,1.063395
30_home_credit,on (ratio=0.1),False,gnb,0,0.1374,0.8623,0.15032,0.0816,0.95256,0.00187,0.50894,0.08147,0.125173
30_home_credit,on (ratio=0.1),False,gnb,1,0.1222,0.87761,0.14975,0.0812,0.96144,0.00171,0.50967,0.0819,0.082093
30_home_credit,on (ratio=0.1),False,gnb,2,0.1292,0.87055,0.15946,0.08687,0.96948,0.00232,0.50999,0.08681,0.084004
30_home_credit,on (ratio=0.1),False,knn,0,0.9054,0.0901,0.07073,0.1659,0.04494,0.01618,0.55625,0.09673,1.197168
30_home_credit,on (ratio=0.1),False,knn,1,0.9054,0.09053,0.04444,0.11828,0.02736,0.01298,0.54768,0.09382,0.161859
30_home_credit,on (ratio=0.1),False,knn,2,0.899,0.09473,0.05075,0.12736,0.03169,0.01476,0.56055,0.09921,0.172628
30_home_credit,on (ratio=0.1),False,lda,0,0.917,0.07104,0.07982,0.35644,0.04494,0.16051,0.72389,0.19349,0.414465
30_home_credit,on (ratio=0.1),False,lda,1,0.9184,0.07045,0.10917,0.44643,0.06219,0.17446,0.72867,0.21164,0.400837
30_home_credit,on (ratio=0.1),False,lda,2,0.9106,0.07459,0.09146,0.34091,0.05282,0.16847,0.73108,0.20699,0.40752
30_home_credit,on (ratio=0.1),False,lgbm,0,0.9181,0.07017,0.05318,0.35938,0.02871,0.15557,0.7123,0.19965,0.531721
30_home_credit,on (ratio=0.1),False,lgbm,1,0.9179,0.0698,0.05741,0.37313,0.03109,0.1765,0.7314,0.20914,0.426613
30_home_credit,on (ratio=0.1),False,lgbm,2,0.9127,0.07375,0.05417,0.35211,0.02934,0.17164,0.7284,0.2099,0.479533
30_home_credit,on (ratio=0.1),False,lr,0,0.9184,0.06995,0.0445,0.35849,0.02372,0.16155,0.72252,0.19986,0.444663
30_home_credit,on (ratio=0.1),False,lr,1,0.9194,0.06975,0.06928,0.48387,0.03731,0.16877,0.72577,0.2099,0.475558
30_home_credit,on (ratio=0.1),False,lr,2,0.9135,0.07353,0.05257,0.39344,0.02817,0.17226,0.73093,0.21077,0.411892
30_home_credit,on (ratio=0.1),False,rf,0,0.9199,0.07114,0.0,0.0,0.0,0.11739,0.68242,0.17082,4.284103
30_home_credit,on (ratio=0.1),False,rf,1,0.9197,0.07064,0.00248,1.0,0.00124,0.13966,0.69638,0.1891,4.221548
30_home_credit,on (ratio=0.1),False,rf,2,0.9148,0.07427,0.0,0.0,0.0,0.13239,0.69605,0.19062,4.468755
30_home_credit,on (ratio=0.1),False,tabnet,0,0.6634,0.19982,0.22834,0.13985,0.62172,0.12717,0.69942,0.16338,22.850336
30_home_credit,on (ratio=0.1),False,tabnet,1,0.5787,0.25709,0.21909,0.12873,0.73507,0.15004,0.71074,0.19294,17.490258
30_home_credit,on (ratio=0.1),False,tabnet,2,0.6006,0.23854,0.23251,0.13902,0.71009,0.13473,0.70419,0.18828,14.030826
30_home_credit,on (ratio=0.1),False,xgb,0,0.9145,0.07349,0.0836,0.29545,0.04869,0.12403,0.68818,0.1744,0.301107
30_home_credit,on (ratio=0.1),False,xgb,1,0.9156,0.07263,0.119,0.37013,0.0709,0.14269,0.70145,0.19714,0.278467
30_home_credit,on (ratio=0.1),False,xgb,2,0.9117,0.07572,0.10718,0.38686,0.06221,0.15144,0.71452,0.20506,0.284766
