dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
30_home_credit,off,True,ab,0,0.92086,0.18616,0.0,0.0,0.0,0.16973,0.73628,0.19968,13.820437
30_home_credit,off,True,ab,1,0.92077,0.18586,0.0,0.0,0.0,0.16302,0.72375,0.19996,14.567299
30_home_credit,off,True,ab,2,0.91807,0.18594,0.0,0.0,0.0,0.18064,0.73952,0.21853,14.783248
30_home_credit,off,True,ann,0,0.92086,0.0692,0.0,0.0,0.0,0.16367,0.73156,0.19067,7.582043
30_home_credit,off,True,ann,1,0.92077,0.06931,0.0,0.0,0.0,0.15478,0.71958,0.18934,8.22335
30_home_credit,off,True,ann,2,0.91807,0.0716,0.0,0.0,0.0,0.16857,0.73073,0.21144,8.372779
30_home_credit,off,True,bnb,0,0.88567,0.09285,0.13681,0.16995,0.11448,0.05595,0.63154,0.12816,0.157556
30_home_credit,off,True,bnb,1,0.87691,0.09792,0.15069,0.16621,0.13783,0.05256,0.62742,0.12535,0.163383
30_home_credit,off,True,bnb,2,0.89473,0.08943,0.1355,0.20708,0.1007,0.06507,0.64014,0.13812,0.193692
30_home_credit,off,True,cb,0,0.92077,0.06797,0.00677,0.42857,0.00341,0.18336,0.74524,0.20972,4.042537
30_home_credit,off,True,cb,1,0.92044,0.06812,0.00376,0.2381,0.00189,0.17838,0.73424,0.2089,4.247544
30_home_credit,off,True,cb,2,0.91819,0.06975,0.00511,0.7,0.00256,0.19051,0.74684,0.22787,4.316838
30_home_credit,off,True,dt,0,0.92047,0.06975,0.00151,0.11765,0.00076,0.12808,0.7016,0.16638,0.636473
30_home_credit,off,True,dt,1,0.92035,0.06999,0.00375,0.20833,0.00189,0.12547,0.69003,0.16769,0.624123
30_home_credit,off,True,dt,2,0.91813,0.07147,0.00219,0.75,0.0011,0.13803,0.70729,0.17724,0.5988
30_home_credit,off,True,gnb,0,0.6665,0.25531,0.2115,0.13009,0.5652,0.083,0.66068,0.14166,0.13039
30_home_credit,off,True,gnb,1,0.6688,0.25558,0.21267,0.13101,0.56456,0.08459,0.65773,0.14421,0.135028
30_home_credit,off,True,gnb,2,0.6652,0.2515,0.22089,0.13646,0.57927,0.10262,0.67322,0.1655,0.141804
30_home_credit,off,True,knn,0,0.92083,0.07446,0.00076,0.33333,0.00038,0.02583,0.58614,0.10452,4.847424
30_home_credit,off,True,knn,1,0.92077,0.07427,0.0,0.0,0.0,0.02844,0.59154,0.10582,4.641699
30_home_credit,off,True,knn,2,0.91807,0.0762,0.0,0.0,0.0,0.03096,0.5939,0.11042,4.886277
30_home_credit,off,True,lda,0,0.91957,0.06849,0.03872,0.35762,0.02047,0.18563,0.74619,0.20382,0.219759
30_home_credit,off,True,lda,1,0.9193,0.06892,0.05148,0.37436,0.02764,0.17235,0.73404,0.20281,0.812468
30_home_credit,off,True,lda,2,0.91804,0.0695,0.04676,0.4963,0.02453,0.19171,0.74653,0.23184,0.297909
30_home_credit,off,True,lgbm,0,0.92125,0.06748,0.03315,0.58442,0.01706,0.19189,0.74975,0.22323,1.195136
30_home_credit,off,True,lgbm,1,0.92029,0.06796,0.02208,0.39474,0.01136,0.18377,0.73906,0.21353,1.498718
30_home_credit,off,True,lgbm,2,0.91846,0.06911,0.01877,0.66667,0.00952,0.19945,0.75116,0.24018,1.735891
30_home_credit,off,True,lr,0,0.92035,0.0681,0.01848,0.37313,0.00948,0.18585,0.7454,0.20635,20.284559
30_home_credit,off,True,lr,1,0.92017,0.06833,0.02492,0.38636,0.01287,0.1743,0.73412,0.20676,15.357003
30_home_credit,off,True,lr,2,0.9184,0.06934,0.02649,0.5873,0.01355,0.19286,0.74724,0.23503,18.385412
30_home_credit,off,True,rf,0,0.92086,0.07002,0.0,0.0,0.0,0.16518,0.72675,0.19772,2.961641
30_home_credit,off,True,rf,1,0.92077,0.07011,0.0,0.0,0.0,0.14849,0.71013,0.19141,3.183471
30_home_credit,off,True,rf,2,0.91807,0.07211,0.0,0.0,0.0,0.17377,0.72888,0.22058,3.283589
30_home_credit,off,True,tabnet,0,0.68267,0.20604,0.244,0.15034,0.64708,0.16209,0.73056,0.18515,218.666229
30_home_credit,off,True,tabnet,1,0.5884,0.23615,0.2073,0.12232,0.67929,0.07928,0.66181,0.13378,417.623784
30_home_credit,off,True,tabnet,2,0.655,0.23071,0.2373,0.14489,0.65507,0.12756,0.70175,0.16674,144.186171
30_home_credit,off,True,xgb,0,0.92101,0.06748,0.02445,0.54098,0.01251,0.19382,0.75253,0.22118,0.904203
30_home_credit,off,True,xgb,1,0.92071,0.0677,0.01638,0.47826,0.00833,0.18707,0.74038,0.21872,0.724975
30_home_credit,off,True,xgb,2,0.91828,0.06904,0.01518,0.6,0.00769,0.2032,0.75504,0.24106,0.90096
30_home_credit,off,False,tabpfn,0,0.92086,0.07011,0.0,0.0,0.0,0.15627,0.71913,0.19091,1437.260874
30_home_credit,off,False,tabpfn,1,0.92077,0.07075,0.0,0.0,0.0,0.15752,0.72025,0.19777,1318.587621
30_home_credit,off,False,tabpfn,2,0.91807,0.0732,0.0,0.0,0.0,0.17471,0.72871,0.21984,1318.41861
