dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
30_home_credit,off,True,ab,0,0.9199,0.1045,0.0,0.0,0.0,0.16607,0.72553,0.20083,33.25953
30_home_credit,off,True,ab,1,0.9196,0.10532,0.0,0.0,0.0,0.19348,0.73909,0.23298,33.781358
30_home_credit,off,True,ab,2,0.9148,0.10071,0.0,0.0,0.0,0.17978,0.73393,0.22215,33.029581
30_home_credit,off,True,ann,0,0.9199,0.06935,0.0,0.0,0.0,0.16173,0.72128,0.20268,15.632639
30_home_credit,off,True,ann,1,0.9196,0.06952,0.0,0.0,0.0,0.16863,0.72838,0.20058,17.856288
30_home_credit,off,True,ann,2,0.9148,0.07352,0.0093,0.5,0.00469,0.17531,0.73301,0.2165,17.893546
30_home_credit,off,True,bnb,0,0.866,0.10421,0.17079,0.16933,0.17228,0.05784,0.62636,0.12669,0.07655
30_home_credit,off,True,bnb,1,0.8714,0.10194,0.17139,0.17781,0.16542,0.06372,0.62189,0.13452,0.083803
30_home_credit,off,True,bnb,2,0.8773,0.09769,0.15901,0.1911,0.13615,0.06436,0.64094,0.13947,0.084659
30_home_credit,off,True,cb,0,0.9198,0.06907,0.04067,0.48571,0.02122,0.1764,0.73155,0.20833,2.892873
30_home_credit,off,True,cb,1,0.9192,0.06832,0.04265,0.45,0.02239,0.19445,0.73986,0.22979,2.913493
30_home_credit,off,True,cb,2,0.9142,0.07202,0.03812,0.425,0.01995,0.19705,0.74808,0.233,2.921106
30_home_credit,off,True,dt,0,0.9199,0.07117,0.0,0.0,0.0,0.10418,0.67491,0.14662,0.568487
30_home_credit,off,True,dt,1,0.9196,0.07035,0.0,0.0,0.0,0.13257,0.69547,0.16672,0.608737
30_home_credit,off,True,dt,2,0.9148,0.07457,0.0,0.0,0.0,0.12079,0.6902,0.16033,0.5828
30_home_credit,off,True,gnb,0,0.6544,0.27384,0.20369,0.12489,0.55181,0.07625,0.64872,0.13875,0.102665
30_home_credit,off,True,gnb,1,0.6441,0.27775,0.20894,0.1272,0.58458,0.08937,0.65424,0.15003,0.127481
30_home_credit,off,True,gnb,2,0.7088,0.22508,0.23126,0.14918,0.51408,0.09738,0.67356,0.15704,0.124938
30_home_credit,off,True,knn,0,0.9199,0.07376,0.0,0.0,0.0,0.04728,0.61457,0.12076,1.504708
30_home_credit,off,True,knn,1,0.9196,0.0731,0.0,0.0,0.0,0.06448,0.6377,0.13287,1.425952
30_home_credit,off,True,knn,2,0.9148,0.07703,0.0,0.0,0.0,0.06044,0.62912,0.13876,1.479858
30_home_credit,off,True,lda,0,0.9172,0.07087,0.06757,0.34483,0.03745,0.15859,0.72291,0.19158,0.443183
30_home_credit,off,True,lda,1,0.9185,0.06993,0.08939,0.43956,0.04975,0.17441,0.72999,0.21282,0.416578
30_home_credit,off,True,lda,2,0.9126,0.07408,0.07806,0.38542,0.04343,0.17097,0.73165,0.20841,0.445667
30_home_credit,off,True,lgbm,0,0.9197,0.06884,0.01954,0.44444,0.00999,0.17933,0.73338,0.21308,0.351594
30_home_credit,off,True,lgbm,1,0.9207,0.06809,0.04573,0.7037,0.02363,0.19728,0.7422,0.2364,0.354277
30_home_credit,off,True,lgbm,2,0.9147,0.07159,0.01387,0.46154,0.00704,0.20604,0.75174,0.24177,0.332634
30_home_credit,off,True,lr,0,0.9198,0.06904,0.00988,0.44444,0.00499,0.17861,0.73566,0.20376,0.220375
30_home_credit,off,True,lr,1,0.9197,0.06857,0.01714,0.53846,0.00871,0.1856,0.73689,0.22753,0.171816
30_home_credit,off,True,lr,2,0.9142,0.07262,0.00924,0.28571,0.00469,0.18307,0.73757,0.21847,0.279685
30_home_credit,off,True,rf,0,0.9199,0.06967,0.0,0.0,0.0,0.15869,0.7136,0.20433,12.413778
30_home_credit,off,True,rf,1,0.9196,0.06963,0.0,0.0,0.0,0.17429,0.72291,0.21424,12.257981
30_home_credit,off,True,rf,2,0.9148,0.07329,0.0,0.0,0.0,0.17527,0.72729,0.22044,12.36049
30_home_credit,off,True,tabnet,0,0.6864,0.20854,0.23137,0.14395,0.58926,0.1375,0.7038,0.18777,93.921334
30_home_credit,off,True,tabnet,1,0.6553,0.21802,0.22869,0.13943,0.63557,0.15278,0.71078,0.20869,108.327413
30_home_credit,off,True,tabnet,2,0.6449,0.21622,0.22315,0.13713,0.59859,0.09703,0.67356,0.16498,93.778873
30_home_credit,off,True,xgb,0,0.9201,0.06861,0.01963,0.57143,0.00999,0.18289,0.73706,0.21647,0.678245
30_home_credit,off,True,xgb,1,0.9195,0.06831,0.00248,0.33333,0.00124,0.19623,0.74338,0.22769,0.622647
30_home_credit,off,True,xgb,2,0.9149,0.0719,0.00931,0.57143,0.00469,0.20069,0.74972,0.23482,0.689252
