dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
30_home_credit,on (ratio=0.1),True,ab,0,0.9199,0.10945,0.0,0.0,0.0,0.16245,0.72555,0.19574,31.809416
30_home_credit,on (ratio=0.1),True,ab,1,0.9196,0.10825,0.0,0.0,0.0,0.18743,0.73533,0.22613,33.600251
30_home_credit,on (ratio=0.1),True,ab,2,0.9148,0.10434,0.0,0.0,0.0,0.17844,0.73256,0.21838,32.67364
30_home_credit,on (ratio=0.1),True,ann,0,0.9199,0.06904,0.00249,0.5,0.00125,0.17125,0.72932,0.20705,7.95417
30_home_credit,on (ratio=0.1),True,ann,1,0.9196,0.06909,0.00495,0.5,0.00249,0.17467,0.73053,0.21316,9.603309
30_home_credit,on (ratio=0.1),True,ann,2,0.9145,0.07284,0.00466,0.28571,0.00235,0.18062,0.73581,0.21733,9.791484
30_home_credit,on (ratio=0.1),True,bnb,0,0.8535,0.11043,0.18202,0.16465,0.2035,0.05624,0.62516,0.12679,0.078242
30_home_credit,on (ratio=0.1),True,bnb,1,0.8544,0.1119,0.18841,0.17071,0.2102,0.05805,0.6176,0.13148,0.085839
30_home_credit,on (ratio=0.1),True,bnb,2,0.8614,0.10602,0.17988,0.18138,0.1784,0.06795,0.64164,0.14196,0.089276
30_home_credit,on (ratio=0.1),True,cb,0,0.9191,0.06907,0.03345,0.38889,0.01748,0.18017,0.73356,0.20696,3.372582
30_home_credit,on (ratio=0.1),True,cb,1,0.9201,0.06812,0.05219,0.5641,0.02736,0.19787,0.74091,0.23714,3.457803
30_home_credit,on (ratio=0.1),True,cb,2,0.9141,0.07201,0.03591,0.41026,0.01878,0.19642,0.74713,0.23445,3.526952
30_home_credit,on (ratio=0.1),True,dt,0,0.9199,0.07119,0.0,0.0,0.0,0.10882,0.6822,0.14855,0.576343
30_home_credit,on (ratio=0.1),True,dt,1,0.9196,0.07104,0.0,0.0,0.0,0.1219,0.6869,0.15604,0.58876
30_home_credit,on (ratio=0.1),True,dt,2,0.9148,0.07448,0.0,0.0,0.0,0.12504,0.68849,0.17015,0.573099
30_home_credit,on (ratio=0.1),True,gnb,0,0.6087,0.31863,0.19568,0.11713,0.59426,0.08083,0.64983,0.14168,0.101556
30_home_credit,on (ratio=0.1),True,gnb,1,0.5956,0.32515,0.20079,0.11936,0.63184,0.08707,0.65184,0.14978,0.124245
30_home_credit,on (ratio=0.1),True,gnb,2,0.6431,0.28312,0.22531,0.13822,0.60915,0.09826,0.67333,0.15718,0.107227
30_home_credit,on (ratio=0.1),True,knn,0,0.9199,0.07447,0.0,0.0,0.0,0.04703,0.61319,0.12003,1.43658
30_home_credit,on (ratio=0.1),True,knn,1,0.9196,0.07369,0.0,0.0,0.0,0.06351,0.63798,0.12934,1.517027
30_home_credit,on (ratio=0.1),True,knn,2,0.9148,0.0777,0.0,0.0,0.0,0.05567,0.62517,0.13384,1.427323
30_home_credit,on (ratio=0.1),True,lda,0,0.917,0.07104,0.07982,0.35644,0.04494,0.16051,0.72389,0.19349,0.47911
30_home_credit,on (ratio=0.1),True,lda,1,0.9184,0.07045,0.10917,0.44643,0.06219,0.17446,0.72867,0.21164,0.405364
30_home_credit,on (ratio=0.1),True,lda,2,0.9106,0.07459,0.09146,0.34091,0.05282,0.16847,0.73108,0.20699,0.406283
30_home_credit,on (ratio=0.1),True,lgbm,0,0.92,0.06916,0.03846,0.51613,0.01998,0.1768,0.73264,0.20821,0.368736
30_home_credit,on (ratio=0.1),True,lgbm,1,0.9196,0.06841,0.04739,0.5,0.02488,0.19558,0.74005,0.23161,0.400544
30_home_credit,on (ratio=0.1),True,lgbm,2,0.9144,0.0718,0.02283,0.41667,0.01174,0.19812,0.74962,0.23554,0.364118
30_home_credit,on (ratio=0.1),True,lr,0,0.9187,0.06919,0.00974,0.2,0.00499,0.17846,0.73489,0.20385,0.214283
30_home_credit,on (ratio=0.1),True,lr,1,0.9194,0.06886,0.02184,0.45,0.01119,0.18175,0.73541,0.22426,0.22627
30_home_credit,on (ratio=0.1),True,lr,2,0.9141,0.07262,0.02275,0.37037,0.01174,0.18473,0.738,0.21939,0.260699
30_home_credit,on (ratio=0.1),True,rf,0,0.9199,0.06973,0.0,0.0,0.0,0.15985,0.71497,0.20094,11.146129
30_home_credit,on (ratio=0.1),True,rf,1,0.9196,0.06967,0.0,0.0,0.0,0.17319,0.72467,0.21438,11.285371
30_home_credit,on (ratio=0.1),True,rf,2,0.9148,0.07315,0.0,0.0,0.0,0.17508,0.72985,0.22117,11.407562
30_home_credit,on (ratio=0.1),True,tabnet,0,0.7323,0.17872,0.25077,0.16162,0.5593,0.15385,0.7149,0.18947,35.413738
30_home_credit,on (ratio=0.1),True,tabnet,1,0.6612,0.21095,0.22151,0.13585,0.5995,0.11817,0.6834,0.17132,55.285945
30_home_credit,on (ratio=0.1),True,tabnet,2,0.6617,0.19403,0.24839,0.15319,0.6561,0.12627,0.70256,0.16195,36.077107
30_home_credit,on (ratio=0.1),True,xgb,0,0.9196,0.06869,0.04513,0.46341,0.02372,0.18723,0.74183,0.21881,0.713079
30_home_credit,on (ratio=0.1),True,xgb,1,0.9189,0.06874,0.03567,0.40541,0.01866,0.19392,0.74131,0.22339,0.759783
30_home_credit,on (ratio=0.1),True,xgb,2,0.9141,0.07238,0.03807,0.41463,0.01995,0.1946,0.74625,0.22473,0.734511
