dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
30_home_credit,on (ratio=0.1),True,tabpfn_auto,0,0.92089,0.06915,0.00151,0.66667,0.00076,0.1569,0.72518,0.1881,140922.384884
30_home_credit,on (ratio=0.1),True,tabpfn_auto,1,0.92077,0.06984,0.0,0.0,0.0,0.13124,0.69829,0.17748,102453.460681
30_home_credit,on (ratio=0.1),True,tabpfn_auto,2,0.9181,0.0755,0.00073,1.0,0.00037,0.10222,0.68521,0.15477,97595.435647
30_home_credit,on (ratio=0.1),True,ab,0,0.92086,0.17815,0.0,0.0,0.0,0.16591,0.73347,0.19842,32.442883
30_home_credit,on (ratio=0.1),True,ab,1,0.92077,0.17779,0.0,0.0,0.0,0.15808,0.72028,0.19468,19.112756
30_home_credit,on (ratio=0.1),True,ab,2,0.91807,0.17864,0.0,0.0,0.0,0.17366,0.73507,0.21524,18.396586
30_home_credit,on (ratio=0.1),True,ann,0,0.92086,0.06903,0.0,0.0,0.0,0.16762,0.7341,0.19336,110.472409
30_home_credit,on (ratio=0.1),True,ann,1,0.92077,0.06926,0.0,0.0,0.0,0.15662,0.72041,0.19141,712.575816
30_home_credit,on (ratio=0.1),True,ann,2,0.91807,0.07119,0.0,0.0,0.0,0.17144,0.73196,0.21437,661.900793
30_home_credit,on (ratio=0.1),True,bnb,0,0.86875,0.10113,0.16011,0.16219,0.15807,0.05476,0.62877,0.12729,0.25965
30_home_credit,on (ratio=0.1),True,bnb,1,0.85465,0.10895,0.1648,0.15127,0.18099,0.04943,0.62419,0.12367,0.287544
30_home_credit,on (ratio=0.1),True,bnb,2,0.877,0.09809,0.16327,0.18442,0.14647,0.06163,0.63699,0.13582,0.320632
30_home_credit,on (ratio=0.1),True,cb,0,0.92095,0.06746,0.01862,0.53191,0.00948,0.19477,0.7528,0.22156,5.690068
30_home_credit,on (ratio=0.1),True,cb,1,0.92056,0.06788,0.01634,0.43137,0.00833,0.18408,0.73895,0.21458,6.670183
30_home_credit,on (ratio=0.1),True,cb,2,0.91825,0.06913,0.01232,0.60714,0.00622,0.1993,0.75187,0.24088,6.611603
30_home_credit,on (ratio=0.1),True,dt,0,0.91957,0.07068,0.03108,0.33333,0.0163,0.13029,0.70456,0.1644,1.108429
30_home_credit,on (ratio=0.1),True,dt,1,0.91909,0.07132,0.01245,0.18889,0.00644,0.11832,0.68972,0.15781,1.2464
30_home_credit,on (ratio=0.1),True,dt,2,0.9175,0.07219,0.01575,0.34921,0.00806,0.13276,0.70408,0.17507,1.229524
30_home_credit,on (ratio=0.1),True,gnb,0,0.57596,0.35596,0.19674,0.11572,0.65618,0.07873,0.65632,0.13959,0.312042
30_home_credit,on (ratio=0.1),True,gnb,1,0.57589,0.3586,0.19443,0.11444,0.64597,0.08247,0.65512,0.14328,0.301946
30_home_credit,on (ratio=0.1),True,gnb,2,0.5635,0.37006,0.20422,0.12004,0.68363,0.0968,0.66819,0.16093,0.316605
30_home_credit,on (ratio=0.1),True,knn,0,0.92047,0.07704,0.00376,0.21739,0.0019,0.02688,0.5881,0.10618,1.149659
30_home_credit,on (ratio=0.1),True,knn,1,0.92047,0.07677,0.00151,0.14286,0.00076,0.02698,0.59091,0.10522,1.704912
30_home_credit,on (ratio=0.1),True,knn,2,0.91786,0.07887,0.00073,0.11111,0.00037,0.02952,0.59349,0.11054,1.767184
30_home_credit,on (ratio=0.1),True,lda,0,0.919,0.06875,0.05063,0.34951,0.02729,0.18488,0.74586,0.2046,0.757222
30_home_credit,on (ratio=0.1),True,lda,1,0.91909,0.06918,0.06839,0.38976,0.03749,0.17349,0.73444,0.20471,4.918251
30_home_credit,on (ratio=0.1),True,lda,2,0.9178,0.06973,0.06293,0.47668,0.03369,0.19139,0.74613,0.23089,3.333279
30_home_credit,on (ratio=0.1),True,lgbm,0,0.92086,0.06753,0.02513,0.5,0.01289,0.19123,0.74888,0.22131,1.192584
30_home_credit,on (ratio=0.1),True,lgbm,1,0.92044,0.06799,0.02068,0.41791,0.0106,0.18322,0.73895,0.21357,129.920938
30_home_credit,on (ratio=0.1),True,lgbm,2,0.91825,0.06904,0.01375,0.59375,0.00696,0.20085,0.75213,0.24148,126.829598
30_home_credit,on (ratio=0.1),True,lr,0,0.91996,0.06832,0.0277,0.35849,0.0144,0.18498,0.74499,0.20611,9.88677
