dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
34_hmeq_data,off,False,ab,0,0.88878,0.23412,0.69004,0.77358,0.62278,0.53766,0.8961,0.77009,0.286391
34_hmeq_data,off,False,ab,1,0.88626,0.23486,0.67529,0.76547,0.60411,0.55665,0.90366,0.75694,0.475753
34_hmeq_data,off,False,ab,2,0.89678,0.23326,0.7226,0.7994,0.65926,0.60369,0.92083,0.80959,0.425681
34_hmeq_data,off,False,ann,0,0.80523,0.14266,0.0397,1.0,0.02025,0.25803,0.76574,0.5105,41.53139
34_hmeq_data,off,False,ann,1,0.80624,0.14109,0.02036,1.0,0.01028,0.25855,0.74814,0.51223,58.519715
34_hmeq_data,off,False,ann,2,0.79658,0.14708,0.00493,1.0,0.00247,0.22895,0.73548,0.50179,43.241471
34_hmeq_data,off,False,bnb,0,0.8148,0.1383,0.32103,0.59184,0.22025,0.21984,0.73377,0.43421,0.031992
34_hmeq_data,off,False,bnb,1,0.82436,0.13201,0.32495,0.65625,0.21594,0.2517,0.74819,0.46961,0.012889
34_hmeq_data,off,False,bnb,2,0.82125,0.13427,0.37168,0.65625,0.25926,0.25596,0.7561,0.48763,0.02083
34_hmeq_data,off,False,cb,0,0.91595,0.06243,0.76312,0.86774,0.68101,0.68928,0.94913,0.87203,5.862579
34_hmeq_data,off,False,cb,1,0.91545,0.06293,0.75221,0.88235,0.65553,0.68493,0.94759,0.86773,11.506849
34_hmeq_data,off,False,cb,2,0.92296,0.05579,0.78838,0.89623,0.7037,0.73204,0.9623,0.90596,6.019231
34_hmeq_data,off,False,dt,0,0.87569,0.12431,0.67023,0.70904,0.63544,0.44617,0.78537,0.52303,0.048137
34_hmeq_data,off,False,dt,1,0.85959,0.14041,0.6285,0.65193,0.60668,0.38962,0.76392,0.47252,0.17844
34_hmeq_data,off,False,dt,2,0.8721,0.1279,0.6809,0.69309,0.66914,0.46125,0.79662,0.53125,0.036255
34_hmeq_data,off,False,gnb,0,0.79215,0.18307,0.42238,0.47188,0.38228,0.25586,0.7705,0.48008,0.023588
34_hmeq_data,off,False,gnb,1,0.80624,0.1795,0.46304,0.5061,0.42674,0.27981,0.77706,0.50111,0.064231
34_hmeq_data,off,False,gnb,2,0.79355,0.18514,0.46753,0.49315,0.44444,0.28062,0.76392,0.53989,0.012181
34_hmeq_data,off,False,knn,0,0.85959,0.10434,0.4918,0.87662,0.34177,0.50182,0.84744,0.65893,1.315529
34_hmeq_data,off,False,knn,1,0.87267,0.09757,0.52354,0.97887,0.35733,0.54507,0.86533,0.70632,2.183047
34_hmeq_data,off,False,knn,2,0.85599,0.10387,0.47232,0.93431,0.31605,0.52929,0.86462,0.68969,1.359545
34_hmeq_data,off,False,lda,0,0.82587,0.12874,0.41356,0.62564,0.30886,0.30932,0.79729,0.54939,0.280692
34_hmeq_data,off,False,lda,1,0.83392,0.1221,0.39781,0.68553,0.28021,0.3232,0.79754,0.57544,0.079059
34_hmeq_data,off,False,lda,2,0.84038,0.11908,0.46362,0.73656,0.33827,0.34108,0.80534,0.61869,0.137903
34_hmeq_data,off,False,lgbm,0,0.91746,0.06274,0.77285,0.85321,0.70633,0.67687,0.93907,0.86648,614.80775
34_hmeq_data,off,False,lgbm,1,0.90337,0.07097,0.72334,0.82295,0.64524,0.65981,0.94331,0.83897,653.807633
34_hmeq_data,off,False,lgbm,2,0.92346,0.05817,0.79679,0.8688,0.7358,0.72508,0.96088,0.8945,686.465738
34_hmeq_data,off,False,lr,0,0.82687,0.12562,0.33591,0.70732,0.22025,0.31257,0.79588,0.55069,0.098218
34_hmeq_data,off,False,lr,1,0.83291,0.12329,0.33065,0.76636,0.2108,0.30528,0.78695,0.56048,0.098015
34_hmeq_data,off,False,lr,2,0.84089,0.1221,0.39924,0.86777,0.25926,0.33255,0.79836,0.60767,0.047587
34_hmeq_data,off,False,rf,0,0.91646,0.0661,0.75942,0.88814,0.66329,0.70214,0.95591,0.87535,0.722593
34_hmeq_data,off,False,rf,1,0.9074,0.06767,0.727,0.85965,0.62982,0.70422,0.95186,0.85384,1.322119
34_hmeq_data,off,False,rf,2,0.92497,0.05926,0.78984,0.92105,0.69136,0.75946,0.97031,0.90682,1.235958
34_hmeq_data,off,False,tabnet,0,0.77001,0.16796,0.51945,0.44424,0.62532,0.30608,0.78236,0.56796,49.389906
34_hmeq_data,off,False,tabnet,1,0.769,0.18715,0.47543,0.42798,0.5347,0.26799,0.74206,0.51279,10.714853
34_hmeq_data,off,False,tabnet,2,0.76234,0.15783,0.54615,0.44724,0.70123,0.38207,0.83081,0.64812,30.760582
34_hmeq_data,off,False,tabpfn,0,0.93709,0.05022,0.83176,0.88793,0.78228,0.74545,0.96492,0.91258,10.526101
34_hmeq_data,off,False,tabpfn,1,0.93558,0.05035,0.82369,0.88724,0.76864,0.75232,0.95991,0.90691,8.417966
34_hmeq_data,off,False,tabpfn,2,0.95015,0.03942,0.87025,0.92737,0.81975,0.81645,0.97971,0.9492,10.839257
34_hmeq_data,off,False,xgb,0,0.91646,0.06447,0.77135,0.84592,0.70886,0.67926,0.94117,0.86231,206.3509
34_hmeq_data,off,False,xgb,1,0.9074,0.06918,0.73639,0.83172,0.66067,0.67798,0.94562,0.8494,167.622841
34_hmeq_data,off,False,xgb,2,0.92548,0.05667,0.80161,0.87683,0.73827,0.7341,0.95918,0.89712,223.77025
