dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
34_hmeq_data,on (ratio=0.5),False,ab,0,0.86261,0.1822,0.66748,0.64319,0.69367,0.50854,0.87819,0.70437,0.251896
34_hmeq_data,on (ratio=0.5),False,ab,1,0.87318,0.17564,0.67102,0.6817,0.66067,0.50799,0.88084,0.71248,0.273406
34_hmeq_data,on (ratio=0.5),False,ab,2,0.87865,0.17944,0.69299,0.71579,0.6716,0.56018,0.90339,0.77534,0.247082
34_hmeq_data,on (ratio=0.5),False,ann,0,0.82889,0.14548,0.37956,0.67974,0.26329,0.29363,0.78343,0.53492,3.482993
34_hmeq_data,on (ratio=0.5),False,ann,1,0.82687,0.14718,0.341,0.66917,0.22879,0.26966,0.75985,0.52221,1.926484
34_hmeq_data,on (ratio=0.5),False,ann,2,0.82377,0.15863,0.40678,0.64865,0.2963,0.25385,0.75172,0.52747,1.975119
34_hmeq_data,on (ratio=0.5),False,bnb,0,0.7846,0.1532,0.44703,0.45646,0.43797,0.21297,0.72322,0.42843,0.011499
34_hmeq_data,on (ratio=0.5),False,bnb,1,0.79114,0.14284,0.42916,0.46154,0.40103,0.24644,0.74081,0.46665,0.012066
34_hmeq_data,on (ratio=0.5),False,bnb,2,0.79406,0.14719,0.46536,0.49444,0.43951,0.25534,0.75661,0.48576,0.011601
34_hmeq_data,on (ratio=0.5),False,cb,0,0.91897,0.0627,0.78095,0.84412,0.72658,0.68751,0.9472,0.86891,2.526682
34_hmeq_data,on (ratio=0.5),False,cb,1,0.923,0.06051,0.78541,0.8642,0.71979,0.69344,0.94727,0.87329,2.410149
34_hmeq_data,on (ratio=0.5),False,cb,2,0.9285,0.05287,0.81067,0.88116,0.75062,0.74522,0.96531,0.91354,2.41904
34_hmeq_data,on (ratio=0.5),False,dt,0,0.8611,0.1389,0.64615,0.65455,0.63797,0.41387,0.77722,0.48955,0.040298
34_hmeq_data,on (ratio=0.5),False,dt,1,0.84801,0.15199,0.6206,0.60688,0.63496,0.38098,0.76742,0.45681,0.083198
34_hmeq_data,on (ratio=0.5),False,dt,2,0.8575,0.1425,0.64223,0.65803,0.62716,0.40215,0.77183,0.48872,0.042351
34_hmeq_data,on (ratio=0.5),False,gnb,0,0.78359,0.18559,0.43272,0.45179,0.41519,0.26043,0.77549,0.48258,0.012396
34_hmeq_data,on (ratio=0.5),False,gnb,1,0.8007,0.17314,0.46049,0.48986,0.43445,0.28466,0.77948,0.49994,0.01236
34_hmeq_data,on (ratio=0.5),False,gnb,2,0.79607,0.18245,0.48799,0.5,0.47654,0.27811,0.76597,0.54184,0.01204
34_hmeq_data,on (ratio=0.5),False,knn,0,0.89029,0.08634,0.66869,0.8365,0.55696,0.53138,0.86314,0.71983,0.027664
34_hmeq_data,on (ratio=0.5),False,knn,1,0.91042,0.074,0.72013,0.92713,0.58869,0.59034,0.88696,0.77357,0.027815
34_hmeq_data,on (ratio=0.5),False,knn,2,0.90282,0.07851,0.70802,0.91406,0.57778,0.58349,0.88982,0.77169,0.024516
34_hmeq_data,on (ratio=0.5),False,lda,0,0.81782,0.13071,0.46921,0.55749,0.40506,0.30975,0.7962,0.55357,0.015987
34_hmeq_data,on (ratio=0.5),False,lda,1,0.83593,0.12626,0.49536,0.62257,0.41131,0.31875,0.79437,0.57354,0.013598
34_hmeq_data,on (ratio=0.5),False,lda,2,0.83333,0.12616,0.53576,0.62013,0.4716,0.34666,0.80233,0.62094,0.013555
34_hmeq_data,on (ratio=0.5),False,lgbm,0,0.91545,0.0629,0.77419,0.82521,0.72911,0.6783,0.93707,0.86272,0.313107
34_hmeq_data,on (ratio=0.5),False,lgbm,1,0.91495,0.06298,0.76881,0.82164,0.72237,0.6862,0.94339,0.85818,0.362926
34_hmeq_data,on (ratio=0.5),False,lgbm,2,0.92296,0.05418,0.80104,0.84615,0.76049,0.74124,0.96543,0.90495,0.236293
34_hmeq_data,on (ratio=0.5),False,lr,0,0.81329,0.13564,0.46465,0.54027,0.40759,0.31128,0.79663,0.55368,0.017172
34_hmeq_data,on (ratio=0.5),False,lr,1,0.83392,0.13281,0.49231,0.61303,0.41131,0.30801,0.78885,0.56333,0.017967
34_hmeq_data,on (ratio=0.5),False,lr,2,0.83283,0.13258,0.52299,0.62543,0.44938,0.33361,0.79842,0.61027,0.016867
34_hmeq_data,on (ratio=0.5),False,rf,0,0.91797,0.06526,0.7733,0.85802,0.7038,0.70877,0.96027,0.87516,0.620079
34_hmeq_data,on (ratio=0.5),False,rf,1,0.90639,0.0664,0.73199,0.83279,0.65296,0.72031,0.95744,0.85638,0.601748
34_hmeq_data,on (ratio=0.5),False,rf,2,0.92699,0.05928,0.80692,0.87572,0.74815,0.75276,0.96985,0.90426,0.627632
34_hmeq_data,on (ratio=0.5),False,tabnet,0,0.21339,0.32507,0.33291,0.20021,0.98734,0.15453,0.6828,0.40479,9.124466
34_hmeq_data,on (ratio=0.5),False,tabnet,1,0.8002,0.17668,0.21386,0.46552,0.13882,0.13299,0.68322,0.3461,7.472251
34_hmeq_data,on (ratio=0.5),False,tabnet,2,0.7568,0.15874,0.5507,0.44179,0.73086,0.37574,0.82967,0.63061,72.312378
34_hmeq_data,on (ratio=0.5),False,tabpfn,0,0.96628,0.02235,0.90983,0.97126,0.8557,0.92857,0.99674,0.98744,5.26952
34_hmeq_data,on (ratio=0.5),False,tabpfn,1,0.97232,0.0224,0.92476,0.9883,0.86889,0.92104,0.99692,0.98841,4.941379
34_hmeq_data,on (ratio=0.5),False,tabpfn,2,0.97734,0.01767,0.94238,0.97872,0.90864,0.9583,0.99725,0.98923,4.675978
34_hmeq_data,on (ratio=0.5),False,xgb,0,0.91696,0.06443,0.78029,0.82303,0.74177,0.68353,0.94202,0.86543,0.220051
34_hmeq_data,on (ratio=0.5),False,xgb,1,0.91243,0.06424,0.75833,0.82477,0.7018,0.69464,0.95217,0.86658,0.099307
34_hmeq_data,on (ratio=0.5),False,xgb,2,0.92598,0.05444,0.80834,0.85635,0.76543,0.73984,0.96265,0.90579,0.100234
