dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
34_hmeq_data,off,True,ab,0,0.86311,0.20004,0.52448,0.84746,0.37975,0.52807,0.88582,0.72762,0.203359
34_hmeq_data,off,True,ab,1,0.86764,0.19819,0.53451,0.85795,0.38817,0.52504,0.88111,0.73701,0.241315
34_hmeq_data,off,True,ab,2,0.87664,0.19947,0.60163,0.88095,0.45679,0.59217,0.90856,0.78637,0.214668
34_hmeq_data,off,True,ann,0,0.82335,0.13029,0.26105,0.775,0.15696,0.30724,0.79156,0.54737,0.813584
34_hmeq_data,off,True,ann,1,0.82335,0.1308,0.22517,0.79688,0.13111,0.29109,0.77108,0.54088,0.856797
34_hmeq_data,off,True,ann,2,0.82125,0.13276,0.23983,0.90323,0.13827,0.30642,0.78618,0.58125,0.898517
34_hmeq_data,off,True,bnb,0,0.81429,0.13847,0.31793,0.58904,0.21772,0.21763,0.73369,0.43312,0.004472
34_hmeq_data,off,True,bnb,1,0.82386,0.13236,0.32171,0.65354,0.21337,0.24817,0.74683,0.46803,0.004664
34_hmeq_data,off,True,bnb,2,0.82175,0.13416,0.37456,0.65839,0.26173,0.25605,0.75606,0.48723,0.004481
34_hmeq_data,off,True,cb,0,0.92501,0.0562,0.79334,0.8773,0.72405,0.74397,0.96165,0.89848,0.355112
34_hmeq_data,off,True,cb,1,0.91847,0.06281,0.76385,0.88215,0.67352,0.71172,0.9588,0.88235,0.372883
34_hmeq_data,off,True,cb,2,0.93706,0.04802,0.83266,0.90936,0.7679,0.78249,0.97591,0.93303,0.372106
34_hmeq_data,off,True,dt,0,0.87871,0.09295,0.69455,0.69543,0.69367,0.51717,0.8552,0.67518,0.011254
34_hmeq_data,off,True,dt,1,0.87469,0.09398,0.6603,0.70349,0.62211,0.50969,0.84787,0.66362,0.011649
34_hmeq_data,off,True,dt,2,0.88922,0.08954,0.7201,0.74278,0.69877,0.56376,0.88963,0.69797,0.010957
34_hmeq_data,off,True,gnb,0,0.79265,0.1825,0.41972,0.47302,0.37722,0.25764,0.77071,0.4791,0.006782
34_hmeq_data,off,True,gnb,1,0.80473,0.17931,0.45658,0.50154,0.41902,0.28159,0.7776,0.50785,0.005035
34_hmeq_data,off,True,gnb,2,0.79507,0.18421,0.46936,0.49724,0.44444,0.28011,0.76503,0.54007,0.004423
34_hmeq_data,off,True,knn,0,0.88173,0.08941,0.59413,0.93478,0.43544,0.60271,0.85296,0.71963,0.009259
34_hmeq_data,off,True,knn,1,0.89079,0.08388,0.61593,0.98864,0.4473,0.61785,0.86231,0.73951,0.008643
34_hmeq_data,off,True,knn,2,0.88218,0.08946,0.59375,1.0,0.42222,0.62358,0.86156,0.74599,0.008039
34_hmeq_data,off,True,lda,0,0.82587,0.12874,0.41356,0.62564,0.30886,0.30932,0.79729,0.54939,0.007699
34_hmeq_data,off,True,lda,1,0.83241,0.12161,0.38674,0.68182,0.26992,0.32191,0.79732,0.57454,0.011546
34_hmeq_data,off,True,lda,2,0.84038,0.11908,0.46362,0.73656,0.33827,0.34108,0.80534,0.61869,0.004927
34_hmeq_data,off,True,lgbm,0,0.91193,0.06958,0.75795,0.83537,0.69367,0.70437,0.95001,0.87366,0.157666
34_hmeq_data,off,True,lgbm,1,0.90991,0.07421,0.74538,0.83439,0.67352,0.69132,0.95068,0.8607,0.469856
34_hmeq_data,off,True,lgbm,2,0.92649,0.06148,0.80533,0.87536,0.74568,0.75111,0.96387,0.90518,0.424155
34_hmeq_data,off,True,lr,0,0.82838,0.1245,0.42105,0.63918,0.31392,0.30886,0.799,0.55629,0.538858
34_hmeq_data,off,True,lr,1,0.84248,0.11943,0.43806,0.72619,0.31362,0.32176,0.79703,0.57949,0.4427
34_hmeq_data,off,True,lr,2,0.84491,0.11713,0.4744,0.76796,0.34321,0.34275,0.80293,0.62309,0.434442
34_hmeq_data,off,True,rf,0,0.91545,0.06556,0.75367,0.89547,0.65063,0.70729,0.95771,0.88275,0.205058
34_hmeq_data,off,True,rf,1,0.90941,0.06675,0.73294,0.86667,0.63496,0.71453,0.95346,0.86316,0.296343
34_hmeq_data,off,True,rf,2,0.91793,0.06049,0.77075,0.89542,0.67654,0.75115,0.96844,0.90754,0.290829
34_hmeq_data,off,True,tabnet,0,0.79265,0.14813,0.58384,0.48571,0.73165,0.4178,0.84673,0.66619,19.154134
34_hmeq_data,off,True,tabnet,1,0.37242,0.26732,0.34472,0.21664,0.84319,0.17043,0.68469,0.41894,3.030941
34_hmeq_data,off,True,tabnet,2,0.74068,0.22026,0.41143,0.38298,0.44444,0.17615,0.68742,0.44966,3.135342
34_hmeq_data,off,True,xgb,0,0.91847,0.06335,0.77183,0.86984,0.69367,0.68769,0.94797,0.86589,0.129153
34_hmeq_data,off,True,xgb,1,0.90337,0.06691,0.71681,0.84083,0.62468,0.68304,0.94681,0.85442,0.093508
34_hmeq_data,off,True,xgb,2,0.91893,0.05831,0.77854,0.87888,0.69877,0.73291,0.9615,0.89864,0.114096
34_hmeq_data,off,True,tabpfn_rf,0,0.93709,0.04508,0.82615,0.91667,0.7519,0.80359,0.98059,0.93281,95.157506
34_hmeq_data,off,True,tabpfn_rf,1,0.91193,0.06361,0.74674,0.8543,0.66324,0.71288,0.95383,0.85398,64.200493
34_hmeq_data,off,True,tabpfn_rf,2,0.92598,0.05494,0.80268,0.87941,0.73827,0.76603,0.96992,0.89582,64.564311
34_hmeq_data,off,False,tabpfn,0,0.93709,0.05022,0.83176,0.88793,0.78228,0.74545,0.96492,0.91258,10.526101
34_hmeq_data,off,False,tabpfn,1,0.93558,0.05035,0.82369,0.88724,0.76864,0.75232,0.95991,0.90691,8.417966
34_hmeq_data,off,False,tabpfn,2,0.95015,0.03942,0.87025,0.92737,0.81975,0.81645,0.97971,0.9492,10.839257
