dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
34_hmeq_data,off,True,ab,0,0.84902,0.14088,0.43396,0.85185,0.29114,0.51596,0.87528,0.69519,1.527788
34_hmeq_data,off,True,ab,1,0.84499,0.14227,0.3913,0.84615,0.2545,0.50307,0.86427,0.68325,1.547315
34_hmeq_data,off,True,ab,2,0.84189,0.13883,0.372,0.97895,0.22963,0.58798,0.90679,0.78096,1.539434
34_hmeq_data,off,True,ann,0,0.89733,0.08342,0.68519,0.87747,0.56203,0.53426,0.87429,0.78093,2.945244
34_hmeq_data,off,True,ann,1,0.8923,0.08473,0.67178,0.8327,0.56298,0.51199,0.86333,0.76714,3.128588
34_hmeq_data,off,True,ann,2,0.89275,0.08285,0.6797,0.86923,0.55802,0.54082,0.88464,0.79291,3.203146
34_hmeq_data,off,True,bnb,0,0.81429,0.13847,0.31793,0.58904,0.21772,0.21763,0.73369,0.43312,0.010609
34_hmeq_data,off,True,bnb,1,0.82386,0.13236,0.32171,0.65354,0.21337,0.24817,0.74683,0.46803,0.011148
34_hmeq_data,off,True,bnb,2,0.82175,0.13416,0.37456,0.65839,0.26173,0.25605,0.75606,0.48723,0.010824
34_hmeq_data,off,True,cb,0,0.92954,0.0549,0.80556,0.89231,0.73418,0.76812,0.968,0.90771,2.121883
34_hmeq_data,off,True,cb,1,0.91998,0.06279,0.76923,0.88333,0.68123,0.72983,0.96303,0.89164,2.077429
34_hmeq_data,off,True,cb,2,0.93605,0.05191,0.82579,0.92901,0.74321,0.78601,0.97487,0.92976,2.101364
34_hmeq_data,off,True,dt,0,0.87368,0.09433,0.63034,0.75352,0.54177,0.51456,0.87408,0.72069,0.028785
34_hmeq_data,off,True,dt,1,0.85103,0.1065,0.56977,0.65552,0.50386,0.4683,0.85106,0.64728,0.028736
34_hmeq_data,off,True,dt,2,0.8716,0.09328,0.64924,0.73292,0.58272,0.54896,0.88682,0.71813,0.027955
34_hmeq_data,off,True,gnb,0,0.79265,0.1825,0.41972,0.47302,0.37722,0.25764,0.77071,0.4791,0.01176
34_hmeq_data,off,True,gnb,1,0.80473,0.17931,0.45658,0.50154,0.41902,0.28159,0.7776,0.50785,0.012066
34_hmeq_data,off,True,gnb,2,0.79507,0.18421,0.46936,0.49724,0.44444,0.28011,0.76503,0.53984,0.011697
34_hmeq_data,off,True,knn,0,0.8616,0.09477,0.47013,0.98387,0.30886,0.65416,0.89847,0.82906,0.037007
34_hmeq_data,off,True,knn,1,0.86512,0.09452,0.47451,1.0,0.31105,0.67238,0.9088,0.84168,0.037648
34_hmeq_data,off,True,knn,2,0.85398,0.09802,0.44231,1.0,0.28395,0.67949,0.9073,0.84915,0.037773
34_hmeq_data,off,True,lda,0,0.82587,0.12874,0.41356,0.62564,0.30886,0.30932,0.79729,0.54939,0.013706
34_hmeq_data,off,True,lda,1,0.83392,0.1221,0.39781,0.68553,0.28021,0.3232,0.79754,0.57544,0.014518
34_hmeq_data,off,True,lda,2,0.84038,0.11908,0.46362,0.73656,0.33827,0.34108,0.80534,0.61869,0.014044
34_hmeq_data,off,True,lgbm,0,0.91897,0.0684,0.77854,0.85241,0.71646,0.71029,0.95058,0.87389,0.578908
34_hmeq_data,off,True,lgbm,1,0.90991,0.07807,0.74538,0.83439,0.67352,0.69419,0.95134,0.85302,0.475664
34_hmeq_data,off,True,lgbm,2,0.92447,0.065,0.80053,0.86744,0.74321,0.74157,0.96452,0.90056,0.546552
34_hmeq_data,off,True,lr,0,0.82838,0.12449,0.42105,0.63918,0.31392,0.30891,0.799,0.55622,0.531353
34_hmeq_data,off,True,lr,1,0.84248,0.11943,0.43806,0.72619,0.31362,0.32216,0.79706,0.5795,0.515852
34_hmeq_data,off,True,lr,2,0.84491,0.11713,0.4744,0.76796,0.34321,0.34261,0.80293,0.62303,0.504294
34_hmeq_data,off,True,rf,0,0.91394,0.06836,0.74591,0.90288,0.63544,0.68917,0.95288,0.8726,2.593434
34_hmeq_data,off,True,rf,1,0.90991,0.06843,0.73083,0.88043,0.62468,0.7098,0.95105,0.85774,2.533511
34_hmeq_data,off,True,rf,2,0.92246,0.06264,0.78371,0.90879,0.68889,0.74279,0.96522,0.90102,2.593632
34_hmeq_data,off,True,tabnet,0,0.78561,0.13947,0.5888,0.47582,0.77215,0.46751,0.8663,0.72069,62.210228
34_hmeq_data,off,True,tabnet,1,0.41117,0.30982,0.33598,0.21559,0.76093,0.07547,0.61082,0.28853,6.729743
34_hmeq_data,off,True,tabnet,2,0.38872,0.26597,0.36573,0.23194,0.8642,0.14555,0.68172,0.37872,6.572516
34_hmeq_data,off,True,xgb,0,0.9074,0.06985,0.74725,0.81682,0.68861,0.64209,0.93498,0.83616,0.547825
34_hmeq_data,off,True,xgb,1,0.90086,0.07185,0.71408,0.82,0.63239,0.64522,0.93147,0.82433,0.467433
34_hmeq_data,off,True,xgb,2,0.91188,0.06509,0.76255,0.84639,0.69383,0.68583,0.9488,0.86998,0.501014
