dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
34_hmeq_data,on (ratio=0.5),True,ab,0,0.85254,0.15768,0.55673,0.69173,0.46582,0.48754,0.86798,0.68063,2.333392
34_hmeq_data,on (ratio=0.5),True,ab,1,0.86865,0.15561,0.58506,0.76667,0.47301,0.48244,0.86448,0.68178,2.407749
34_hmeq_data,on (ratio=0.5),True,ab,2,0.87714,0.15572,0.64431,0.78648,0.54568,0.54261,0.89827,0.76306,2.654705
34_hmeq_data,on (ratio=0.5),True,ann,0,0.8918,0.08596,0.68242,0.81915,0.58481,0.52245,0.86434,0.77298,21.861043
34_hmeq_data,on (ratio=0.5),True,ann,1,0.90438,0.07984,0.72303,0.83502,0.63753,0.54851,0.87151,0.79073,21.713108
34_hmeq_data,on (ratio=0.5),True,ann,2,0.89879,0.07886,0.72727,0.80723,0.66173,0.57992,0.8982,0.81493,21.755851
34_hmeq_data,on (ratio=0.5),True,bnb,0,0.7846,0.15325,0.44703,0.45646,0.43797,0.21297,0.72331,0.42844,0.010953
34_hmeq_data,on (ratio=0.5),True,bnb,1,0.79064,0.14291,0.427,0.45994,0.39846,0.24649,0.74113,0.46678,0.011725
34_hmeq_data,on (ratio=0.5),True,bnb,2,0.79406,0.1472,0.46536,0.49444,0.43951,0.25643,0.75683,0.48594,0.011516
34_hmeq_data,on (ratio=0.5),True,cb,0,0.93005,0.05419,0.81292,0.86782,0.76456,0.76186,0.9672,0.9068,3.433942
34_hmeq_data,on (ratio=0.5),True,cb,1,0.923,0.05804,0.78236,0.8758,0.70694,0.74572,0.96488,0.90105,3.489886
34_hmeq_data,on (ratio=0.5),True,cb,2,0.93656,0.04802,0.82927,0.91892,0.75556,0.79999,0.97658,0.93459,3.692583
34_hmeq_data,on (ratio=0.5),True,dt,0,0.85304,0.10722,0.65072,0.61678,0.68861,0.49413,0.86364,0.70324,0.040923
34_hmeq_data,on (ratio=0.5),True,dt,1,0.85405,0.10899,0.64286,0.61702,0.67095,0.48812,0.86711,0.65804,0.034292
34_hmeq_data,on (ratio=0.5),True,dt,2,0.84945,0.1095,0.65111,0.61726,0.68889,0.50515,0.87669,0.66099,0.0375
34_hmeq_data,on (ratio=0.5),True,gnb,0,0.78359,0.18549,0.43272,0.45179,0.41519,0.25977,0.77546,0.48245,0.013822
34_hmeq_data,on (ratio=0.5),True,gnb,1,0.8007,0.17307,0.46049,0.48986,0.43445,0.28456,0.7795,0.49975,0.012521
34_hmeq_data,on (ratio=0.5),True,gnb,2,0.79607,0.18231,0.48799,0.5,0.47654,0.27789,0.76605,0.54183,0.012298
34_hmeq_data,on (ratio=0.5),True,knn,0,0.90287,0.07652,0.68821,0.95089,0.53924,0.633,0.90061,0.82848,0.181278
