dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
01_gmsc,off,False,ab,0,0.9376,0.11622,0.26241,0.52113,0.17536,0.37108,0.83751,0.33009,0.529308
01_gmsc,off,False,ab,1,0.9335,0.12041,0.27163,0.57143,0.17816,0.41214,0.84788,0.38006,0.5151
01_gmsc,off,False,ab,2,0.9408,0.11597,0.27094,0.59459,0.17544,0.41709,0.85533,0.37186,0.519115
01_gmsc,off,False,ann,0,0.9367,0.05867,0.0,0.0,0.0,0.06425,0.64177,0.10383,8.001794
01_gmsc,off,False,ann,1,0.9304,0.06415,0.0,0.0,0.0,0.06685,0.63768,0.11815,5.743419
01_gmsc,off,False,ann,2,0.9373,0.05853,0.0,0.0,0.0,0.07318,0.64481,0.10951,7.054112
01_gmsc,off,False,bnb,0,0.9271,0.05646,0.37425,0.40977,0.34439,0.32976,0.78118,0.28894,0.02062
01_gmsc,off,False,bnb,1,0.927,0.05833,0.37713,0.46429,0.31753,0.3573,0.79719,0.32852,0.017401
01_gmsc,off,False,bnb,2,0.9318,0.0533,0.3766,0.44111,0.32855,0.3608,0.80659,0.32108,0.017421
01_gmsc,off,False,cb,0,0.9367,0.0502,0.28956,0.5,0.20379,0.39215,0.84551,0.33796,5.124861
01_gmsc,off,False,cb,1,0.9336,0.05299,0.27511,0.57273,0.18103,0.40692,0.85086,0.37216,5.161688
01_gmsc,off,False,cb,2,0.9381,0.04882,0.27602,0.51754,0.1882,0.41615,0.85672,0.34742,5.236586
01_gmsc,off,False,dt,0,0.8986,0.1014,0.2566,0.2394,0.27646,0.11949,0.60855,0.11198,0.151984
01_gmsc,off,False,dt,1,0.8949,0.1051,0.24982,0.24823,0.25144,0.10274,0.59724,0.11451,0.114802
01_gmsc,off,False,dt,2,0.8992,0.10085,0.24324,0.22979,0.25837,0.10687,0.60014,0.10587,0.114612
01_gmsc,off,False,gnb,0,0.9329,0.06637,0.0373,0.20312,0.02054,0.192,0.72636,0.17003,0.027874
01_gmsc,off,False,gnb,1,0.9285,0.07048,0.06045,0.35385,0.03305,0.16825,0.71607,0.18151,0.023918
01_gmsc,off,False,gnb,2,0.4494,0.34447,0.16752,0.09253,0.88357,0.19731,0.7463,0.18145,0.025013
01_gmsc,off,False,knn,0,0.935,0.06252,0.06877,0.36923,0.03791,0.07931,0.6096,0.11007,0.778519
01_gmsc,off,False,knn,1,0.9297,0.06754,0.04613,0.41463,0.02443,0.0712,0.60011,0.11335,0.312133
01_gmsc,off,False,knn,2,0.9343,0.06308,0.06277,0.2973,0.03509,0.0685,0.60044,0.09971,0.439916
01_gmsc,off,False,lda,0,0.9355,0.05618,0.11279,0.43617,0.06477,0.20305,0.70336,0.20766,0.03552
01_gmsc,off,False,lda,1,0.9311,0.0602,0.13333,0.53535,0.07615,0.22086,0.69237,0.24031,0.026747
01_gmsc,off,False,lda,2,0.9356,0.05558,0.11538,0.41584,0.06699,0.19884,0.67333,0.20708,0.02826
01_gmsc,off,False,lgbm,0,0.9358,0.04991,0.26207,0.48101,0.18009,0.38392,0.83926,0.33868,7.818701
01_gmsc,off,False,lgbm,1,0.9321,0.0531,0.26753,0.5368,0.17816,0.39581,0.8433,0.36065,0.220605
01_gmsc,off,False,lgbm,2,0.9383,0.04818,0.26284,0.52381,0.17544,0.40576,0.84879,0.35941,0.215383
01_gmsc,off,False,lr,0,0.9362,0.05855,0.0304,0.4,0.0158,0.0823,0.65839,0.1172,0.035243
01_gmsc,off,False,lr,1,0.9307,0.06335,0.03077,0.57895,0.0158,0.08141,0.65456,0.13193,0.036404
01_gmsc,off,False,lr,2,0.9376,0.05748,0.01887,0.66667,0.00957,0.08273,0.65503,0.11832,0.035939
01_gmsc,off,False,rf,0,0.9366,0.05037,0.25059,0.49765,0.16746,0.36643,0.82272,0.32408,2.850097
01_gmsc,off,False,rf,1,0.9324,0.05344,0.25714,0.54673,0.1681,0.38183,0.83555,0.35108,2.243877
01_gmsc,off,False,rf,2,0.9379,0.04922,0.23428,0.5163,0.15152,0.37832,0.83376,0.33304,2.202672
01_gmsc,off,False,tabnet,0,0.7347,0.21375,0.25331,0.15411,0.7109,0.33875,0.80255,0.2999,27.932008
01_gmsc,off,False,tabnet,1,0.0696,0.57855,0.13014,0.0696,1.0,0.36385,0.81242,0.349,13.035794
01_gmsc,off,False,tabnet,2,0.8251,0.16431,0.32757,0.21581,0.67943,0.38495,0.82649,0.34063,35.474327
01_gmsc,off,False,tabpfn,0,0.939,0.04883,0.32373,0.54275,0.23065,0.39195,0.84078,0.35757,17.796389
01_gmsc,off,False,tabpfn,1,0.9345,0.05157,0.27624,0.59809,0.1796,0.42375,0.85356,0.39425,17.715649
01_gmsc,off,False,tabpfn,2,0.9408,0.04693,0.29691,0.5814,0.19936,0.41774,0.85497,0.38293,17.648022
01_gmsc,off,False,xgb,0,0.9347,0.05279,0.3016,0.46689,0.22275,0.34134,0.81934,0.31053,0.12482
01_gmsc,off,False,xgb,1,0.9297,0.05708,0.26999,0.48689,0.18678,0.32662,0.81164,0.31193,0.299222
01_gmsc,off,False,xgb,2,0.9353,0.05126,0.28666,0.46429,0.20734,0.36882,0.83297,0.32594,0.109638
01_gmsc,on (ratio=0.1),False,ab,0,0.9363,0.12659,0.3245,0.49355,0.24171,0.3841,0.83912,0.33983,0.549685
01_gmsc,on (ratio=0.1),False,ab,1,0.9326,0.13297,0.32193,0.53691,0.22989,0.42235,0.85677,0.38707,0.542028
01_gmsc,on (ratio=0.1),False,ab,2,0.9406,0.12587,0.32346,0.56574,0.22648,0.41891,0.85558,0.37782,0.535457
01_gmsc,on (ratio=0.1),False,ann,0,0.9367,0.0609,0.0,0.0,0.0,0.06889,0.64472,0.10772,7.359931
01_gmsc,on (ratio=0.1),False,ann,1,0.9304,0.06497,0.0,0.0,0.0,0.06773,0.63828,0.11891,5.677792
01_gmsc,on (ratio=0.1),False,ann,2,0.9373,0.05902,0.0,0.0,0.0,0.07422,0.64592,0.10868,5.661118
01_gmsc,on (ratio=0.1),False,bnb,0,0.927,0.05987,0.37393,0.40901,0.34439,0.32838,0.78122,0.28937,0.018432
01_gmsc,on (ratio=0.1),False,bnb,1,0.924,0.06125,0.375,0.43846,0.32759,0.35696,0.79956,0.33234,0.017967
01_gmsc,on (ratio=0.1),False,bnb,2,0.9303,0.05624,0.39127,0.43243,0.35726,0.36085,0.808,0.32263,0.01763
01_gmsc,on (ratio=0.1),False,cb,0,0.9361,0.05011,0.29703,0.48913,0.21327,0.39512,0.84645,0.34688,5.928107
01_gmsc,on (ratio=0.1),False,cb,1,0.9324,0.05334,0.28085,0.54098,0.18966,0.40525,0.85107,0.36587,5.262666
01_gmsc,on (ratio=0.1),False,cb,2,0.9371,0.04859,0.27784,0.4959,0.19298,0.42154,0.85815,0.35298,5.364792
01_gmsc,on (ratio=0.1),False,dt,0,0.9012,0.0988,0.27778,0.2585,0.30016,0.14171,0.62099,0.12189,0.153499
01_gmsc,on (ratio=0.1),False,dt,1,0.8935,0.1065,0.25472,0.24829,0.26149,0.1073,0.60114,0.11633,0.119206
01_gmsc,on (ratio=0.1),False,dt,2,0.8963,0.10375,0.25556,0.23238,0.28389,0.12009,0.6105,0.11087,0.118265
01_gmsc,on (ratio=0.1),False,gnb,0,0.9341,0.06503,0.04076,0.25926,0.02212,0.19283,0.72602,0.17471,0.034984
01_gmsc,on (ratio=0.1),False,gnb,1,0.9291,0.07,0.05593,0.38182,0.03017,0.17834,0.71607,0.19083,0.023706
