model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr
ab,0,0.95263,0.08881,0.96266,0.97479,0.95082,0.91863,0.99566,0.99761
ab,1,0.95263,0.07539,0.96386,0.93023,1.0,0.88445,0.98369,0.98698
ab,2,0.95767,0.08034,0.96522,0.96522,0.96522,0.88896,0.98942,0.99259
ann,0,0.85263,0.2064,0.87037,1.0,0.77049,0.83783,0.98529,0.99214
ann,1,0.85263,0.19331,0.89394,0.81944,0.98333,0.65419,0.92917,0.94882
ann,2,0.86243,0.1934,0.88983,0.86777,0.91304,0.66395,0.93584,0.94888
bnb,0,0.45789,0.23269,0.27972,0.95238,0.16393,0.06702,0.58161,0.70128
bnb,1,0.61579,0.24014,0.75908,0.62842,0.95833,0.01875,0.50845,0.64184
bnb,2,0.61376,0.23653,0.75748,0.6129,0.9913,0.03553,0.54518,0.64494
cb,0,0.95263,0.0285,0.96266,0.97479,0.95082,0.91253,0.99554,0.99759
cb,1,0.96316,0.03279,0.97166,0.94488,1.0,0.8855,0.9869,0.99105
cb,2,0.95767,0.028,0.96522,0.96522,0.96522,0.91007,0.99365,0.99579
dt,0,0.93158,0.06842,0.94421,0.99099,0.90164,0.78844,0.94347,0.95667
dt,1,0.91579,0.08421,0.93388,0.92623,0.94167,0.70653,0.90655,0.90904
dt,2,0.96296,0.03704,0.96943,0.97368,0.96522,0.8754,0.96234,0.96098
gnb,0,0.92105,0.06999,0.93976,0.92126,0.95902,0.84267,0.98674,0.99275
gnb,1,0.94211,0.04925,0.95473,0.94309,0.96667,0.85648,0.9856,0.9916
gnb,2,0.96296,0.03534,0.9697,0.96552,0.97391,0.9033,0.99036,0.99377
knn,0,0.96316,0.03216,0.97166,0.96,0.98361,0.87584,0.98584,0.98507
knn,1,0.94737,0.04189,0.95968,0.92969,0.99167,0.8531,0.96726,0.96366
knn,2,0.97354,0.02688,0.97854,0.9661,0.9913,0.91512,0.98978,0.9875
lda,0,0.95263,0.03086,0.96414,0.93798,0.9918,0.93385,0.99662,0.99814
lda,1,0.94737,0.0425,0.95968,0.92969,0.99167,0.86417,0.96786,0.95121
lda,2,0.92593,0.06602,0.94215,0.89764,0.9913,0.86242,0.97192,0.97751
lgbm,0,0.96316,0.02826,0.97095,0.98319,0.95902,0.92104,0.99626,0.99795
lgbm,1,0.96316,0.03169,0.97143,0.952,0.99167,0.89711,0.98631,0.99004
lgbm,2,0.95238,0.04293,0.9607,0.96491,0.95652,0.89045,0.99248,0.99506
lr,0,0.95263,0.04024,0.96414,0.93798,0.9918,0.89999,0.99482,0.99714
lr,1,0.94737,0.0412,0.95968,0.92969,0.99167,0.907,0.99036,0.99336
lr,2,0.96825,0.03358,0.97458,0.95041,1.0,0.96658,0.99741,0.99822
rf,0,0.96316,0.03236,0.97095,0.98319,0.95902,0.91591,0.99476,0.9971
rf,1,0.94211,0.03933,0.9551,0.936,0.975,0.87187,0.98601,0.98958
rf,2,0.95238,0.03267,0.96137,0.94915,0.97391,0.91468,0.9923,0.99432
svm,0,0.96842,0.02215,0.97521,0.98333,0.96721,0.93144,0.99741,0.99852
svm,1,0.95263,0.03262,0.96327,0.944,0.98333,0.90818,0.99,0.99297
svm,2,0.97884,0.02241,0.98291,0.96639,1.0,0.967,0.99847,0.99899
tabnet,0,0.35789,0.35091,0.0,0.0,0.0,0.88161,0.98505,0.98929
tabnet,1,0.42632,0.38678,0.16794,1.0,0.09167,0.8792,0.98607,0.99065
tabnet,2,0.46032,0.39235,0.20312,1.0,0.11304,0.895,0.99189,0.99506
tabpfn,0,0.96842,0.02077,0.975,0.99153,0.95902,0.94567,0.99807,0.99895
tabpfn,1,0.95263,0.03317,0.96327,0.944,0.98333,0.91175,0.98905,0.99231
tabpfn,2,0.96296,0.02271,0.97021,0.95,0.9913,0.93607,0.99647,0.99768
xgb,0,0.93684,0.03963,0.94958,0.97414,0.92623,0.87962,0.99265,0.996
xgb,1,0.95263,0.04128,0.96356,0.93701,0.99167,0.86893,0.97804,0.97544
xgb,2,0.95767,0.03025,0.96552,0.95726,0.97391,0.91016,0.99412,0.99615
