model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr
ab,0,0.9397,0.17849,0.24719,0.58929,0.1564,0.38305,0.84318,0.34298
ab,1,0.9336,0.13443,0.19807,0.62121,0.11782,0.4017,0.83898,0.36375
ab,2,0.9411,0.17987,0.22193,0.64615,0.13397,0.43062,0.86181,0.38437
ann,0,0.9367,0.05867,0.0,0.0,0.0,0.06699,0.64301,0.10695
ann,1,0.9304,0.06409,0.0,0.0,0.0,0.06399,0.63446,0.11687
ann,2,0.9373,0.05816,0.0,0.0,0.0,0.07426,0.64604,0.10826
bnb,0,0.9278,0.05647,0.37435,0.41459,0.34123,0.32804,0.78176,0.29213
bnb,1,0.9271,0.05775,0.37532,0.46497,0.31466,0.3576,0.79899,0.33286
bnb,2,0.9318,0.05339,0.3766,0.44111,0.32855,0.36139,0.80706,0.321
cb,0,0.9391,0.0482,0.25092,0.56667,0.16114,0.40699,0.85304,0.36514
cb,1,0.9342,0.05188,0.20723,0.64179,0.12356,0.42079,0.85747,0.38676
cb,2,0.9404,0.04649,0.26781,0.58289,0.17384,0.43931,0.86614,0.39343
dt,0,0.9276,0.06522,0.28458,0.37995,0.22749,0.25164,0.69161,0.20989
dt,1,0.9232,0.07026,0.29282,0.40769,0.22845,0.22686,0.66062,0.21844
dt,2,0.9298,0.06345,0.28221,0.39316,0.2201,0.255,0.67178,0.21764
gnb,0,0.9328,0.06649,0.03725,0.2,0.02054,0.16941,0.71592,0.15758
gnb,1,0.9289,0.06975,0.05578,0.36842,0.03017,0.19126,0.72565,0.19952
gnb,2,0.6023,0.25044,0.20189,0.11547,0.80223,0.19331,0.74706,0.17829
knn,0,0.9354,0.063,0.06105,0.38182,0.03318,0.06399,0.59706,0.10151
knn,1,0.9288,0.06882,0.03784,0.31818,0.02011,0.05381,0.58816,0.10292
knn,2,0.9349,0.06332,0.04124,0.26923,0.02233,0.06002,0.59762,0.09424
lda,0,0.9356,0.05612,0.0904,0.42667,0.05055,0.19881,0.70524,0.20571
lda,1,0.9297,0.06027,0.14994,0.47328,0.08908,0.22214,0.69107,0.24229
lda,2,0.9357,0.05578,0.12754,0.42727,0.07496,0.19586,0.67594,0.20555
lgbm,0,0.9374,0.04911,0.25653,0.51675,0.17062,0.39221,0.84459,0.34117
lgbm,1,0.9339,0.05194,0.22144,0.61438,0.13506,0.41998,0.85277,0.38304
lgbm,2,0.9395,0.04698,0.23899,0.56548,0.15152,0.42666,0.85796,0.38168
lr,0,0.9362,0.05845,0.0304,0.4,0.0158,0.07942,0.65486,0.11648
lr,1,0.9307,0.06335,0.03077,0.57895,0.0158,0.07818,0.65154,0.12957
lr,2,0.9377,0.05748,0.02198,0.7,0.01116,0.08165,0.65488,0.11785
rf,0,0.9355,0.05014,0.24561,0.47297,0.16588,0.37719,0.82655,0.31978
rf,1,0.9338,0.05317,0.24773,0.59239,0.15661,0.38838,0.84563,0.35687
rf,2,0.9369,0.04945,0.237,0.49,0.1563,0.37933,0.83463,0.33856
svm,0,0.9367,0.05915,0.0,0.0,0.0,0.33954,0.80064,0.3142
svm,1,0.9304,0.06476,0.0,0.0,0.0,0.34965,0.78653,0.34818
svm,2,0.9373,0.05872,0.0,0.0,0.0,0.2848,0.70026,0.29205
tabnet,0,0.8448,0.14606,0.33618,0.2305,0.62085,0.3523,0.81031,0.32896
tabnet,1,0.712,0.21262,0.27309,0.16565,0.7773,0.35951,0.82167,0.33915
tabnet,2,0.8731,0.13868,0.37825,0.27298,0.61563,0.39595,0.84437,0.35927
tabpfn,0,0.9398,0.04877,0.30805,0.5654,0.21169,0.38508,0.84091,0.35592
tabpfn,1,0.9345,0.05211,0.26322,0.60622,0.1681,0.42234,0.85211,0.39459
tabpfn,2,0.9408,0.04686,0.29524,0.58216,0.19777,0.42173,0.85745,0.39264
xgb,0,0.9379,0.04892,0.24176,0.53226,0.1564,0.39307,0.84582,0.34238
xgb,1,0.9336,0.05186,0.21882,0.6039,0.13362,0.41843,0.85409,0.3867
xgb,2,0.9397,0.04719,0.27086,0.56,0.17863,0.42698,0.85859,0.37485
