model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr
ab,0,0.8208,0.22276,0.42305,0.69013,0.30501,0.28459,0.77443,0.54301
ab,1,0.8215,0.22297,0.45329,0.70076,0.33499,0.27503,0.76566,0.54215
ab,2,0.8087,0.22261,0.42466,0.6711,0.3106,0.26707,0.76779,0.5333
ann,0,0.7947,0.1498,0.12077,0.77901,0.06546,0.21293,0.70272,0.48169
ann,1,0.7853,0.15278,0.08051,0.74603,0.04255,0.22107,0.70766,0.48672
ann,2,0.7846,0.15457,0.16317,0.69767,0.09239,0.21999,0.71128,0.47803
bnb,0,0.7557,0.16948,0.25902,0.37358,0.19824,0.10155,0.65983,0.3381
bnb,1,0.7367,0.18436,0.25977,0.34273,0.20914,0.07815,0.64044,0.32064
bnb,2,0.7402,0.17802,0.24696,0.36194,0.18742,0.09467,0.65733,0.34029
cb,0,0.8265,0.1319,0.46861,0.68857,0.35515,0.29181,0.78148,0.54984
cb,1,0.8247,0.13318,0.49144,0.68417,0.38343,0.29218,0.77636,0.56532
cb,2,0.8125,0.13878,0.45981,0.66611,0.35108,0.28473,0.77885,0.54707
dt,0,0.8034,0.15775,0.40532,0.5816,0.31105,0.20492,0.70848,0.42319
dt,1,0.7989,0.16636,0.44738,0.56923,0.36849,0.19846,0.68801,0.41078
dt,2,0.7976,0.17018,0.42369,0.60048,0.32732,0.19138,0.68454,0.42524
gnb,0,0.572,0.28105,0.43891,0.30581,0.77716,0.23896,0.73818,0.49278
gnb,1,0.743,0.20862,0.50954,0.44045,0.60435,0.23976,0.7364,0.50456
gnb,2,0.5988,0.26777,0.45813,0.33054,0.74615,0.23066,0.73328,0.48542
knn,0,0.7914,0.16049,0.39746,0.52599,0.31941,0.16317,0.69652,0.40036
knn,1,0.7925,0.16213,0.41401,0.5503,0.33182,0.16898,0.69777,0.40562
knn,2,0.7886,0.16477,0.41408,0.55955,0.32864,0.17206,0.70104,0.41695
lda,0,0.8153,0.14211,0.34804,0.72607,0.22888,0.23708,0.71275,0.50435
lda,1,0.8135,0.14521,0.38792,0.70525,0.26754,0.23252,0.71065,0.49859
lda,2,0.8037,0.14889,0.38134,0.67222,0.26617,0.23229,0.71706,0.49015
lgbm,0,0.8263,0.13234,0.47027,0.68533,0.35794,0.29029,0.7814,0.54867
lgbm,1,0.8214,0.13399,0.4744,0.67788,0.36487,0.28643,0.77315,0.5622
lgbm,2,0.8123,0.13907,0.4611,0.66364,0.35328,0.27744,0.77533,0.54503
lr,0,0.8129,0.143,0.31137,0.75133,0.19638,0.23768,0.71477,0.50544
lr,1,0.8098,0.14585,0.34323,0.72344,0.22499,0.23474,0.71305,0.50017
lr,2,0.8022,0.14927,0.35232,0.68886,0.23669,0.23665,0.71991,0.49292
rf,0,0.8183,0.13613,0.45255,0.64464,0.34865,0.26483,0.76377,0.52874
rf,1,0.8183,0.13876,0.47892,0.65336,0.378,0.26297,0.75607,0.53915
rf,2,0.8087,0.14254,0.46006,0.64173,0.35856,0.25623,0.75764,0.52952
svm,0,0.8129,0.14194,0.36769,0.67578,0.25255,0.24917,0.7238,0.50423
svm,1,0.8127,0.14322,0.39561,0.68876,0.2775,0.24739,0.7213,0.5084
svm,2,0.8025,0.1495,0.38531,0.65851,0.27233,0.23952,0.72452,0.49391
tabnet,0,0.7456,0.18981,0.5119,0.43623,0.61931,0.27319,0.76508,0.52002
tabnet,1,0.7574,0.18249,0.51577,0.46126,0.58488,0.26964,0.76102,0.53389
tabnet,2,0.7512,0.18474,0.52282,0.46345,0.59965,0.25855,0.76102,0.52328
tabpfn,0,0.8272,0.13205,0.47317,0.68917,0.36026,0.28816,0.77905,0.54918
tabpfn,1,0.8241,0.13412,0.47256,0.69982,0.35672,0.28934,0.77395,0.56048
tabpfn,2,0.811,0.14101,0.46337,0.65332,0.359,0.2787,0.77692,0.53672
xgb,0,0.8271,0.13205,0.47812,0.68335,0.36769,0.2912,0.7795,0.54653
xgb,1,0.8235,0.13376,0.47858,0.68878,0.36668,0.28746,0.77392,0.56203
xgb,2,0.8117,0.13878,0.46123,0.65957,0.3546,0.28278,0.77725,0.55171
