model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr
ab,0,0.7851,0.23119,0.0,0.0,0.0,0.04887,0.61399,0.2925
ab,1,0.7812,0.23128,0.0,0.0,0.0,0.05975,0.62361,0.31784
ab,2,0.7834,0.23085,0.0,0.0,0.0,0.05263,0.62325,0.29144
ann,0,0.7851,0.16711,0.0,0.0,0.0,0.02316,0.56889,0.26071
ann,1,0.7812,0.16848,0.0,0.0,0.0,0.03136,0.58445,0.28092
ann,2,0.7834,0.1679,0.0,0.0,0.0,0.02673,0.57853,0.26466
bnb,0,0.7678,0.18077,0.10966,0.31155,0.06654,0.01203,0.5395,0.24295
bnb,1,0.7774,0.17036,0.06471,0.40104,0.03519,0.02714,0.57861,0.27944
bnb,2,0.7684,0.1721,0.08891,0.30053,0.05217,0.0205,0.57005,0.25863
cb,0,0.785,0.16314,0.0083,0.47368,0.00419,0.05921,0.62856,0.29921
cb,1,0.7821,0.16343,0.02155,0.61538,0.01097,0.07281,0.63921,0.33015
cb,2,0.7829,0.16358,0.0055,0.35294,0.00277,0.06301,0.63333,0.30478
dt,0,0.7633,0.19207,0.10646,0.282,0.06561,0.02572,0.57683,0.25552
dt,1,0.7578,0.1956,0.11541,0.28727,0.07221,0.01899,0.56692,0.2585
dt,2,0.7589,0.19163,0.14956,0.31689,0.09788,0.02397,0.575,0.26177
gnb,0,0.2395,0.75975,0.35611,0.21766,0.97859,0.02487,0.58161,0.2656
gnb,1,0.2485,0.75007,0.36157,0.22206,0.97258,0.03373,0.59516,0.27896
gnb,2,0.2369,0.75997,0.35674,0.21821,0.97692,0.0184,0.56781,0.252
knn,0,0.7426,0.19937,0.13566,0.24367,0.094,0.0031,0.528,0.22733
knn,1,0.7444,0.19824,0.1542,0.27938,0.10649,0.00684,0.5412,0.23924
knn,2,0.7464,0.1965,0.15241,0.27603,0.10526,0.00836,0.54223,0.23919
lda,0,0.7838,0.1636,0.00917,0.30303,0.00465,0.05564,0.62514,0.29424
lda,1,0.7817,0.1646,0.02152,0.55814,0.01097,0.064,0.63188,0.31669
lda,2,0.7818,0.1652,0.018,0.35714,0.00923,0.0529,0.62181,0.29213
lgbm,0,0.7838,0.16337,0.02172,0.39344,0.01117,0.05754,0.62592,0.3009
lgbm,1,0.7815,0.16366,0.02325,0.53061,0.01188,0.07092,0.6394,0.324
lgbm,2,0.7835,0.16359,0.01636,0.51429,0.00831,0.06183,0.63185,0.30828
lr,0,0.7847,0.1634,0.00462,0.35714,0.00233,0.05662,0.62608,0.2955
lr,1,0.7808,0.16445,0.00725,0.4,0.00366,0.06637,0.63431,0.31846
lr,2,0.783,0.16447,0.01004,0.42308,0.00508,0.0555,0.62453,0.29717
rf,0,0.7784,0.16953,0.08656,0.37906,0.04886,0.03595,0.59845,0.27634
rf,1,0.7775,0.16916,0.07407,0.41395,0.04068,0.04365,0.60355,0.29784
rf,2,0.7763,0.16907,0.06675,0.34632,0.03693,0.03965,0.60504,0.28418
svm,0,0.7851,0.16842,0.0,0.0,0.0,0.01221,0.54496,0.24751
svm,1,0.7812,0.1706,0.0,0.0,0.0,0.01408,0.55424,0.2545
svm,2,0.7834,0.16943,0.0,0.0,0.0,0.01763,0.56204,0.25377
tabnet,0,0.5783,0.24179,0.36347,0.26899,0.56026,0.04327,0.60582,0.28895
tabnet,1,0.5537,0.2447,0.36812,0.26667,0.59415,0.03715,0.59712,0.28506
tabnet,2,0.5191,0.24898,0.38322,0.26532,0.68975,0.04045,0.60485,0.28332
tabpfn,0,0.7848,0.1635,0.0,0.0,0.0,0.05668,0.62542,0.29533
tabpfn,1,0.7812,0.16593,0.0,0.0,0.0,0.05795,0.62327,0.31458
tabpfn,2,0.7834,0.16527,0.0,0.0,0.0,0.05327,0.6218,0.29717
xgb,0,0.7839,0.16337,0.02084,0.39655,0.0107,0.05823,0.62603,0.30081
xgb,1,0.7813,0.16427,0.00455,0.55556,0.00229,0.06722,0.63401,0.32426
xgb,2,0.7832,0.16395,0.00914,0.45455,0.00462,0.05839,0.62795,0.30363
