model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr
ab,0,0.83746,0.21979,0.00384,0.5,0.00193,0.09575,0.66129,0.26177
ab,1,0.84278,0.21836,0.0,0.0,0.0,0.09804,0.65755,0.2759
ab,2,0.83991,0.21949,0.0039,1.0,0.00195,0.08747,0.65675,0.25333
ann,0,0.83746,0.13029,0.0,0.0,0.0,0.09449,0.65985,0.27223
ann,1,0.84278,0.12635,0.0,0.0,0.0,0.10107,0.66295,0.27699
ann,2,0.8396,0.12893,0.0,0.0,0.0,0.0934,0.65635,0.27308
bnb,0,0.83589,0.13183,0.00758,0.22222,0.00385,0.07651,0.6352,0.25041
bnb,1,0.84435,0.12756,0.03495,0.69231,0.01793,0.08128,0.64405,0.2603
bnb,2,0.83553,0.13327,0.04372,0.32432,0.02344,0.05607,0.61623,0.23254
cb,0,0.83746,0.13028,0.0,0.0,0.0,0.1043,0.6713,0.27185
cb,1,0.84247,0.12613,0.01179,0.42857,0.00598,0.10018,0.66205,0.27058
cb,2,0.83929,0.12833,0.0,0.0,0.0,0.09758,0.66454,0.27148
dt,0,0.80019,0.17667,0.17143,0.26295,0.12717,0.02074,0.56292,0.19225
dt,1,0.80645,0.17154,0.15574,0.24783,0.11355,0.01839,0.55258,0.18628
dt,2,0.80921,0.16911,0.11354,0.22286,0.07617,0.02719,0.57509,0.19537
gnb,0,0.79017,0.17385,0.31211,0.33407,0.29287,0.10164,0.66498,0.27086
gnb,1,0.76073,0.19698,0.2965,0.27568,0.32072,0.08111,0.64396,0.24944
gnb,2,0.76598,0.18972,0.28517,0.27955,0.29102,0.08831,0.65872,0.26229
knn,0,0.81428,0.15345,0.08909,0.2197,0.05588,0.01978,0.57231,0.19068
knn,1,0.8265,0.14618,0.10932,0.28333,0.06773,0.03064,0.5854,0.19624
knn,2,0.81892,0.15318,0.08544,0.225,0.05273,0.01749,0.56518,0.18735
lda,0,0.83558,0.1301,0.08056,0.44231,0.04432,0.11068,0.66982,0.2815
lda,1,0.8409,0.12571,0.07636,0.4375,0.04183,0.11164,0.67202,0.28224
lda,2,0.83991,0.12777,0.1082,0.5082,0.06055,0.1109,0.67815,0.28945
lgbm,0,0.83683,0.12997,0.0,0.0,0.0,0.09537,0.654,0.27049
lgbm,1,0.84278,0.12661,0.0,0.0,0.0,0.09521,0.65491,0.26747
lgbm,2,0.83991,0.12938,0.0039,1.0,0.00195,0.08556,0.65527,0.2543
lr,0,0.83746,0.1296,0.0,0.0,0.0,0.09846,0.66159,0.27862
lr,1,0.84153,0.12554,0.04167,0.42308,0.02191,0.10887,0.66625,0.28071
lr,2,0.84148,0.12734,0.04167,0.6875,0.02148,0.10987,0.67486,0.28561
rf,0,0.8362,0.13192,0.04037,0.42308,0.02119,0.08245,0.64933,0.26032
rf,1,0.84153,0.12982,0.01938,0.35714,0.00996,0.07118,0.64068,0.2417
rf,2,0.83553,0.13274,0.03315,0.29032,0.01758,0.06673,0.6349,0.23921
svm,0,0.83746,0.13497,0.01518,0.5,0.00771,0.06917,0.58748,0.25401
svm,1,0.84278,0.13224,0.0,0.0,0.0,0.05043,0.56766,0.235
svm,2,0.84054,0.13257,0.02303,0.66667,0.01172,0.04767,0.5968,0.23254
tabnet,0,0.73505,0.22366,0.31442,0.27133,0.3738,0.07798,0.63999,0.26167
tabnet,1,0.48951,0.25366,0.32253,0.20378,0.77291,0.09158,0.65858,0.26125
tabnet,2,0.6864,0.23374,0.32683,0.24923,0.47461,0.08009,0.64911,0.24777
tabpfn,0,0.8362,0.12931,0.03683,0.41667,0.01927,0.10592,0.67338,0.27903
tabpfn,1,0.84215,0.12572,0.01946,0.41667,0.00996,0.10617,0.6653,0.27855
tabpfn,2,0.84023,0.12842,0.03409,0.5625,0.01758,0.10014,0.66641,0.2745
xgb,0,0.83746,0.1316,0.0,0.0,0.0,0.08859,0.65026,0.26596
xgb,1,0.84278,0.12693,0.0,0.0,0.0,0.09081,0.65154,0.26151
xgb,2,0.8396,0.13055,0.0229,0.5,0.01172,0.07733,0.64619,0.24497
