model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr
ab,0,0.9397,0.17849,0.24719,0.58929,0.1564,0.38307,0.84319,0.34299
ab,1,0.9336,0.13443,0.19807,0.62121,0.11782,0.4017,0.83898,0.36375
ab,2,0.9408,0.17985,0.21693,0.63566,0.13078,0.43088,0.86167,0.3819
ann,0,0.9367,0.05869,0.0,0.0,0.0,0.06729,0.64511,0.10469
ann,1,0.9304,0.06415,0.0,0.0,0.0,0.05732,0.63094,0.1106
ann,2,0.9373,0.05822,0.0,0.0,0.0,0.064,0.63412,0.11028
bnb,0,0.9281,0.05637,0.37315,0.41634,0.33807,0.32795,0.78275,0.29776
bnb,1,0.9261,0.05787,0.37426,0.45567,0.31753,0.35865,0.79611,0.33965
bnb,2,0.9312,0.0534,0.37568,0.43579,0.33014,0.36404,0.80631,0.32786
cb,0,0.9394,0.04811,0.28199,0.56398,0.18799,0.40206,0.85072,0.36481
cb,1,0.9338,0.05183,0.20241,0.62687,0.12069,0.42272,0.8575,0.3873
cb,2,0.9412,0.04662,0.23438,0.6383,0.14354,0.43336,0.86339,0.39808
dt,0,0.927,0.06568,0.26707,0.36639,0.21011,0.24364,0.6796,0.20461
dt,1,0.9217,0.07207,0.27567,0.38701,0.21408,0.19249,0.63284,0.1876
dt,2,0.9315,0.06403,0.27513,0.40881,0.20734,0.24976,0.65848,0.20729
gnb,0,0.9328,0.06649,0.03725,0.2,0.02054,0.15626,0.70937,0.15332
gnb,1,0.929,0.06982,0.05836,0.37931,0.03161,0.16599,0.70968,0.18847
gnb,2,0.5862,0.25818,0.18383,0.10488,0.74322,0.16512,0.72385,0.17004
knn,0,0.9362,0.06558,0.05621,0.44186,0.03002,0.03389,0.56184,0.08817
knn,1,0.9292,0.07188,0.0221,0.28571,0.01149,0.01703,0.55158,0.08241
knn,2,0.9352,0.06466,0.01818,0.18182,0.00957,0.03368,0.57627,0.08192
lda,0,0.9353,0.05609,0.09001,0.41026,0.05055,0.19876,0.70444,0.20531
lda,1,0.9296,0.06033,0.14976,0.4697,0.08908,0.2145,0.69011,0.24033
lda,2,0.9358,0.05589,0.13008,0.43243,0.07656,0.1902,0.67449,0.20301
lgbm,0,0.9377,0.04912,0.25922,0.52404,0.1722,0.3922,0.84516,0.33856
lgbm,1,0.934,0.05184,0.22535,0.61538,0.13793,0.42218,0.85389,0.38582
lgbm,2,0.9399,0.04684,0.24592,0.57647,0.1563,0.42744,0.85715,0.3805
lr,0,0.9362,0.05846,0.0304,0.4,0.0158,0.07783,0.65495,0.11452
lr,1,0.9307,0.06341,0.03077,0.57895,0.0158,0.07171,0.64879,0.12276
lr,2,0.9377,0.05758,0.02198,0.7,0.01116,0.07586,0.64561,0.11795
rf,0,0.9368,0.04964,0.24762,0.50242,0.1643,0.37611,0.83221,0.33197
rf,1,0.9338,0.05309,0.223,0.60897,0.13649,0.38395,0.8414,0.35288
rf,2,0.9387,0.04868,0.23661,0.53977,0.15152,0.39485,0.83914,0.34872
svm,0,0.9367,0.05914,0.0,0.0,0.0,0.3339,0.7874,0.30997
svm,1,0.9304,0.06471,0.0,0.0,0.0,0.31372,0.75038,0.32302
svm,2,0.9373,0.05871,0.0,0.0,0.0,0.35998,0.75626,0.33059
tabnet,0,0.6884,0.22008,0.22757,0.13496,0.72512,0.33859,0.78916,0.3141
tabnet,1,0.7959,0.17281,0.31808,0.20723,0.68391,0.35172,0.80711,0.35211
tabnet,2,0.8654,0.12103,0.34405,0.24772,0.563,0.34193,0.81377,0.3353
tabpfn,0,0.9394,0.04876,0.30023,0.55794,0.20537,0.39548,0.84227,0.362
tabpfn,1,0.9348,0.05223,0.2574,0.62088,0.16236,0.43033,0.85547,0.40306
tabpfn,2,0.9414,0.04718,0.26196,0.62275,0.16587,0.43113,0.86105,0.39339
xgb,0,0.9386,0.04889,0.25122,0.5508,0.16272,0.39372,0.84546,0.34542
xgb,1,0.9339,0.05185,0.21775,0.61745,0.13218,0.42067,0.85472,0.38681
xgb,2,0.9406,0.04691,0.25377,0.59763,0.16108,0.42617,0.85717,0.38096
