model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr
ab,0,0.59683,0.24726,0.07835,0.47059,0.04274,0.02683,0.57484,0.45388
ab,1,0.59323,0.24695,0.08662,0.45918,0.04782,0.03537,0.5877,0.47105
ab,2,0.60609,0.24485,0.12057,0.51639,0.06826,0.04048,0.59654,0.47407
ann,0,0.59897,0.23943,0.0,0.0,0.0,0.0184,0.55678,0.43531
ann,1,0.59666,0.2392,0.0,0.0,0.0,0.02206,0.55855,0.45803
ann,2,0.60437,0.23824,0.0,0.0,0.0,0.02268,0.56269,0.45062
bnb,0,0.58912,0.24218,0.14756,0.43915,0.08868,0.00623,0.53723,0.4273
bnb,1,0.59366,0.24121,0.14901,0.47977,0.0882,0.00989,0.54547,0.43386
bnb,2,0.60309,0.23695,0.19478,0.49339,0.12134,0.0154,0.56112,0.44031
cb,0,0.59897,0.23677,0.18891,0.5,0.11645,0.02668,0.57516,0.45346
cb,1,0.59666,0.24202,0.07108,0.5,0.03826,0.04275,0.59182,0.47214
cb,2,0.60394,0.23339,0.1823,0.49758,0.11159,0.04155,0.59523,0.47367
dt,0,0.57669,0.29751,0.30812,0.44715,0.23504,0.01331,0.54848,0.43168
dt,1,0.57222,0.29166,0.24508,0.4252,0.17216,0.01811,0.54776,0.43047
dt,2,0.52122,0.33213,0.3464,0.37659,0.32069,0.00314,0.50481,0.39521
gnb,0,0.40189,0.59317,0.56993,0.40043,0.98825,0.02256,0.56461,0.44462
gnb,1,0.4042,0.59224,0.57046,0.40218,0.98087,0.03251,0.57688,0.45988
gnb,2,0.59923,0.28625,0.2526,0.48171,0.17118,0.02483,0.56549,0.44069
knn,0,0.51714,0.32324,0.36933,0.38778,0.35256,0.00067,0.49813,0.40166
knn,1,0.55379,0.27715,0.40138,0.43734,0.37088,0.00649,0.53648,0.42607
knn,2,0.54051,0.28492,0.39022,0.41078,0.37161,0.0031,0.5149,0.40605
lda,0,0.59726,0.23656,0.20742,0.492,0.13141,0.03329,0.58138,0.45879
lda,1,0.59751,0.23444,0.18419,0.50476,0.11265,0.04873,0.60192,0.4753
lda,2,0.60994,0.23284,0.21144,0.52814,0.13218,0.04937,0.59966,0.4764
lgbm,0,0.58783,0.23947,0.2449,0.46154,0.16667,0.02459,0.56819,0.45154
lgbm,1,0.59366,0.23541,0.05952,0.44776,0.03188,0.03789,0.5911,0.47049
lgbm,2,0.60694,0.2342,0.12583,0.52381,0.07151,0.03796,0.59293,0.46907
lr,0,0.6024,0.23663,0.17143,0.52174,0.10256,0.03282,0.57989,0.45701
lr,1,0.59709,0.23491,0.14545,0.50314,0.08502,0.04862,0.60085,0.47548
lr,2,0.60652,0.23326,0.15,0.51592,0.08776,0.04808,0.5992,0.47697
rf,0,0.56427,0.26017,0.37261,0.44088,0.32265,0.0113,0.53636,0.43219
rf,1,0.56922,0.25537,0.36271,0.44969,0.30393,0.0114,0.54226,0.44385
rf,2,0.56622,0.25579,0.37608,0.43634,0.33044,0.01307,0.54674,0.42559
svm,0,0.59897,0.24022,0.0,0.0,0.0,0.0037,0.44489,0.3705
svm,1,0.59666,0.24025,0.00634,0.5,0.00319,0.023,0.56516,0.45204
svm,2,0.60437,0.23955,0.0,0.0,0.0,0.00153,0.43896,0.36137
tabnet,0,0.56555,0.2453,0.43792,0.45507,0.42201,0.02633,0.56804,0.4501
tabnet,1,0.47192,0.25079,0.57133,0.42473,0.87248,0.04068,0.59522,0.47678
tabnet,2,0.52293,0.2494,0.54027,0.43658,0.70856,0.03364,0.58404,0.46088
tabpfn,0,0.58869,0.23684,0.2,0.45455,0.12821,0.03078,0.57784,0.45608
tabpfn,1,0.59794,0.2337,0.15495,0.50888,0.09139,0.04633,0.60251,0.47707
tabpfn,2,0.60952,0.23306,0.19452,0.52885,0.11918,0.04365,0.59631,0.47454
xgb,0,0.59426,0.23957,0.25958,0.48397,0.17735,0.02299,0.56657,0.44979
xgb,1,0.59408,0.23641,0.04632,0.44231,0.02444,0.03563,0.58196,0.45608
xgb,2,0.60266,0.23563,0.24327,0.49338,0.16143,0.03068,0.58309,0.45845
