model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr
ab,0,0.8079,0.22316,0.29967,0.84568,0.1821,0.27259,0.76564,0.58819
ab,1,0.7962,0.22264,0.28138,0.85075,0.16857,0.26306,0.76659,0.59087
ab,2,0.7996,0.22465,0.29087,0.84568,0.17564,0.24654,0.75269,0.56987
ann,0,0.7864,0.15314,0.12887,0.81026,0.07,0.19357,0.72966,0.48333
ann,1,0.7781,0.15699,0.15013,0.80328,0.08281,0.19847,0.73388,0.49852
ann,2,0.7783,0.15889,0.12198,0.83243,0.06581,0.17309,0.71481,0.47805
bnb,0,0.7383,0.16913,0.45148,0.4284,0.47718,0.17589,0.72843,0.4499
bnb,1,0.7405,0.17102,0.47692,0.45605,0.49979,0.18722,0.73286,0.46839
bnb,2,0.7205,0.18383,0.45034,0.41712,0.48932,0.15134,0.70983,0.42755
cb,0,0.8711,0.09894,0.6297,0.89542,0.4856,0.50129,0.87785,0.77502
cb,1,0.8702,0.09884,0.64613,0.91084,0.50063,0.52496,0.88853,0.79632
cb,2,0.8646,0.1039,0.62904,0.87634,0.4906,0.4867,0.87453,0.76538
dt,0,0.8287,0.14067,0.46419,0.78936,0.32875,0.26235,0.74062,0.53628
dt,1,0.807,0.1535,0.45419,0.68691,0.33925,0.24232,0.73595,0.52367
dt,2,0.8122,0.1546,0.48293,0.67879,0.37479,0.24174,0.72924,0.51516
gnb,0,0.2762,0.72317,0.37893,0.23497,0.97829,0.01679,0.53733,0.23985
gnb,1,0.2855,0.71382,0.39341,0.24618,0.97888,0.02166,0.54419,0.25415
gnb,2,0.2787,0.72045,0.38961,0.2429,0.98376,0.01525,0.52804,0.24455
knn,0,0.7496,0.18587,0.27588,0.39717,0.21134,0.0596,0.62275,0.30717
knn,1,0.7408,0.19208,0.28437,0.41036,0.21757,0.05745,0.61837,0.31959
knn,2,0.7377,0.18935,0.28431,0.39321,0.22265,0.06651,0.63221,0.32252
lda,0,0.7998,0.14167,0.44358,0.59508,0.35357,0.27759,0.78297,0.50435
lda,1,0.7877,0.14611,0.44028,0.58555,0.35277,0.28073,0.78616,0.52194
lda,2,0.7835,0.14906,0.43868,0.55768,0.36154,0.26355,0.77672,0.49775
lgbm,0,0.8745,0.09544,0.64737,0.88479,0.51041,0.5135,0.88395,0.78292
lgbm,1,0.8716,0.09869,0.65869,0.88817,0.52345,0.51162,0.88755,0.78998
lgbm,2,0.868,0.10164,0.64706,0.86429,0.51709,0.49233,0.87732,0.76907
lr,0,0.7967,0.14414,0.36329,0.61966,0.25698,0.25192,0.7713,0.49535
lr,1,0.7857,0.14824,0.36277,0.61245,0.25771,0.24861,0.77129,0.51691
lr,2,0.7821,0.1506,0.36565,0.57352,0.26838,0.22698,0.75924,0.491
rf,0,0.8328,0.13114,0.4336,0.92086,0.28356,0.29977,0.78424,0.62562
rf,1,0.834,0.12556,0.48351,0.91736,0.32826,0.33736,0.80579,0.66922
rf,2,0.8276,0.13031,0.45061,0.88596,0.30214,0.30214,0.78865,0.63019
svm,0,0.7825,0.14633,0.13588,0.65769,0.07576,0.30596,0.78644,0.53466
svm,1,0.7793,0.1489,0.20411,0.69704,0.11956,0.29428,0.78732,0.54107
svm,2,0.7778,0.14941,0.21871,0.61706,0.13291,0.26951,0.77854,0.50664
tabnet,0,0.6959,0.21761,0.504,0.39881,0.68454,0.25482,0.76287,0.56134
tabnet,1,0.7124,0.20059,0.51987,0.42975,0.65779,0.23635,0.75919,0.53677
tabnet,2,0.7125,0.19359,0.53199,0.42966,0.69829,0.26103,0.76982,0.54127
tabpfn,0,0.8665,0.1061,0.60701,0.90439,0.4568,0.46701,0.86741,0.75494
tabpfn,1,0.8486,0.11475,0.56494,0.8832,0.41529,0.42446,0.85244,0.73322
tabpfn,2,0.8515,0.12475,0.61136,0.78866,0.49915,0.41394,0.84247,0.72119
xgb,0,0.8733,0.09696,0.6426,0.88432,0.50465,0.50017,0.8798,0.7767
xgb,1,0.8696,0.09894,0.64927,0.89341,0.50993,0.51628,0.8884,0.79081
xgb,2,0.8684,0.10099,0.64775,0.86676,0.51709,0.49559,0.87965,0.77284
