model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr
ab,0,0.7941,0.21878,0.47246,0.66331,0.36689,0.33386,0.82306,0.59786
ab,1,0.7993,0.21564,0.47059,0.67423,0.36143,0.33677,0.82458,0.6038
ab,2,0.7983,0.21839,0.47841,0.67915,0.36926,0.33265,0.82455,0.60644
ann,0,0.7908,0.14478,0.42622,0.68579,0.30919,0.31044,0.81157,0.58688
ann,1,0.7967,0.14056,0.44133,0.68574,0.32536,0.32579,0.82052,0.594
ann,2,0.7924,0.14286,0.45166,0.66745,0.34132,0.31916,0.8172,0.59369
bnb,0,0.7461,0.19902,0.5299,0.4955,0.56944,0.24829,0.77691,0.5093
bnb,1,0.7594,0.18759,0.55329,0.51062,0.60373,0.27331,0.78953,0.53411
bnb,2,0.7484,0.1947,0.53801,0.49813,0.58483,0.25492,0.78058,0.52611
cb,0,0.8019,0.13664,0.53135,0.65519,0.44688,0.3506,0.8309,0.61492
cb,1,0.8079,0.13377,0.5361,0.66348,0.44976,0.35798,0.83512,0.62151
cb,2,0.8018,0.13606,0.52149,0.65974,0.43114,0.35086,0.83287,0.62392
dt,0,0.7633,0.19065,0.47852,0.53603,0.43215,0.20155,0.71887,0.44087
dt,1,0.7669,0.1833,0.48622,0.53311,0.44692,0.21666,0.7297,0.4491
dt,2,0.7699,0.18331,0.45667,0.55896,0.38603,0.21337,0.72558,0.45533
gnb,0,0.7522,0.22206,0.56204,0.50556,0.63271,0.26886,0.78114,0.50246
gnb,1,0.7144,0.25671,0.5713,0.45374,0.77107,0.28325,0.79283,0.52196
gnb,2,0.705,0.26504,0.57209,0.44931,0.78723,0.2762,0.7913,0.51451
knn,0,0.771,0.16608,0.45837,0.56501,0.38559,0.21935,0.74396,0.47316
knn,1,0.7777,0.1616,0.46057,0.57411,0.38452,0.22939,0.75188,0.47693
knn,2,0.7692,0.16689,0.45412,0.55717,0.38323,0.21217,0.74118,0.46789
lda,0,0.7961,0.14115,0.51021,0.64364,0.4226,0.32836,0.81976,0.59213
lda,1,0.7978,0.13853,0.50319,0.6392,0.41491,0.33883,0.82541,0.59762
lda,2,0.7974,0.14052,0.51345,0.64436,0.42675,0.32998,0.82173,0.59799
lgbm,0,0.8033,0.13703,0.53422,0.65965,0.44887,0.34644,0.82913,0.61673
lgbm,1,0.8075,0.13402,0.52991,0.66687,0.43963,0.35448,0.83361,0.62342
lgbm,2,0.8019,0.13597,0.52345,0.6586,0.43433,0.34989,0.83207,0.62435
lr,0,0.7953,0.14017,0.49394,0.65209,0.39753,0.33109,0.82166,0.59803
lr,1,0.8004,0.13671,0.49874,0.65588,0.40235,0.34191,0.82821,0.6047
lr,2,0.8011,0.13882,0.51735,0.65965,0.42555,0.33543,0.82496,0.60524
rf,0,0.7978,0.13836,0.5097,0.65239,0.41823,0.34205,0.82564,0.60912
rf,1,0.8061,0.13493,0.50973,0.67787,0.40843,0.34979,0.83077,0.62411
rf,2,0.8018,0.13717,0.51611,0.66436,0.42196,0.34453,0.82936,0.62081
svm,0,0.7945,0.141,0.50085,0.64277,0.41027,0.32941,0.82048,0.59336
svm,1,0.7966,0.13813,0.49529,0.63892,0.40438,0.3391,0.8263,0.59681
svm,2,0.7976,0.14091,0.50074,0.65526,0.40519,0.32766,0.8208,0.59298
tabnet,0,0.7362,0.17203,0.58286,0.4836,0.73339,0.31694,0.81212,0.57988
tabnet,1,0.7404,0.17327,0.58728,0.48325,0.74838,0.33271,0.82368,0.58723
tabnet,2,0.739,0.17657,0.58106,0.48591,0.72255,0.31265,0.81365,0.5783
tabpfn,0,0.8039,0.13628,0.53848,0.65899,0.45523,0.35305,0.83142,0.62138
tabpfn,1,0.8075,0.13318,0.53401,0.66326,0.44692,0.36022,0.83636,0.6279
tabpfn,2,0.8048,0.13483,0.53678,0.66179,0.4515,0.35781,0.83562,0.63021
xgb,0,0.8017,0.13673,0.53065,0.65479,0.44608,0.34867,0.82996,0.6182
xgb,1,0.8071,0.13354,0.52871,0.66585,0.43841,0.35623,0.83423,0.62912
xgb,2,0.8022,0.1356,0.52634,0.65769,0.43872,0.35147,0.83318,0.62647
