model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr
ab,0,0.73874,0.22133,0.48521,0.51899,0.45556,0.24386,0.7556,0.48278
ab,1,0.72973,0.23248,0.48276,0.56,0.42424,0.23094,0.74072,0.50909
ab,2,0.7027,0.23036,0.34437,0.65,0.23423,0.3045,0.78348,0.64125
ann,0,0.75075,0.16585,0.45033,0.55738,0.37778,0.27278,0.76991,0.49793
ann,1,0.76877,0.1658,0.51572,0.68333,0.41414,0.34102,0.8061,0.58689
ann,2,0.6997,0.18377,0.29577,0.67742,0.18919,0.28529,0.77546,0.62643
bnb,0,0.71471,0.20382,0.54545,0.47899,0.63333,0.26072,0.76159,0.47989
bnb,1,0.72673,0.17762,0.57277,0.53509,0.61616,0.3067,0.79081,0.58577
bnb,2,0.73273,0.18933,0.55721,0.62222,0.5045,0.28768,0.77526,0.63365
cb,0,0.74775,0.18515,0.53846,0.53261,0.54444,0.26511,0.76004,0.52099
cb,1,0.75075,0.16961,0.46452,0.64286,0.36364,0.30335,0.78313,0.59107
cb,2,0.71171,0.19395,0.30435,0.77778,0.18919,0.28432,0.77279,0.64824
dt,0,0.68468,0.2934,0.49275,0.4359,0.56667,0.11687,0.66056,0.37544
dt,1,0.63964,0.33763,0.42857,0.40541,0.45455,0.06534,0.59706,0.36775
dt,2,0.6967,0.29103,0.48205,0.55952,0.42342,0.10321,0.63704,0.43857
gnb,0,0.46847,0.50116,0.48696,0.32941,0.93333,0.23453,0.73839,0.46062
gnb,1,0.39339,0.57862,0.46842,0.31673,0.89899,0.23531,0.72749,0.53698
gnb,2,0.52853,0.44666,0.55014,0.40336,0.86486,0.25206,0.74065,0.60536
knn,0,0.70571,0.19652,0.3875,0.44286,0.34444,0.11088,0.67197,0.39226
knn,1,0.73273,0.18823,0.48555,0.56757,0.42424,0.17932,0.71665,0.49655
knn,2,0.6997,0.21994,0.40476,0.59649,0.30631,0.10992,0.6661,0.4684
lda,0,0.71772,0.18502,0.51546,0.48077,0.55556,0.2981,0.777,0.55783
lda,1,0.73874,0.18522,0.56281,0.56,0.56566,0.25548,0.7549,0.5512
lda,2,0.72673,0.19033,0.49162,0.64706,0.3964,0.26536,0.74994,0.62853
lgbm,0,0.70871,0.187,0.48128,0.46392,0.5,0.22526,0.73896,0.51571
lgbm,1,0.72072,0.18056,0.45614,0.54167,0.39394,0.22459,0.73625,0.5232
lgbm,2,0.68769,0.19338,0.11864,1.0,0.06306,0.26932,0.7641,0.60539
lr,0,0.74174,0.17026,0.54255,0.52041,0.56667,0.30592,0.77773,0.55087
lr,1,0.75676,0.16678,0.48408,0.65517,0.38384,0.34329,0.80156,0.58536
lr,2,0.71171,0.18027,0.32394,0.74194,0.20721,0.31109,0.78139,0.65361
rf,0,0.74775,0.16879,0.46154,0.54545,0.4,0.2501,0.75562,0.52223
rf,1,0.75375,0.16733,0.48101,0.64407,0.38384,0.30213,0.78117,0.62018
rf,2,0.71772,0.18138,0.34722,0.75758,0.22523,0.28674,0.77849,0.63599
svm,0,0.75976,0.16045,0.49367,0.57353,0.43333,0.29661,0.78541,0.55804
svm,1,0.74775,0.16646,0.44737,0.64151,0.34343,0.32847,0.7982,0.59906
svm,2,0.71471,0.1851,0.34483,0.73529,0.22523,0.26816,0.75996,0.62252
tabnet,0,0.54354,0.24455,0.47222,0.34343,0.75556,0.09717,0.63109,0.3536
tabnet,1,0.67568,0.20188,0.49057,0.46018,0.52525,0.15602,0.68583,0.45892
tabnet,2,0.61261,0.23571,0.53091,0.44512,0.65766,0.1489,0.67969,0.48652
tabpfn,0,0.76577,0.16684,0.53571,0.57692,0.5,0.27387,0.76868,0.57776
tabpfn,1,0.75976,0.16848,0.56522,0.61176,0.52525,0.30029,0.78201,0.57893
tabpfn,2,0.73273,0.1752,0.44025,0.72917,0.31532,0.31515,0.78882,0.65665
xgb,0,0.75075,0.1896,0.56545,0.53465,0.6,0.27839,0.75601,0.52271
xgb,1,0.75375,0.17083,0.54945,0.60241,0.50505,0.28711,0.77117,0.57555
xgb,2,0.73874,0.18146,0.45283,0.75,0.32432,0.288,0.77246,0.63182
