model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr
ab,0,0.81317,0.20289,0.33867,1.0,0.20385,0.23404,0.74332,0.56061
ab,1,0.81697,0.20207,0.31618,1.0,0.18778,0.2217,0.73724,0.53805
ab,2,0.82038,0.20338,0.34566,1.0,0.20894,0.23709,0.74566,0.55788
ann,0,0.81327,0.14628,0.33926,1.0,0.20428,0.20706,0.71403,0.53276
ann,1,0.81697,0.14293,0.31618,1.0,0.18778,0.20393,0.71787,0.51703
ann,2,0.82038,0.14132,0.34566,1.0,0.20894,0.21551,0.71864,0.53562
bnb,0,0.76492,0.17993,0.02011,0.46154,0.01028,0.02591,0.57994,0.28981
bnb,1,0.77314,0.1739,0.01997,0.37705,0.01026,0.03325,0.59095,0.28383
bnb,2,0.77314,0.17362,0.02674,0.51667,0.01372,0.03115,0.58562,0.28864
cb,0,0.81146,0.13966,0.35266,0.90764,0.21884,0.24234,0.75248,0.57532
cb,1,0.81656,0.13822,0.33418,0.91784,0.20428,0.22918,0.74691,0.54366
cb,2,0.81958,0.13644,0.34177,0.99573,0.20629,0.23964,0.74747,0.56589
dt,0,0.80342,0.15294,0.38452,0.72479,0.26167,0.20142,0.71024,0.49824
dt,1,0.803,0.15243,0.3414,0.6921,0.22658,0.19236,0.7103,0.46635
dt,2,0.80923,0.14887,0.38176,0.72256,0.25941,0.20449,0.70652,0.49759
gnb,0,0.4809,0.36004,0.43035,0.28981,0.83555,0.19597,0.70031,0.50201
gnb,1,0.49492,0.32644,0.42075,0.28369,0.81401,0.18999,0.7013,0.48737
gnb,2,0.61745,0.25326,0.43996,0.32951,0.6618,0.20938,0.71499,0.5153
knn,0,0.77447,0.17792,0.35628,0.53953,0.26595,0.14303,0.63777,0.43483
knn,1,0.77817,0.17077,0.33544,0.51622,0.24844,0.14472,0.65398,0.42335
knn,2,0.78681,0.16745,0.36211,0.56473,0.26649,0.15653,0.65996,0.44214
lda,0,0.81307,0.14546,0.33808,1.0,0.20343,0.2164,0.72689,0.54387
lda,1,0.81707,0.14334,0.31682,1.0,0.18822,0.20685,0.72314,0.52404
lda,2,0.82038,0.14098,0.34614,0.99789,0.20938,0.22351,0.72948,0.54588
lgbm,0,0.81116,0.13912,0.3496,0.91155,0.21627,0.24554,0.7549,0.57715
lgbm,1,0.81656,0.13777,0.31827,0.97931,0.19001,0.22922,0.74639,0.54666
lgbm,2,0.82038,0.13568,0.3471,0.99372,0.21027,0.24451,0.75171,0.56745
lr,0,0.81307,0.14301,0.33808,1.0,0.20343,0.21237,0.72009,0.53836
lr,1,0.81717,0.14042,0.31796,0.99765,0.18912,0.2062,0.72092,0.52096
lr,2,0.82038,0.13808,0.34614,0.99789,0.20938,0.22307,0.72856,0.54567
rf,0,0.81176,0.14116,0.35569,0.90385,0.22141,0.23146,0.74397,0.56389
rf,1,0.81677,0.13975,0.33101,0.93375,0.20116,0.21994,0.73543,0.5356
rf,2,0.81918,0.13737,0.35681,0.92751,0.22089,0.2353,0.74551,0.55836
svm,0,0.81327,0.14788,0.33926,1.0,0.20428,0.18193,0.67203,0.51473
svm,1,0.81596,0.14667,0.32059,0.95364,0.19269,0.1772,0.67921,0.49187
svm,2,0.81958,0.14458,0.35408,0.94615,0.2178,0.19479,0.67853,0.50803
tabnet,0,0.65528,0.20736,0.45882,0.36323,0.6227,0.21686,0.72803,0.54247
tabnet,1,0.71012,0.19599,0.44238,0.39044,0.51026,0.20465,0.72113,0.51521
tabnet,2,0.69977,0.19565,0.45403,0.38667,0.5498,0.2212,0.72613,0.54127
tabpfn,0,0.81327,0.13982,0.33973,0.99791,0.20471,0.24417,0.7524,0.57474
tabpfn,1,0.81697,0.13843,0.3167,0.99764,0.18822,0.23305,0.74672,0.55068
tabpfn,2,0.82048,0.13647,0.34627,1.0,0.20938,0.24605,0.75404,0.57035
xgb,0,0.81317,0.13957,0.35384,0.93911,0.21799,0.2416,0.75247,0.5745
xgb,1,0.81636,0.1382,0.31496,0.98824,0.18733,0.22799,0.74382,0.54536
xgb,2,0.81968,0.13628,0.34382,0.98947,0.20806,0.24121,0.74949,0.56597
