model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr
ab,0,0.75061,0.21946,0.07273,0.4,0.04,0.09982,0.62602,0.36161
ab,1,0.73775,0.22191,0.25175,0.5,0.16822,0.06861,0.59177,0.36359
ab,2,0.71569,0.22158,0.03333,0.5,0.01724,0.09071,0.61729,0.40876
ann,0,0.7555,0.18283,0.0,0.0,0.0,0.08886,0.6344,0.35539
ann,1,0.73775,0.19142,0.0,0.0,0.0,0.07085,0.56492,0.35032
ann,2,0.71569,0.19712,0.0,0.0,0.0,0.10311,0.63483,0.43617
bnb,0,0.73105,0.19253,0.29487,0.41071,0.23,0.09547,0.61573,0.35118
bnb,1,0.68627,0.22565,0.34021,0.37931,0.30841,0.06081,0.57854,0.34841
bnb,2,0.72304,0.20423,0.38251,0.52239,0.30172,0.12003,0.61507,0.43871
cb,0,0.76039,0.18332,0.16949,0.55556,0.1,0.07399,0.60712,0.35568
cb,1,0.73775,0.21166,0.0,0.0,0.0,0.05614,0.59121,0.34991
cb,2,0.72549,0.19421,0.11111,0.7,0.06034,0.0971,0.62,0.43737
dt,0,0.63325,0.35063,0.24242,0.2449,0.24,0.00086,0.49471,0.24156
dt,1,0.69363,0.27539,0.37811,0.40426,0.35514,0.04606,0.57486,0.32485
dt,2,0.625,0.3637,0.32,0.33028,0.31034,0.0142,0.54622,0.30361
gnb,0,0.68215,0.25534,0.42982,0.38281,0.49,0.11575,0.65053,0.38405
gnb,1,0.72304,0.27287,0.17518,0.4,0.11215,0.06076,0.5799,0.33175
gnb,2,0.34804,0.60391,0.43162,0.28693,0.87069,0.06287,0.5833,0.37342
knn,0,0.68704,0.232,0.30435,0.33333,0.28,0.02466,0.57654,0.28154
knn,1,0.69608,0.21824,0.27907,0.36923,0.2243,0.01795,0.55521,0.29862
knn,2,0.69363,0.22176,0.26036,0.41509,0.18966,0.02434,0.57305,0.33019
lda,0,0.73594,0.1827,0.14286,0.34615,0.09,0.09988,0.63799,0.35185
lda,1,0.71569,0.20804,0.275,0.41509,0.20561,0.06846,0.58424,0.32676
lda,2,0.71078,0.20368,0.19178,0.46667,0.12069,0.08193,0.57933,0.39268
lgbm,0,0.71149,0.19553,0.24359,0.33929,0.19,0.04782,0.57469,0.31729
lgbm,1,0.7402,0.19094,0.15873,0.52632,0.09346,0.0726,0.58467,0.35936
lgbm,2,0.72304,0.20158,0.29814,0.53333,0.2069,0.09553,0.60724,0.41949
lr,0,0.75795,0.18082,0.0198,1.0,0.01,0.09407,0.63955,0.35599
lr,1,0.73775,0.19172,0.0,0.0,0.0,0.06837,0.5626,0.34231
lr,2,0.72059,0.19955,0.12308,0.57143,0.06897,0.08033,0.58807,0.40177
rf,0,0.72127,0.19135,0.20833,0.34091,0.15,0.05868,0.59615,0.32833
rf,1,0.72549,0.19557,0.30864,0.45455,0.23364,0.07323,0.61393,0.38596
rf,2,0.71814,0.20653,0.24837,0.51351,0.16379,0.07736,0.57788,0.40616
svm,0,0.7555,0.18657,0.0,0.0,0.0,0.07704,0.61252,0.35685
svm,1,0.73775,0.19549,0.0,0.0,0.0,0.00231,0.42592,0.22477
svm,2,0.71569,0.20524,0.0,0.0,0.0,0.00224,0.45262,0.25911
tabnet,0,0.55257,0.25068,0.40391,0.29952,0.62,0.04159,0.57414,0.29518
tabnet,1,0.57353,0.24814,0.34586,0.28931,0.42991,0.03177,0.54633,0.31215
tabnet,2,0.70343,0.21282,0.11679,0.38095,0.06897,0.04178,0.57897,0.3312
tabpfn,0,0.7555,0.17937,0.01961,0.5,0.01,0.09564,0.61359,0.36523
tabpfn,1,0.73529,0.18932,0.05263,0.42857,0.02804,0.07237,0.59346,0.35467
tabpfn,2,0.72059,0.19333,0.0339,1.0,0.01724,0.12575,0.64679,0.46987
xgb,0,0.70905,0.19501,0.22222,0.32075,0.17,0.06697,0.59691,0.32007
xgb,1,0.72059,0.19281,0.2963,0.43636,0.2243,0.08737,0.60769,0.37249
xgb,2,0.71814,0.20769,0.22819,0.51515,0.14655,0.05994,0.58621,0.37347
