model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr
ab,0,0.9199,0.19604,0.0,0.0,0.0,0.16498,0.72279,0.20576
ab,1,0.9196,0.19633,0.0,0.0,0.0,0.18391,0.73524,0.22271
ab,2,0.9148,0.19525,0.0,0.0,0.0,0.17531,0.73237,0.21597
ann,0,0.9199,0.07013,0.0,0.0,0.0,0.1557,0.71949,0.19274
ann,1,0.9196,0.07038,0.0,0.0,0.0,0.15102,0.70901,0.19392
ann,2,0.9148,0.07421,0.0,0.0,0.0,0.15951,0.72408,0.19832
bnb,0,0.8691,0.1034,0.1582,0.16313,0.15356,0.05502,0.62421,0.12416
bnb,1,0.868,0.1041,0.17085,0.17259,0.16915,0.05589,0.61616,0.12971
bnb,2,0.8819,0.09596,0.15703,0.20036,0.12911,0.06558,0.6415,0.13933
cb,0,0.9202,0.06871,0.02206,0.6,0.01124,0.17645,0.7328,0.21873
cb,1,0.9197,0.06848,0.02192,0.52941,0.01119,0.18957,0.73984,0.22677
cb,2,0.9136,0.07282,0.03786,0.36957,0.01995,0.18123,0.73765,0.21958
dt,0,0.8965,0.09389,0.13389,0.20305,0.09988,0.07172,0.61273,0.12959
dt,1,0.899,0.09425,0.06827,0.13214,0.04602,0.07354,0.60514,0.12207
dt,2,0.9008,0.09132,0.09818,0.21774,0.06338,0.06887,0.61148,0.13595
gnb,0,0.1324,0.86735,0.14924,0.08098,0.95006,0.00094,0.507,0.08118
gnb,1,0.1415,0.85837,0.14924,0.08108,0.93657,0.0013,0.50454,0.08109
gnb,2,0.136,0.86387,0.16002,0.08724,0.96596,0.00329,0.51477,0.08761
knn,0,0.9158,0.08603,0.03661,0.21918,0.01998,0.01181,0.54652,0.09179
knn,1,0.9132,0.08622,0.0181,0.1,0.00995,0.01134,0.55227,0.09103
knn,2,0.909,0.08846,0.02151,0.12821,0.01174,0.01647,0.55748,0.09998
lda,0,0.9152,0.0729,0.08026,0.30579,0.04619,0.14485,0.71218,0.18028
lda,1,0.9169,0.07208,0.10741,0.3937,0.06219,0.15067,0.71351,0.19375
lda,2,0.9103,0.0755,0.09302,0.33577,0.05399,0.16278,0.72363,0.20188
lgbm,0,0.9191,0.06927,0.02647,0.36667,0.01373,0.16853,0.72922,0.20444
lgbm,1,0.9197,0.06857,0.01472,0.54545,0.00746,0.19016,0.73504,0.22451
lgbm,2,0.9147,0.07261,0.02291,0.47619,0.01174,0.18788,0.74038,0.21922
lr,0,0.9198,0.06932,0.01232,0.45455,0.00624,0.16428,0.72484,0.20013
lr,1,0.919,0.06964,0.0122,0.3125,0.00622,0.15966,0.71831,0.20144
lr,2,0.9148,0.07284,0.01389,0.5,0.00704,0.17464,0.73078,0.21579
rf,0,0.9198,0.07066,0.0,0.0,0.0,0.12567,0.68976,0.17769
rf,1,0.9196,0.07051,0.0,0.0,0.0,0.1403,0.69822,0.18777
rf,2,0.9148,0.0742,0.0,0.0,0.0,0.129,0.69405,0.19252
svm,0,0.9199,0.07243,0.0,0.0,0.0,0.06146,0.62563,0.13213
svm,1,0.9196,0.07261,0.0,0.0,0.0,0.06579,0.63826,0.13266
svm,2,0.9148,0.07655,0.0,0.0,0.0,0.06311,0.63258,0.14
tabnet,0,0.6536,0.21342,0.22954,0.13965,0.64419,0.12969,0.70041,0.1664
tabnet,1,0.7078,0.19216,0.25345,0.15949,0.61692,0.16515,0.72029,0.20854
tabnet,2,0.8985,0.16077,0.17007,0.28032,0.12207,0.13779,0.70305,0.19255
tabpfn,0,0.9199,0.06925,0.0,0.0,0.0,0.16679,0.72615,0.20686
tabpfn,1,0.9196,0.06952,0.0,0.0,0.0,0.18949,0.73717,0.2295
tabpfn,2,0.9148,0.07367,0.0,0.0,0.0,0.17416,0.72758,0.21906
xgb,0,0.9194,0.06891,0.02421,0.4,0.01248,0.17423,0.73008,0.21365
xgb,1,0.9191,0.06859,0.02177,0.3913,0.01119,0.18926,0.73622,0.22315
xgb,2,0.9147,0.07258,0.01841,0.47059,0.00939,0.18749,0.74062,0.21936
