model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr
ab,0,0.87217,0.20882,0.58224,0.83099,0.4481,0.54208,0.89158,0.75332
ab,1,0.87519,0.20504,0.57966,0.85075,0.43959,0.534,0.88342,0.74362
ab,2,0.87563,0.20724,0.59174,0.895,0.44198,0.60145,0.91529,0.79651
ann,0,0.80171,0.14649,0.00505,1.0,0.00253,0.23062,0.74757,0.48239
ann,1,0.80523,0.14452,0.01023,1.0,0.00514,0.2166,0.7199,0.47378
ann,2,0.79607,0.15293,0.0,0.0,0.0,0.1862,0.70398,0.45767
bnb,0,0.81278,0.13829,0.31868,0.57616,0.22025,0.21832,0.73061,0.43226
bnb,1,0.82184,0.13387,0.31923,0.63359,0.21337,0.24484,0.74663,0.46159
bnb,2,0.81772,0.13513,0.32463,0.66412,0.21481,0.25304,0.7543,0.4802
cb,0,0.90639,0.06769,0.72647,0.86667,0.62532,0.68411,0.94899,0.86299
cb,1,0.90941,0.06983,0.73294,0.86667,0.63496,0.68541,0.94387,0.8502
cb,2,0.91591,0.06244,0.76177,0.90203,0.65926,0.72799,0.95964,0.89419
dt,0,0.87167,0.10672,0.65772,0.7,0.62025,0.50028,0.84919,0.62911
dt,1,0.87318,0.11248,0.64804,0.70948,0.5964,0.48256,0.80596,0.59305
dt,2,0.86657,0.11537,0.62304,0.7349,0.54074,0.45406,0.75094,0.57604
gnb,0,0.79316,0.18434,0.42837,0.47531,0.38987,0.2422,0.76075,0.47446
gnb,1,0.80272,0.18199,0.44944,0.49536,0.41131,0.28746,0.77845,0.50617
gnb,2,0.79305,0.18428,0.46831,0.49185,0.44691,0.26397,0.75617,0.53367
knn,0,0.86261,0.11016,0.52356,0.8427,0.37975,0.4187,0.80268,0.58099
knn,1,0.86462,0.10876,0.48369,0.95455,0.32391,0.43131,0.80168,0.59361
knn,2,0.85196,0.11363,0.46931,0.87248,0.32099,0.45917,0.80955,0.59312
lda,0,0.82436,0.12817,0.41736,0.61275,0.31646,0.30976,0.79647,0.54927
lda,1,0.83694,0.12274,0.40221,0.71242,0.28021,0.32512,0.79453,0.57401
lda,2,0.84089,0.12062,0.45704,0.75141,0.3284,0.33088,0.80217,0.61186
lgbm,0,0.91092,0.07477,0.75451,0.83436,0.68861,0.64852,0.92997,0.82963
lgbm,1,0.89935,0.08108,0.7151,0.80192,0.64524,0.65138,0.93526,0.823
lgbm,2,0.90634,0.07246,0.74521,0.83692,0.6716,0.67915,0.94132,0.85663
lr,0,0.82587,0.12586,0.32422,0.7094,0.21013,0.31469,0.79483,0.55203
lr,1,0.82889,0.12447,0.29752,0.75789,0.18509,0.30441,0.7834,0.56042
lr,2,0.83384,0.12556,0.33198,0.92135,0.20247,0.31963,0.79722,0.60078
rf,0,0.9079,0.07209,0.72398,0.89552,0.60759,0.66947,0.94819,0.86142
rf,1,0.89985,0.07325,0.69985,0.84672,0.5964,0.67755,0.94327,0.83822
rf,2,0.91088,0.06817,0.73855,0.91912,0.61728,0.72738,0.96234,0.89127
svm,0,0.84399,0.11789,0.48505,0.70531,0.36962,0.36159,0.80395,0.60472
svm,1,0.85053,0.11057,0.47803,0.75556,0.34961,0.38723,0.81968,0.63797
svm,2,0.84542,0.11375,0.45664,0.80625,0.31852,0.39668,0.82732,0.65862
tabnet,0,0.40765,0.26793,0.3815,0.24072,0.91899,0.22933,0.73647,0.46451
tabnet,1,0.82134,0.17783,0.4374,0.57025,0.35476,0.26526,0.76021,0.51681
tabnet,2,0.50504,0.25016,0.41243,0.27208,0.85185,0.25878,0.74971,0.52735
tabpfn,0,0.9084,0.06904,0.75,0.81982,0.69114,0.63986,0.93665,0.84642
tabpfn,1,0.90891,0.06967,0.7418,0.83333,0.66838,0.63739,0.92913,0.83416
tabpfn,2,0.92598,0.05638,0.79668,0.90566,0.71111,0.73196,0.95868,0.90101
xgb,0,0.90488,0.07543,0.73566,0.82188,0.66582,0.62252,0.92289,0.81865
xgb,1,0.90136,0.0757,0.7192,0.8123,0.64524,0.65283,0.92951,0.82052
xgb,2,0.90785,0.07349,0.75237,0.83234,0.68642,0.66737,0.94058,0.84186
